agent,source_id,source_type,filename_filing,period,page_section,date,confidence_1_5,used_for
01,S1,"Annual filing (audited, US SEC)",Oracle_Corporation_-_Form_10-K(Jun-22-2026).doc,FY26 (ended May-31-2026),Item 10 (Executive Officers of the Registrant); Item 7 MD&A; Item 1C (Cybersecurity); Note 15 (Legal Proceedings),2026-06-22,5,"Executive bios, tenure, strategy targets, integrity-signal chase"
01,S2,Material-event disclosure log (8-K-equivalent),Oracle Corporation NYSE ORCL Key Developments.xls,2004–2026,"""Executive/Board Change"", ""Executive Change - CFO/CEO"" tabs",2026-08-13,5,"CEO/CFO transition dates, board departures/additions, capex-miss disclosure, class-action filing detail"
01,S3,Vendor guidance-vs-consensus export (cross-module),earnings/04_guidance-consensus.md (sourced from OracleCorporationNYSEORCLEstimatesReport.xls),"FQ1–FQ4 FY2026, FY2027","Sections 2, 3, 6",2026-08-14,4,"Quarterly beat/miss record, FY2027 guidance-vs-consensus gap"
01,S4,Cross-module governance quick-read,business-model/11_capital-allocation-governance.md,FY2016A–FY2026A,"Signal table (Senior management turnover, Debt trajectory)",2026-08-14,4,"Debt trajectory context for CFO-turnover-timing read, execution-record FCF figure"
01,S5,Cross-module disqualifier scan,business-model/01_disqualifier-scan.md,FY26,Section 3 (Verdict-Lock Signal),2026-08-14,4,Routing of the unresolved securities class action integrity signal
01,S6,Cross-module red-flags sweep,business-model/12_red-flags-sweep.md,FY26,New Red Flags table,2026-08-14,4,"Cybersecurity-incident disclosure, Ampere one-off gain context"
01,S7,Ownership export,Oracle Corporation NYSE ORCL Public Ownership Summary.rtf,As of Aug-12/13-2026,Ownership Summary; Top Holders,2026-08-14,5,Founder/Executive Chair ownership stake
01,S8,Earnings-call transcript,"Oracle Corporation, Q4 2026 Earnings Call, Jun 10, 2026.rtf",Q4 FY26,CFO/CEO prepared remarks,2026-06-10,3,FY2027 strategy and target statements
01,S9,Earnings-call transcript,"Oracle Corporation, Q3 2026 Earnings Call, Mar 10, 2026.rtf",Q3 FY26,Presentation / Q&A,2026-03-10,3,Cross-check on capex commentary and management tone
01,S10,Cross-module business identity,business-model/02_business-identity.md,FY2026,Sections 1–4,2026-08-14,4,Revenue/RPO growth figures used in execution-record row
02,S1,"Annual filing (audited, US SEC)",Oracle_Corporation_-_Form_10-K-Jun-22-2026,FY2026 (ended May-31-2026),Common Stock Repurchase Program; Cash Dividends; Note 13 (Segment Information); Goodwill impairment testing note,2026-06-22,5,"FY2025–FY2026 buyback $/shares, dividend disclosure, segment folding of NetSuite/Cerner, goodwill-impairment confirmation"
02,S2,Vendor financial export (Capital IQ),"Oracle Corporation NYSE ORCL Financials_Annual.xls, Cash Flow tab",FY2017A–FY2026A,Cash Flow tab,2026-08-13,4,"10-year cash-acquisitions, buyback, dividend, capex, debt-issued/repaid, FCF series"
02,S3,Vendor financial export (Capital IQ),"Oracle Corporation NYSE ORCL Financials_Annual.xls, Income Statement tab",FY2017A–FY2026A,Income Statement tab,2026-08-13,4,"Diluted share count, EBIT, effective tax rate series (for incremental ROIC)"
02,S4,Vendor financial export (Capital IQ),"Oracle Corporation NYSE ORCL Financials_Annual.xls, Balance Sheet tab",FY2017A–FY2026A,Balance Sheet tab,2026-08-13,4,"Total debt, total equity, cash & equivalents (for invested capital)"
02,S5,Vendor financial export (Capital IQ),"Oracle Corporation NYSE ORCL Financials_Annual.xls, Capital-Structure-Summary tab",FY2017A–FY2026A,Capital-Structure-Summary tab,2026-08-13,4,"Total debt trajectory, Cerner-year debt increase"
02,S6,Vendor price history export (Capital IQ),"ORCL_Charting-Excel-Export-Aug-13th-2026, Pane 1",2016-08 through 2026-08 (daily),Share Pricing column,2026-08-13,4,Annual trading-range context for buyback price-discipline judgment
02,S7,Material-event disclosure log,Oracle Corporation NYSE ORCL Key-Developments.xls,2004–2026,"S&P downgrade entry (2026-07-09), Cerner/Oracle Health product entries",2026-08-13,5,"Credit-downgrade date, Cerner post-close product activity"
02,S8,Cross-module quick-read,business-model/11_capital-allocation-governance.md,FY2016A–FY2026A,"Signal table, Capital Allocation Score section",2026-08-14,4,"Cross-check on serial-acquirer classification, buyback/dividend/debt figures"
02,S9,Cross-module,earnings/01_historical-financials.md,FY2022–FY2026,"Section 1 (Annual Financial Table), Section 4",2026-08-14,4,"CFO, FCF, net-debt/EBITDA reconciliation cross-check"
02,S10,In-module upstream,management-governance/01_management-and-track-record.md,FY2026,Finding 01-013,2026-08-14,4,Cross-check on FY2026 negative FCF finding
03,S1,"Annual filing (audited, US SEC)",Oracle_Corporation_-_Form_10-K(Jun-22-2026).doc,FY26 (ended May-31-2026),Item 11 index (p.59); Items 10-14 incorporation-by-reference language; Note 11 (Stock-Based Compensation Plans); Equity Compensation Plan Information (dilution); cover-page clawback checkboxes,2026-06-22,5,Confirms no CEO/CFO comp table filed; company-wide PSO description; dilution discipline; clawback-trigger status
03,S2,Exhibit to annual filing,"FY26 10-K, Exhibit 10.15 — Offer letter and employment agreement with Hilary Maxson, dated Jan 19/25, 2026",Jan 2026 (effective Apr-6-2026),Full exhibit text,2026-06-22 (filed with 10-K),5,"CFO base salary, bonus target/cap, equity grant structure and vesting, PSO revenue-metric disclosure"
03,S3,In-module upstream agent,`01_management-and-track-record.md`,FY2026,"Sections 2, 4",2026-08-14,4,"CFO-turnover timing, FCF/debt context used to read the PSO revenue-metric finding"
03,S4,Governance data triage,`00_governance-data-triage.md`,FY2026,"Sections 2, 5, 6",2026-08-14,5,"Confirms no proxy in pool, no board comp table, partial-data cap applicability"
03,S5,"Web search (peer-benchmarking context only, unverified)",General tech-executive-compensation benchmarking summary,2026,N/A,Accessed 2026-08-14,2,Generic S&P tech-CEO pay-magnitude and TSR-prevalence context only — not used to source any Oracle-specific figure
