source_id,agent,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
"00:TRIAGE","governance-data-triage","Current-run triage","Governance Data Triage — NU","Current run","§§5B–6","2026-08-30","4","Source inventory, freshness and sufficiency"
"01:S1","management-and-track-record","Annual filing","Nu Holdings FY2025 Form 20-F","FY ended 2025-12-31","Item 6A, pp. 187–192; Item 7A, p. 203","2026-04-08","5","CEO, co-founder, CRO and former-CFO biographies; management table; voting control"
"01:S2","management-and-track-record","Annual filing","Nu Holdings FY2024 Form 20-F","FY ended 2024-12-31","Item 6A, p. 272","2025-04-16","5","Earlier management roster and role-comparison evidence"
"01:S3","management-and-track-record","Annual filing","Nu Holdings FY2023 Form 20-F","FY ended 2023-12-31","Item 6A, management team","2024-04-19","5","CEO/CFO/CRO continuity cross-check"
"01:S4","management-and-track-record","Earnings transcript","Nu Holdings Q2 2026 Earnings Call","Q2 ended 2026-06-30","pp. 6–8","2026-08-13","3","CFO transition, current efficiency outcome and Q2 execution"
"01:S5","management-and-track-record","Earnings transcript","Nu Holdings Q1 2026 Earnings Call","Q1 ended 2026-03-31","pp. 8–9","2026-05-14","3","FY2026 efficiency, tax-rate and U.S. investment targets"
"01:S6","management-and-track-record","Earnings transcript","Nu Holdings Q4 2023 Earnings Call","FY ended 2023-12-31","pp. 8 and 18","2024-02-22","3","Cost-to-serve and efficiency-normalisation commitments"
"01:S7","management-and-track-record","Earnings transcript","Nu Holdings Q1 2024 Earnings Call","Q1 ended 2024-03-31","p. 8","2024-05-14","3","Efficiency-normalisation and cost-to-serve outcomes"
"01:S8","management-and-track-record","Earnings transcript","Nu Holdings Q4 2024 Earnings Call","FY ended 2024-12-31","p. 8","2025-02-20","3","Cost-to-serve outcome"
"01:S9","management-and-track-record","Investor presentation / 6-K exhibit","Nu Holdings Q2 2026 Earnings Presentation","Q2 ended 2026-06-30","slides 6 and 28","2026-08-13","3","Strategy, cost-to-serve and operating-model definitions"
"01:S10","management-and-track-record","Capital IQ vendor export","Nu Holdings Professionals / Corporate Timeline","Current / six-month timeline","Rob Livingston and Livia Chanes profile rows; CFO-change row","2026-08-29 / 2026-06-01","4","Current CFO and LATAM-CEO appointment / background evidence"
"01:S11","management-and-track-record","Cross-module, filing- and transcript-backed output","Guidance & Consensus — NU","FY2026","§2","2026-08-30","4","Formal-guidance coverage conclusion"
"01:S12","management-and-track-record","Cross-module, filing-backed output","Business-model Disqualifier Scan — NU","FY2025 / current scan","§§1–3","2026-08-30","4","Routed integrity-signal check"
"01:S13","management-and-track-record","Interim filing","Nu Holdings Q2 2026 Unaudited Interim Condensed Consolidated Financial Statements","Q2 / H1 ended 2026-06-30","Note 30, p. 36","2026-08-14","5","Q2 tax-rate observation"
"02:S1","capital-allocation-scorecard","Annual filing","Nu Holdings Ltd. Form 20-F","FY ended 2025-12-31","Business Overview, pp.27–28; Item 5.B, p.185; Item 8.A, p.206; Statements of Income, pp.F6–F7; Cash Flows, pp.F14–F15; Notes 9, 31, pp.F45–F46 and F84–F86","2026-04-08","5","Three-year CFO/capex/debt data, EPS, dividends, Hyperplane rationale, acquisition/associate cash flows and historic shares"
"02:S2","capital-allocation-scorecard","Interim filing","Nu Holdings Ltd. Unaudited Interim Condensed Consolidated Financial Statements","H1 ended 2026-06-30","Statements of Financial Position, p.8; Cash Flows, p.12; Notes 9–11, 21, 24, 31 and 35, pp.17–18, 27, 32, 37–39 and 43","2026-08-14","5","Buyback terms and execution, H1 cash flows, equity/SBC/share count, strict net-cash build and Banco Porto Real announcement"
"02:S3","capital-allocation-scorecard","Capital IQ vendor export","Nu Holdings Ltd. Financials — Historical Capitalization","Q1 and Q2 2026","2026-03-31 and 2026-06-30 columns; pricing as of 2026-05-15 and 2026-08-13","2026-08-29","4","Observable price context for H1 implied buyback price; not a value conclusion"
"02:S4","capital-allocation-scorecard","Deterministic CIQ facts sidecar / vendor export","`analyses/NU_2026-08-30/_pool_extracts/ciq_facts.json`","2026-06-30","`net_debt_m` and `total_debt_m` source references","2026-08-30","4","Reconciled CIQ vendor debt/net-debt basis to the filing-defined strict-net-cash calculation"
"02:S5","capital-allocation-scorecard","Cross-module, filing-backed output","Business-model Disqualifier Scan — NU","FY2025/current","§1, pledged-shares test","2026-08-30","4","A10-05 pledge-data limitation; no hard disqualifier was re-adjudicated"
"03:S1","incentives-and-compensation","SEC foreign-private-issuer annual filing","Nu Holdings Ltd. FY2025 Form 20-F","FY ended 2025-12-31","Item 6B, pp.194–199; Description of Share Capital, p.212","2026-04-08","5","Aggregate key-management pay, comp structure, plan rules, metrics disclosure, peer criteria, directors and COC terms"
"03:S2","incentives-and-compensation","Audited financial statements in annual filing","Nu Holdings Ltd. FY2025 Form 20-F","FY ended 2025-12-31","Note 10 — Share-based payments, F-45–F-47","2026-04-08","5","RSU grants, outstanding awards, vesting, share-based expense and award conditions"
"03:S3","incentives-and-compensation","SEC foreign-private-issuer annual filing","Nu Holdings Ltd. FY2025 Form 20-F","FY ended 2025-12-31","Business — World-Class Talent; Item 6D — Employees, p.200; Item 16B, p.240; Note 25, F-75","2026-04-08","5","Broad-based awards, headcount, conduct policy and labor provision"
"03:S4","incentives-and-compensation","SEC annual-filing exhibit","Nu Holdings Ltd. Compensation Clawback Policy, Exhibit 97.1 to FY2025 Form 20-F","Policy updated 2026-02-04","pp.1–4; Item 6F, p.202","2026-04-08","5","Clawback trigger, no-fault recovery, three-year lookback and no FY2025 recovery"
"03:S5","incentives-and-compensation","SEC foreign-private-issuer annual filing","Nu Holdings Ltd. FY2024 Form 20-F","FY ended 2024-12-31","Item 6B — Directors and Key Management Compensation","2025-04-16","5","Prior-year aggregate key-management pay"
"03:S6","incentives-and-compensation","Capital IQ vendor export","CIQ Comps → Financial Data, deterministic `ciq_facts.json` sidecar","Latest","Shares Outstanding Latest","2026-08-29","4","Reconciliation of current share count with FY2025 filing denominator"
"04:S1","ownership-and-insider-behavior","Annual filing","Nu Holdings Ltd. Form 20-F","FY ended 2025-12-31","Item 6A, Controlled Company Exception p.201 and Shareholder's Agreement p.193; Item 7A pp.202–204","2026-04-08","5","Filed ownership, voting rights, holder vehicles, controlled-company status, board rights and consent rights"
"04:S2","ownership-and-insider-behavior","Capital IQ vendor exports","Public Ownership Summary, Detailed, History and Crossholdings","Current / Q4 2025–Q2 2026","Ownership and holder tables","2026-08-29","4","Current ownership, holder changes, float and institutional snapshots"
"04:S3","ownership-and-insider-behavior","Deterministic CIQ facts sidecar","ciq_facts.json","Trailing 12 months / Q4 2025–Q2 2026","insider_net_activity, insider_open_market, top_institutional_holders, institutional_ownership_trend","2026-08-30","4","Authoritative workbook reads and reconciliation of transaction / holder totals"
"04:S4","ownership-and-insider-behavior","Capital IQ / Form 4 vendor transcription","Public Ownership Insider Trading","Through 2026-08-26","Insider Trading table","2026-08-29","4","Dated insider sales, awards and exercises; not a pool copy of the underlying Form 4"
"04:S5","ownership-and-insider-behavior","Capital IQ vendor export","Equity Listings","Current listing data","NYSE:NU row","2026-08-28","4","Listing venue, price and three-month trading volume"
"04:S6","ownership-and-insider-behavior","Capital IQ vendor export","Analyst Coverage","Current","Equity Analyst Coverage table","2026-08-29","4","Research-contributor count"
