red_flag_id,trigger,severity,evidence,source_and_date,score_impact,follow_up
RF-MGT-005,"Unresolved federal securities-fraud class action naming Tesla and Musk personally over Autopilot/FSD/Robotaxi claims, motion to dismiss pending",Critical,"Q2 FY26 10-Q Note 11; CIQ Key Developments 2025-08-06 (Pomerantz LLP)","01_management-and-track-record.md sec4A; 06_candor-and-disclosure-quality.md sec5; 2026-07-23/24","Mgmt Quality and Disclosure Candor each capped at 60 (non-binding); conviction ceiling Watchlist on overall rating","Track ruling on motion to dismiss"
RF-SHR-002,"Sequential entrenchment: classified board + 66.67% supermajority bylaw + Delaware-to-Texas reincorporation (2024) + 3%-of-shares derivative-suit threshold (2025), blocking a majority-backed 2024 declassification vote",Critical,"Q2 FY26 10-Q Legal Proceedings (reincorporation confirmed); web-sourced (uncorroborated in pool) for supermajority/3% specifics","05_board-and-shareholder-rights.md sec4/sec4A; 2024-2025","Shareholder friendliness held at 42; Governance Rating capped at Weak","Verify current bylaws exhibit directly - highest priority"
RF-CAP-002,"Zero share buybacks FY2017-LTM Jun-2026 despite positive FCF every year; share count +27.4% FY2021-LTM with no offset",High,"Financials_Annual.xls Cash Flow + Balance Sheet tabs","02_capital-allocation-scorecard.md sec3; 2026-07-24","Capital allocation held at 39","Confirm whether unused authorization exists"
RF-RPT-002,"CEO-linked related-party network (SpaceX/xAI/X/TBC/security firm) plus 2.0bn SpaceX equity investment plus 3 unresolved Delaware derivative suits on appeal",High,"FY2025 10-K/A Item 13; Q2 FY26 10-Q Legal Proceedings","05_board-and-shareholder-rights.md sec3; 2026-03-12 / 2026-07-23","Shareholder friendliness held at 42","Track Delaware Supreme Court appeal; track SpaceX/xAI capital flows"
RF-SHR-001,"~25% of voted shares opposed the 2025 CEO Performance Award; both ISS and Glass Lewis recommended against; award passed anyway",High,"FY2025 10-K/A approval fact; web CNBC 2025-11-06, Bloomberg 2025-10-20","05_board-and-shareholder-rights.md sec4A; 2025-10/11","Shareholder friendliness held at 42","Track 2026 say-on-pay result"
RF-DISC-001,"Two dated 2025 promises never explicitly acknowledged as missed; CEO called Q2 2026 (worst quarter) great with zero miss reference; 0 of 6 analyst questions addressed the miss",High,"Q1/Q2 2026 transcripts, verbatim","01_management-and-track-record.md sec4; 06_candor-and-disclosure-quality.md sec1/sec4; 2026-04-22 / 2026-07-22","Disclosure candor held at 45","Track FY2026 reconciliation of 2025 shortfalls"
RF-DISC-002,"39% GAAP-to-Adjusted-EBITDA gap (2.6x threshold); 0 of 3 highest-narrative segments disclose operating income; 4 definitional changes in ~18 months",High,"earnings/06_earnings-quality.md sec4-8; business-model/03_segment-map.md sec3","06_candor-and-disclosure-quality.md sec2-3; 2026-07-24","Disclosure candor held at 45","Monitor GAAP/non-GAAP gap; track segment disclosure"
RF-MGT-003,"CEO succession framework gated to the two least-reachable pay tranches; framework self-authored by the incumbent CEO",High,"FY2025 10-K/A CDA tranche table footnote 1","01_management-and-track-record.md sec2; 2026-04-30","Management quality held at 46","Ask whether an independent board succession plan exists"
RF-MGT-002,"Four senior operating/policy/robotics executives (incl. Optimus engineering chief) left within ~14 months",High,"Web CNBC 2024-04-15, 2025-06-06; not corroborated in pool's 12-month window","01_management-and-track-record.md sec2; 2025-06-06","Management quality held at 46","Confirm disclosure; assess bench depth"
RF-CAP-001,"2.0bn equity investment in SpaceX (CEO-controlled) with no disclosed independent return hurdle or arm's-length process",Medium,"Q2 FY26 10-Q Note 13; Note 2","02_capital-allocation-scorecard.md sec2; 2026-03-12","Capital allocation held at 39","Track independent valuation/board process disclosure"
