source_id,source_type,filename,period,page_section,date,confidence_1_to_5,used_for
S00-01,Capital IQ export,Emaar Properties PJSC DFM EMAAR Board Members.xls,Current Jun-2026,Board Members sheet,2026-06,4,"Board composition, independence, committee memberships, tenure, Alabbar affiliations"
S00-02,Capital IQ export,Emaar Properties PJSC DFM EMAAR Compensation Summary Compensation.xls,FY2022-FY2025,Summary Compensation sheet,2026-06,4,Director fees all four years
S00-03,Capital IQ export,Emaar Properties PJSC DFM EMAAR Public Ownership Summary.rtf,May-Jun 2026,Ownership summary Top Holders Ownership Activity,2026-06,4,"Ownership structure, government bloc, individual insiders, institutional activity"
S00-04,Capital IQ export,Emaar Properties PJSC DFM EMAAR Key Developments.xls,Jan-Jun 2026,Key Developments body,2026-06,4,"CFO departure May-22-2026, Eagle Hills acquisition Jan-30-2026, AED 200bn masterplan Jun-11-2026, ICD transfer May-11-2026, Emaar Misr earnings Feb-23-2026, EGM Jun-14-2026"
S00-05,Capital IQ export,Emaar Properties PJSC DFM EMAAR Financials_Annual.xls,FY2021-FY2025 LTM Mar-2026,Cash Flow / Balance Sheet / Income Statement / Ratios tabs,2026-06,4,"CFO, Capex, Dividends, Total Debt, Shares outstanding, EBIT, EPS, working capital"
S00-06,Capital IQ export,Emaar Properties PJSC DFM EMAAR Professionals.xls,Current Jun-2026,Professionals sheet,2026-06,4,"CEO Amit Jain, CFO Pawan Chindalia, Ahmed Al Falasi backgrounds and tenure"
S00-07,Capital IQ export,Emaar Properties PJSC DFM EMAAR Private Ownership.rtf,Current Jun-2026,Investors table,2026-06,4,Prior ICD relationship; Emirates Power Investment LLC current investor; control structure
S00-08,Investor presentation (Preliminary Annual Report),Emaar_Properties_PJSC-Preliminary_Annual_Report(Feb-12-2026).pdf,FY2025,Slides 5-9 and 11-26,2026-02-12,3,"FY2025 results, backlog, UAE Development project table, Emaar Misr Slide 21, balance sheet Slide 8, dividend yield Slide 11, cash flow waterfall Slide 14"
S00-09,Preliminary annual report press release,Emaar_Properties_PJSC_-_Form_Preliminary_Annual_Report(Feb-08-2024).pdf,FY2023,Pages 1-4,2024-02-08,3,"FY2023 results, Namshi gain AED 700mn, backlog AED 71.8bn, Alabbar quote, international segment description"
S00-10,Preliminary annual report press release,Emaar_Properties_PJSC_-_Form_Preliminary_Annual_Report(Feb-14-2023).pdf,FY2022,Pages 1-4,2023-02-14,3,"FY2022 results, DCH acquisition AED 7.5bn, management commitments for 2023, backlog AED 53.2bn"
S00-11,Statutory annual report (Arabic only),Emaar_Properties_PJSC-Annual_Report(Mar-14-2025).pdf,FY2024,Full report (Arabic),2025-03-14,1,"Data gap only — filing exists but governance sections not extractable in English; used for KPMG auditor confirmation"
S00-12,Preliminary annual results (exchange filing revised),Emaar_Properties_PJSC_-_Form_Preliminary_Annual_Report(Mar-30-2026).pdf,FY2025,Summary financial table (Arabic verified against English deck),2026-03-30,3,"Confirms FY2025 CFO AED 33,458mn; DPS AED 1.00; EPS AED 1.99; shares 8,839mn"
S00-13,Capital IQ export,Emaar Properties PJSC DFM EMAAR Financials_Quarterly.xls,Q1 2021-Q1 2026,Key Stats / Cash Flow / Balance Sheet tabs,2026-06,3,Quarterly financial data for trend analysis
S00-14,Capital IQ export,Company Comparable Analysis Emaar Properties PJSC.xls,As of Jun-2026,Financial Data / Operating Statistics,2026-06,3,Peer financial context (governance peer metrics not available)
S00-15,Cross-module input,analyses/EMAR_2026-07-03/business-model/01_disqualifier-scan.md,As of 2026-07-03,All 8 disqualifiers; Sections 2-3,2026-07-03,5,"Confirmed no disqualifiers triggered; KPMG audit; no pledging; no material RPT breach proven; no regulatory enforcement; no restatement in 2-year window; positive OCF every year"
S00-16,Cross-module input,analyses/EMAR_2026-07-03/business-model/11_capital-allocation-governance.md,As of 2026-07-03,Sections 1-4,2026-07-03,4,"DCH deal structure, share count history, dividend DPS history, RPT government-counterparty dynamic, acquisition-pattern severity score 20/100"
S00-17,Cross-module input,analyses/EMAR_2026-07-03/business-model/12_red-flags-sweep.md,As of 2026-07-03,Sections 2-4,2026-07-03,4,"Emaar Misr income collapse detail, OCF inflation from unearned revenue, Syria exposure AED 500mn, AED 200bn cycle-peak commitment, key-person risk Alabbar"
S00-18,Cross-module input,analyses/EMAR_2026-07-03/business-model/02_business-identity.md,As of 2026-07-03,Sections 1-4,2026-07-03,4,Business model context; government-adjacent developer characterisation; UAE-dominant franchise
S00-19,Cross-module input,analyses/EMAR_2026-07-03/earnings/06_earnings-quality.md,As of 2026-07-03,Sections 4-9,2026-07-03,5,"Non-GAAP aggressiveness; recurring writedowns FY2021-FY2023; CFO/EBITDA; net cash definition (broad basis); adjustment assessment; normalised FCF AED 24,295mn FY2025"
S00-20,Cross-module input,analyses/EMAR_2026-07-03/earnings/04_guidance-consensus.md,As of 2026-07-03,Sections 2 and 6,2026-07-03,5,"Guidance history (nil formal); beat/miss pattern; transcript availability (nil)"
S00-21,Web (unverified dated),Emaar Properties PJSC Corporate Governance Report for 2023 English — web search summary,FY2023,Remuneration section / LTIP,2024-03,2,"CEO FY2023 total pay AED 14,437,311; Phantom Share LTIP structure; 3-year vesting; 3-year forward financial matrices"
S00-22,Capital IQ export,EmaarPropertiesPJSCDFMEMAAREstimatesReport.xls,As of Jun-22-2026,Consensus / Surprise / Guidance tabs,2026-06-22,3,Analyst consensus; beat/miss history; guidance (nil formal after FY2015)
