source_id,module_agent,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
01-S01,01,"Data-vendor export (CIQ)","IndiaMART InterMESH Limited NSEI INDIAMART Professionals.xls",Current,"Professionals list",2026-08-13,4,"Executive bios, tenure, appointment dates"
01-S02,01,"Data-vendor export (CIQ)","IndiaMART InterMESH Limited NSEI INDIAMART Board Members.xls",Current,"Board Members sheet",2026-08-13,4,"Director tenure/appointment dates"
01-S03,01,"Data-vendor export (CIQ)","IndiaMART InterMESH Limited NSEI INDIAMART Compensation Summary Compensation.xls",FY2022-FY2025,"Summary Compensation sheet",2026-08-13,4,"Officer changes via comp start/stop"
01-S04,01,"Data-vendor export (CIQ)","IndiaMART InterMESH Limited NSEI INDIAMART Auditors.xls",FY2015-FY2026,"Auditors sheet",2026-08-13,4,"Auditor continuity check"
01-S05,01,"Audited annual filing","IndiaMART_InterMESH_Limited_-_Form_Annual_Report(Jun-02-2026).pdf",FY2026,"Board's Report; Note 33; Secretarial Audit Annexure-A; p.7219; p.7628-7645",2026-06-02,5,"Founder ownership %; KMP dates; Secretarial Audit finding"
01-S06,01,"Earnings-call transcript",IndiaMART Q4 2023 Earnings Call Apr-28-2023.pdf,Q4 FY23,Q&A,2023-04-28,3,"FY24 margin/net-add guidance baseline"
01-S07,01,"Earnings-call transcript",IndiaMART Q4 2024 Earnings Call Apr-30-2024.pdf,Q4 FY24,Q&A,2024-04-30,3,"Growth-aspiration walk-down, margin confidence"
01-S08,01,"Earnings-call transcript",IndiaMART Q4 2025 Earnings Call Apr-29-2025.pdf,Q4 FY25,Q&A,2025-04-29,3,"Guidance walked to <10%"
01-S09,01,"Earnings-call transcript",IndiaMART Q1 2027 Earnings Call Jul-21-2026.pdf,Q1 FY27,Q&A,2026-07-21,3,"Buyer-funnel stagnation admission"
01-S10,01,"Module cross-input",earnings/01_historical-financials.md,FY22-FY26/TTM,"Section 6",2026-08-13,4,"Audited EBITDA margin/revenue growth actuals"
01-S11,01,"Module cross-input",earnings/04_guidance-consensus.md,FY2027,"Section 2",2026-08-13,4,"Confirmation no formal guidance exists"
01-S12,01,"Module cross-input",business-model/02_business-identity.md,FY26,"Section 2",2026-08-13,4,"Standalone FY26 revenue growth"
01-S13,01,"Module cross-input",business-model/01_disqualifier-scan.md,FY26,"Section 3",2026-08-13,4,"Routed integrity soft-signal"
01-S14,01,"Module cross-input",business-model/11_capital-allocation-governance.md,FY22-FY26,"Signal Table",2026-08-13,4,"CFO change date, board-turnover facts"
01-S15,01,"Module cross-input",business-model/12_red-flags-sweep.md,FY26,"Section 2",2026-08-13,4,"Founder key-person concentration finding"
02-S01,02,"Data-vendor export (CIQ)","...Financials.xls",FY2022-LTM Jun-2026,"Cash Flow tab",2026-08-13,4,"CFO, buyback outflows, dividends, capex, M&A"
02-S02,02,"Data-vendor export (CIQ)","...Financials.xls",FY2022-Jun-2026,"Balance Sheet tab",2026-08-13,4,"Share counts, debt, cash, investments"
02-S03,02,"Data-vendor export (CIQ)","...Financials.xls",FY2021-FY2026,"Segments tab",2026-08-13,4,"Busy Infotech segment revenue/EBITDA"
02-S04,02,"Audited annual filing","...Form_Annual_Report(Apr-29-2025).pdf",FY2025,"Note 2 to Equity, p.7395-7399",2025-04-29,5,"FY24 buyback details, bonus issue confirmation"
02-S05,02,"Data-vendor export (CIQ)","Transaction Summary M&A Private Placements.xls",FY2016-FY2027,"M&A/Private Placements sheet",2026-08-13,4,"Deal-by-deal M&A/venture/buyback list"
02-S06,02,"Earnings-call transcript",IndiaMART Q4 2022 Earnings Call Apr-29-2022.pdf,Q4 FY22,"Prepared remarks + Q&A",2022-04-29,3,"FY23 buyback announcement"
02-S07,02,"Earnings-call transcript",IndiaMART Q1 2023 Earnings Call Jul-22-2022.pdf,Q1 FY23,"Prepared remarks",2022-07-22,3,"FY23 buyback completion confirmation"
02-S08,02,"Earnings-call transcript",IndiaMART Q1 2024 Earnings Call Jul-21-2023.pdf,Q1 FY24,"Prepared remarks + Q&A",2023-07-21,3,"FY24 buyback announcement"
02-S09,02,"Earnings-call transcript",IndiaMART Q2 2024 Earnings Call Oct-27-2023.pdf,Q2 FY24,"Prepared remarks",2023-10-27,3,"FY24 buyback completion"
02-S10,02,"Earnings-call transcript",IndiaMART Q1 2027 Earnings Call Jul-21-2026.pdf,Q1 FY27,Q&A,2026-07-21,3,"Busy Infotech FY27 CAGR target"
02-S11,02,"Data-vendor export (CIQ)","...Key Developments.xls","Last 6 months","Key Developments sheet",2026-08-13,4,"FY26 dividend announcements"
02-S12,02,"Data-vendor export (CIQ)","...Public Ownership Summary.rtf","As of 2026-08-11","Top Holders/market value",2026-08-13,4,"Current market cap"
02-S13,02,"Module cross-input",business-model/11_capital-allocation-governance.md,FY2016-FY2026,"Section 1&3",2026-08-13,4,"Acquisition-pattern severity, exit outcomes"
02-S14,02,"Module cross-input",earnings/01_historical-financials.md,FY2022-FY2026,"Section 1&3",2026-08-13,4,"FCF, EBIT, EBITDA figures"
03-S01,03,"Audited annual filing (proxy-equiv.)","...Form_Annual_Report(Jun-02-2026).pdf",FY2026,"Board's Report; Section 197(12)",2026-06-02,5,"Comp structure, PLVC, ESOP/SAR, Balanced Scorecard reference"
03-S02,03,"Audited annual filing","Same as 03-S01",FY2026,"Notes to Consolidated Financial Statements, KMP compensation",2026-06-02,5,"Aggregate KMP compensation"
03-S03,03,"Data-vendor export (CIQ)","...Compensation Summary Compensation.xls",FY2022-FY2025,"Summary Compensation sheet",2026-08-13,4,"Multi-year comp cross-check"
03-S04,03,"Data-vendor export (CIQ)","...Financials (1).xls",FY2022-FY2026,"Income Statement; Historical Capitalization",2026-08-13,4,"Net Income; share price"
03-S05,03,"Module cross-input",earnings/01_historical-financials.md,FY22-FY26,"Section 1, EPS row",2026-08-13,4,"Diluted EPS for pay-vs-performance"
03-S06,03,"Module cross-input",management-governance/01_management-and-track-record.md,FY26,"Section 1",2026-08-13,4,"Founder ownership %"
03-S07,03,"Web (unverified, Level 2)","StockLens aggregator; Info Edge press coverage",FY2025,n/a,2026-08-13,2,"Single-peer CEO pay benchmark"
04-S01,04,"Audited annual filing","IndiaMART_InterMESH_Limited_-_Form_Annual_Report (Jun-02-2026)",FY2026,"Corporate Governance Report p.7219",2026-06-02,5,"Promoter/founder ownership %"
