name,identifier,role,grade,grade_basis,decisive_fact,coverage
Beth A. Wozniak,CIK 1720635 officer role + age 61 + Parker-Hannifin directorship,Chair (2023) & CEO (2018); director,Clean,own_record,Swept across SALI OpenSanctions EDGAR courts and dated media with nothing found; the one SALI Wozniak is Joseph J Wozniak of Washington State - possible namesake not attributed,Full sweep 2026-09-07
Gary L. Corona,Officer of CIK 1720635; age 51 at appointment,EVP & CFO from 2025-03-31,Clean,own_record,Nothing found on any database; hiring disclosed by 8-K and a 2025-03-11 release - disclosed but not in the frozen pool,Full sweep 2026-09-07
Jon D. Lammers,Officer of CIK 1720635; age 60,EVP General Counsel & Secretary (CS-equivalent) since 2018; retiring 2026-04-01,Clean,own_record,Nothing found; retirement notified 2025-07-11 by 8-K with ~9 months notice; Spirit AeroSystems litigation post-dates his 2012-2016 tenure by four years,Full sweep 2026-09-07
Sara E. Zawoyski,Officer of CIK 1720635; age 50,President Systems Protection from 2025-03-31; former EVP & CFO 2019-2025,Clean,own_record,Nothing found; the CFO handover was a disclosed internal move to a segment presidency not a departure,Full sweep 2026-09-07
Randolph A. Wacker,Officer of CIK 1720635; age 60,SVP & Chief Accounting Officer since 2018; Treasurer since 2019,Clean,own_record,Nothing found; retirement announced 2026-06-11 then reversed 2026-08-14 - unusual but disclosed both ways by 8-K,Full sweep 2026-09-07
Lynnette R. Heath,Officer of CIK 1720635; age 57,EVP & Chief Human Resources Officer since 2018,Clean,own_record,Core set run; no SALI sanctions or adverse-media hit,Full sweep (core set) 2026-09-07
Aravind Padmanabhan,Officer of CIK 1720635; age 56,EVP & Chief Technology Officer since 2019,Clean,own_record,Core set run; nothing found,Full sweep (core set) 2026-09-07
Martha C. Bennett,Officer of CIK 1720635; age 52,EVP & Chief Marketing Officer since Jan 2024,Clean,own_record,Core set run; nothing found,Full sweep (core set) 2026-09-07
Robert J. van der Kolk,Officer of CIK 1720635; age 56,President EMEA & APAC from 2025-03-17,Clean,own_record,Core set run; nothing found,Full sweep (core set) 2026-09-07
Brian Coleman,Officer of CIK 1720635; 3M 14 years to 2025,President Electrical Connections from 2025-03-17,Clean,own_record,Core set run; nothing found. Independently reached - he appears nowhere in the frozen pool,Full sweep (core set) 2026-09-07
Tyler Krutzig,Officer-designate of CIK 1720635; age 39,Assistant Corporate Controller since 2019; CAO appointment superseded by the 2026-08-14 reversal,Clean,own_record,Core set run; nothing found; appointment and reversal both disclosed by 8-K,Full sweep (core set) 2026-09-07
Sherry A. Aaholm,Director of CIK 1720635; age 63,Independent director since 2023; Audit & Finance Committee,Clean,own_record,Tier-C set run - nothing found,Scoped (Tier-C) 2026-09-07 - A16-04/05/07/08 not assessed at this tier
Jerry W. Burris,Director of CIK 1720635; age 62,Independent director since 2018; Chair Compensation & Human Capital,Clean,own_record,Tier-C set run - nothing found; Associated Materials 2020 recapitalisation post-dates his January-2014 exit as CEO by six years,Scoped (Tier-C) 2026-09-07 - A16-04/05/07/08 not assessed at this tier
Susan M. Cameron,Director of CIK 1720635; age 67; anchored on nVent + Aramark + Tupperware directorships and the Reynolds American CEO history,Lead Director independent since 2018; Compensation and Governance committees,Minor concerns,own_record (association NOT a personal finding) - no adverse record exists against this person; the grade reflects her non-executive chairmanship of Tupperware Brands,Non-Executive Chairman of Tupperware Brands from November 2019 (director from 2011) through its August-2023 restatement disclosed ICFR material weaknesses going-concern conclusion and 2024-09-18 Chapter 11 filing. No SALI entry no sanctions match no regulator order no litigation naming her; disclosed in nVent's own 2026 proxy; the linkage is dead - both the directorship and the company have ended,Full sweep 2026-09-07 (escalated from Tier C)
Michael L. Ducker,Director of CIK 1720635; age 72,Independent director since 2018; Chair Governance & Sustainability,Clean,own_record,Escalated checks on both past boards: the U.S. Xpress IPO class actions were filed before his September-2020 appointment and dismissed without prejudice 2023-08-14,Full sweep 2026-09-07
Diane Leopold,Director of CIK 1720635; age 59,Independent director since 2025-07-17; Audit & Finance Committee,Clean,own_record,Tier-C set run - nothing found; CMS Energy's SEC round-trip-trading settlement is from ~2004 and predates her directorship by roughly two decades,Scoped (Tier-C) 2026-09-07 - A16-04/05/07/08 not assessed at this tier
Danita K. Ostling,Director of CIK 1720635; age 65; EY partner 1999-2021 CPA,Independent director since 2022; Audit & Finance Committee,Clean,own_record,Escalated because she is a live audit-committee chair at two other entities. No SALI no sanctions no adverse record. Her audit-chair role at the private Varsity Brands is a live hop-1 linkage tested against both RF-NET-003 fact sets and matching neither,Full sweep 2026-09-07
Nicola Palmer,Director of CIK 1720635; age 58,Independent director since 2020; Compensation and Governance committees,Clean,own_record,Tier-C set run - nothing found,Scoped (Tier-C) 2026-09-07 - A16-04/05/07/08 not assessed at this tier
Herbert K. Parker,Director of CIK 1720635; age 67,Independent director since 2018; Chair Audit & Finance Committee,Clean,own_record,Escalated because he chairs the audit committee. No SALI no sanctions no order. At Apogee Enterprises three plaintiff firms opened investigations in January 2026 after a guidance cut - no complaint filed no restatement no material weakness; weakest signal tier recorded and not treated as a finding,Full sweep 2026-09-07
Greg Scheu,Director of CIK 1720635; ABB Americas President to 2019,Independent director 2021 - term expires at the 2026 AGM; board reduced 10 to 9,Clean,own_record,Tier-C set run - nothing found; a scheduled term expiry disclosed in the 2026 proxy alongside a stated board-size reduction - not a mid-term resignation and not tied to any event,Scoped (Tier-C) 2026-09-07 - A16-04/05/07/08 not assessed at this tier
Tom Currier,Anchored on Maverick Power + the 2026 EY Entrepreneur of the Year Southwest finalist listing,Founder President & CEO of Maverick Power - counterparty principal in a pending $1.75bn acquisition; not yet an nVent KMP,Clean,own_record,Core set run: no SALI entry no sanctions match no litigation or adverse media found,Full sweep (core set) 2026-09-07
