"name","identifier","role","grade","grade_basis","decisive_fact","coverage"
"F. Thomson Leighton","AKAM CEO/director; SEC proxy role anchor","Co-founder, CEO, President and Director","Clean","own_record","No material attributable adverse fact identified in completed coverage-limited checks.","SEC/company identity and scoped public searches; legal databases incomplete."
"Edward J. McGowan","AKAM CFO; SEC proxy role anchor","EVP, CFO and Treasurer","Clean","own_record","No material attributable adverse fact identified; WinVest role disclosed.","Scoped public search; complete outside-directorship and licensing registers unavailable."
"Daniel R. Hesse","AKAM independent-chair role anchor","Independent Chair","Clean","own_record","No material attributable adverse fact identified; disclosed SPAC dissolution is not personal wrongdoing.","SEC proxy and scoped public search; court and registry coverage incomplete."
"Aaron Ahola","AKAM general-counsel role anchor","EVP, General Counsel and Secretary","Clean","own_record","No material adverse fact identified; Nasdaq council role retained as a monitor item.","SEC proxy and scoped public search; recusal controls unverified."
"Laura Howell","AKAM CAO role anchor","SVP, Chief Accounting Officer","Clean","own_record","No material attributable adverse fact identified.","Frozen filing role anchor and scoped public search."
"Adam Karon","AKAM COO role anchor","EVP, COO and GM, Cloud Technology","Clean","own_record","No material attributable adverse fact identified.","Frozen/proxy role anchor and scoped public search."
"Paul C. Joseph","AKAM sales-executive role anchor","EVP, Global Sales","Clean","own_record","No material attributable adverse fact identified.","Frozen/proxy role anchor and scoped public search."
"Kimberly Salem-Jackson","AKAM CMO role anchor","EVP, Chief Marketing Officer","Clean","own_record","No material attributable adverse fact identified.","Frozen/proxy role anchor and scoped public search."
"Robert Blumofe","AKAM CTO role anchor","EVP, Chief Technology Officer","Clean","own_record","No material attributable adverse fact identified.","Frozen/proxy role anchor and scoped public search."
"Mani Sundaram","AKAM security-executive role anchor","EVP and GM, Security Technology","Clean","own_record","No material attributable adverse fact identified.","Frozen/proxy role anchor and scoped public search."
"Anthony Williams","AKAM CHRO role anchor","EVP, Chief Human Resources Officer","Clean","own_record","No material attributable adverse fact identified.","SEC proxy role anchor and scoped public search."
"Mark Stoutenberg","AKAM investor-relations role anchor","Head of Investor Relations","Clean","own_record","No material attributable adverse fact identified.","Frozen role anchor and scoped public search."
"Janaki Akella","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Sharon Y. Bowen","AKAM director role anchor","Director","Clean","own_record","Former CFTC role disclosed; no material adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Marianne C. Brown","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Bas Burger","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Peter T. Killalea","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Jonathan F. Miller","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Madhu Ranganathan","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Bernardus Verwaayen","AKAM director role anchor","Director","Clean","own_record","No material attributable adverse fact identified.","SEC proxy and scoped public search; complete historic board map unavailable."
"Monte Ford","AKAM director through 2026 annual meeting","Director through the 2026 annual meeting","Clean","own_record","Disclosed annual-meeting departure; no adverse resignation fact identified.","SEC proxy and scoped public search."
"Daniel Lewin","Akamai company-history co-founder anchor","Co-founder","Clean","own_record","No material attributable adverse fact identified.","Self-disclosed company history and scoped public search; historical records incomplete."
"Jonathan Seelig","Akamai company-history founding-team anchor","Founding-team member","Clean","own_record","No material attributable adverse fact identified.","Self-disclosed company history and scoped public search; historical records incomplete."
"Randall Kaplan","Akamai company-history founding-team anchor","Founding-team member","Clean","own_record","No material attributable adverse fact identified.","Self-disclosed company history and scoped public search; historical records incomplete."
"Unnamed Chief Security Officer","none","Chief Security Officer","","","Role is mentioned but no name is available.","Not run; identity not established."
