source_id,agent,source_type,filename_filing,period,page_section,date,confidence_1_to_5,used_for
S1-01,01,Proxy statement,Annual Meeting Proxy Statement_2026.pdf,"FY2025 comp / Dec-2025 record date","Election of Directors p.27,33; Executive Officers p.35-36; Potential Payments p.60","2026 (mailed 2025-12-17)",5,"Executive bios, appointment dates, severance economics"
S2-01,01,Annual filing (10-K),Annual Report on Form 10-K_2025.pdf,"FY2025 ended Aug-30-2025","Various","Filed 2025-10-28",5,"FY2025 actual results for guidance comparison"
S3-01,01,Quarterly filing (10-Q),Form 10-Q Jul-09-2026,"FQ3 FY2026","Note 4; Item 4","Filed 2026-07-09",5,"OWYN/Atkins impairment detail; controls-effectiveness"
S4-01,01,Earnings-call transcript,Q2 2026 Earnings Call,"FQ2 FY2026","Prepared remarks, Q&A","2026-04-09",3,"Turnaround plan, FY26 initial guide"
S5-01,01,Earnings-call transcript,Q3 2026 Earnings Call,"FQ3 FY2026","Prepared remarks, Q&A","2026-07-09",3,"Turnaround progress, updated guide, long-term targets"
S6-01,01,Vendor data export (CIQ),Estimates Report.xls Guidance tab,"FY2018-FY2026","Guidance tab","Data as of 2026-07-09/21",4,"Multi-year guidance-vs-actual tracking"
S7-01,01,Vendor news export (CIQ),Key Developments.rtf,"Rolling","Jan-Feb 2026 entries","2026-07-24",4,"Management-change announcements"
S8-01,01,Cross-module,business-model/01_disqualifier-scan.md,"FY2025","sec1,sec3","2026-08-06",5,"Hard-disqualifier clearance"
S9-01,01,Cross-module,business-model/11_capital-allocation-governance.md,"FY2025/FY2026","sec1,sec3,sec4","2026-08-06",5,"OWYN M&A scoring, turnover severity"
S10-01,01,Cross-module,business-model/12_red-flags-sweep.md,"FY2025/FY2026","sec2","2026-08-06",5,"CEO severance, CFO/PAO dual-hat"
S11-01,01,Cross-module,earnings/04_guidance-consensus.md,"FQ1-FQ3 FY2026","sec2,sec3,sec5,sec6","2026-08-06",5,"Beat/miss pattern, revision breadth"
S1-02,02,Annual filing (10-K),Annual Report on Form 10-K_2025.pdf,"FY2025","p.32,43-44,73-74","Filed 2025-10-28",5,"Dividend policy, buyback share counts, OWYN consideration"
S2-02,02,Quarterly filing (10-Q),Form 10-Q Jul-09-2026,"FQ3 FY2026 (39wk to May-30-2026)","p.15,31-32, Note 4","Filed 2026-07-09",5,"FY2026 buyback shares/prices, debt issuance, impairments"
S3-02,02,Vendor data export (CIQ),Financials_Annual.xls Cash Flow/Balance Sheet,"FY2017-FY2025 + LTM May-2026","Cash Flow; Balance Sheet tabs","Data as of 2026-07-24",4,"Uses-of-capital, share-count trend, invested-capital inputs"
S4-02,02,Vendor data export (CIQ),Financials_Annual.xls Income Statement,"FY2017-FY2025 + LTM","Effective Tax Rate row","Data as of 2026-07-24",4,"NOPAT/incremental-ROIC tax rate input"
S5-02,02,Cross-module,business-model/11_capital-allocation-governance.md,"FY2025/FY2026","sec1,sec4","2026-08-06",5,"Quick-read baseline, insider-buying detail"
S6-02,02,Cross-module,earnings/01_historical-financials.md,"FY2021-FY2025 + TTM","sec1,sec2","2026-08-06",5,"GAAP EBIT/EBITDA, CFO, capex, FCF, net debt"
S7-02,02,In-module,management-governance/01_management-and-track-record.md,"FY2024-FY2026","sec4,sec5","2026-08-06",5,"OWYN promise-vs-delivery, buyback price corroboration"
S8-02,02,Vendor ownership export (CIQ),Public Ownership Insider Trading.xls,"Apr-May 2026","Kilts/Daley entries","Data as of 2026-08-06",4,"Insider-purchase prices"
S1-03,03,Proxy statement,2026 Annual Meeting Proxy Statement,"FY2025 comp; AGM 2026-01-28","CD&A p.40-63","2026",5,"Comp structure, bonus/LTIP metrics, SCT, CAP, pay ratio"
S2-03,03,Exchange disclosure,Key Developments feed,"Jan 2026","Entries 2026-01-20/21/26","2026-01-20 to 2026-01-26",4,"CEO transition timing"
