name,identifier,role,grade,grade_basis,decisive_fact,coverage
Lloyd A. Carney,not disclosed,Director; Compensation Committee Chair,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
Kermit R. Crawford,not disclosed,Director; Audit and Risk Committee Chair,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
Francisco Javier Fernández-Carbajal,not disclosed,Director,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
Teri L. List,not disclosed,Director,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
John F. Lundgren,not disclosed,Independent Board Chair,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Full Tier-A sweep; national directorship registry unavailable
Ryan McInerney,SEC reporting-owner CIK 0001578261,CEO and director,Minor concerns,own_record,"Named in Cai securities action, dismissed with leave to amend; same-name police record excluded.",Full Tier-A sweep; PACER post-dismissal status unavailable
Denise M. Morrison,not disclosed,Director,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
Pamela Murphy,not disclosed,Director,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
William Ready,not disclosed,Director,Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-C refresh; coverage-limited
Linda J. Rendle,not disclosed,Director,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
"Maynard G. Webb, Jr.",not disclosed,Director; Finance Committee Chair,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
Ramon Laguarta,not disclosed,Current director not standing for 2026 re-election,Minor concerns,own_record,Named in the consolidated 2025 derivative action; no public merits outcome located.,Tier-C refresh; coverage-limited
Paul D. Fabara,not disclosed,Chief Risk and Client Services Officer,Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Julie B. Rottenberg,not disclosed,General Counsel,Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Chris Suh,not disclosed,CFO,Minor concerns,own_record,"Named in Cai securities action, dismissed with leave to amend; same-name results excluded.",Full Tier-A sweep; PACER post-dismissal status unavailable
Rajat Taneja,not disclosed,"President, Technology",Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Kelly Mahon Tullier,not disclosed,"Vice Chair, Chief People and Corporate Affairs Officer; Corporate Secretary",Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Full Tier-A sweep; national directorship registry unavailable
Peter Andreski,not disclosed,"SVP, Global Corporate Controller and CAO",Minor concerns,own_record,"Named in Cai securities action, dismissed with leave to amend; no merits finding located.",Tier-B refresh; PACER post-dismissal status unavailable
Jennifer Como,not disclosed,Head of Investor Relations,Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Frank Cooper,not disclosed,Chief Marketing Officer,Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Antony J. Cahill,not disclosed,"Regional President and CEO, European Operations",Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Vidisha Chatterjee,not disclosed,"Senior Director, Corporate Communications, India and South Asia",Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Lisa Dejong Ellis,not disclosed,"SVP, Global Head of Strategy",Clean,own_record,No uniquely attributed adverse record in the accessed screens.,Tier-B refresh; coverage-limited
Dee Hock (deceased),not disclosed,Visa founder and CEO Emeritus,Clean,own_record,Historical founder; no current control and no uniquely attributed adverse record in the scoped screen.,Tier-B scoped historical sweep; coverage-limited
