name,identifier,role,grade,grade_basis,decisive_fact,coverage
"David Vélez Osorno","SEC Section 16/13G filer identity + Rua California Ltd. + age + Stanford record","Founder, Chairman & CEO; 74.4% of votes","Clean","own_record","Swept across criminal, civil, securities-regulator, sanctions, disqualification, insolvency and adverse-media screens - nothing found; controller vehicle Rua California Ltd. fully disclosed and unpledged","Full sweep 2026-09-06 (registry axis coverage-limited: Cayman register non-public)"
"Cristina Helena Zingaretti Junqueira","20-F Item 7.A fn.3 trust structure + age + USP/Kellogg","Co-founder; Chief Growth Officer & US CEO; 9.9% of votes","Clean","own_record","Nothing adverse on any swept axis; holding vehicles named individually in Item 7.A fn.3","Full sweep 2026-09-06"
"Rob Livingston","2026-06-01 appointment 6-K + Visa/Capital One record","Chief Financial Officer (from 2026-07-13)","Clean","own_record","Nothing adverse found; 18 years at Capital One and CFO North America at Visa, verified against the company announcement","Full sweep 2026-09-06 - thin record: 8 weeks in role"
"Roberto de Oliveira Campos Neto","Named public office (President, Banco Central do Brasil 2019-2024) + Item 6.A bio","Executive Vice-Chairman & Global Head of Public Policy (KMP)","Minor concerns","own_record","Held offshore companies in Panama and the BVI while serving as Brazil's central-bank governor; a Public Ethics Commission proceeding opened 2019, revived 2023, unfavourable report, ended by an STF decision rather than resolved on the merits - no sanction, no charge, no debarment; plus the regulator-to-regulated revolving door","Full sweep 2026-09-06"
"Anita Mary Sands","ServiceNow proxy + Item 6.A + age","Lead Independent Director; Audit & Risk Committee","Clean","own_record","Nothing adverse; took an executive role at General Catalyst in Jan-2026 while remaining Lead Independent Director - an independence question for 05, not an integrity finding","Scoped (Tier C) 2026-09-06 - criminal/tribunal, wilful-defaulter, insolvency and sanctions axes not independently assessed"
"Rogério Paulo Calderón Peres","Brazilian CPA registration + Alupar and Grupo Casas Bahia board disclosures + Item 6.A + age","Independent Director; Chair, Audit & Risk Committee; designated audit-committee financial expert","Minor concerns","exposure_via:Grupo Casas Bahia S.A.","No adverse record was found against this person on any swept axis; the grade reflects his board and audit/finance-committee seat at Grupo Casas Bahia S.A., which filed for recuperacao judicial on/around 2026-08-16 over R$17.3bn, and his reported departure from that board in the same days","Full sweep 2026-09-06"
"Thuan Quang Pham","Uber/Coupang/Faire officer records + Item 6.A + MIT + age","Independent Director; Audit & Risk Committee","Clean","own_record","Nothing adverse; he was Uber CTO 2013-2020 spanning the 2016 breach, but the concealment was the Chief Security Officer's and no source links Pham to it","Scoped (Tier C) 2026-09-06"
"David Alexandre Marcus","Lightspark CEO/co-founder identity + PayPal/Meta officer record + Item 6.A + age","Non-executive Director (independence designation dropped in the FY25 20-F); Compensation & People Committee","Clean","own_record","Nothing adverse; Libra/Diem wound down 2022 under regulatory pressure with no enforcement action ever brought against him. He is CEO of Lightspark, the near-certain Note 28(a) related-party counterparty","Full sweep 2026-09-06 (escalated on the RPT link)"
"Douglas Mauro Leone","Sequoia Capital partner record + Item 6.A + FEC donation records + age","Independent Director; Compensation & People Committee","Minor concerns","exposure_via:Sequoia Capital","No adverse record was found against this person and he is not individually named in the claims; the grade reflects his current partnership at Sequoia Capital (Global Managing Partner 2012-2022), which invested US$210m in FTX, wrote it to zero, and is a defendant in the pending FTX investor class actions (N.D. Cal., from 2023-02-14). Separately and not an integrity matter: 11 outside boards","Full sweep 2026-09-06 (escalated)"
"Diego Piacentini","Amazon SVP record + Italian Government Commissioner appointment + Bocconi + age","Independent Director (from Apr-2026)","Clean","own_record","Nothing adverse; his 2016-2018 Italian government commissioner term ended eight years ago and is fully disclosed","Scoped (Tier C) 2026-09-06"
"Jacqueline Dawn Reses","Lead Bank chair/CEO record + Block/Square officer record + Wharton + Item 6.A + age","Independent Director; Chair, Compensation & People Committee","Clean","own_record","Nothing adverse against her or Lead Bank; no FDIC, Federal Reserve or Missouri enforcement action located","Full sweep 2026-09-06 (escalated: director-CEO / RPT candidate)"
"Luis Alberto Moreno Mejía","IDB presidential record + Colombian ambassadorial record + Dow proxy + Item 6.A + age","Independent Director; Compensation & People Committee","Clean","own_record","A genuine, fully disclosed PEP (IDB President 2005-2020) who holds no current political office; no corruption finding, sanction or investigation found","Full sweep 2026-09-06 (escalated: PEP)"
"Michael J. Moritz KBE","NU Section 16 filer identity + Sequoia record + 29,669,166 Class A","Category UNRESOLVED - receives the non-employee-director RSU grant but appears on no board list","Clean","own_record","Nothing adverse on his own record; what is unresolved is his CATEGORY, not his integrity (A17-10)","Full sweep 2026-09-06"
"Adam Edward Wible","FY21 20-F founders definition + Princeton/INSEAD + São Paulo","Co-founder of Nu; former CTO (to Apr-2021)","Clean","own_record","Nothing adverse; a named founder of the listco missing from the seed Person Register, recovered by the Phase-2 founder loop - exactly what A17-06 exists to force","Full sweep 2026-09-06"
"Guilherme Marques do Lago","Item 6.A + Credit Suisse MD record + USP/HBS + age","Former CFO (Feb-2021 - Jul-2026); Special Advisor to Management and to the Audit & Risk Committee","Clean","own_record","Nothing adverse; succession announced six weeks ahead with a named successor and a transition to 2026-08-31. He gave the Q1'26 tax and NIM guides that 01 and earnings/04 mis-attributed to Livingston","Scoped (Tier B) 2026-09-06"
"Henrique Camossa Saldanha Fragelli","Item 6.A + HSBC/WestLB/LCH record + age","Chief Risk Officer","Clean","own_record","Nothing adverse; his sale of 221,707 shares on 2026-08-14, the day after Q2-2026 results, is an insider-behaviour question for 04, not an integrity finding","Scoped (Tier B) 2026-09-06"
"Eric Cristhopher Young","Item 6.A + Snap/Google/Amazon + Vanderbilt/Wharton + age","Chief Technology Officer (from Aug-2025)","Clean","own_record","Nothing adverse found","Scoped (Tier B) 2026-09-06"
"Livia Martines Chanes","Item 6.A + Itaú/McKinsey + USP/INSEAD + age","Brazil Chief Executive Officer (20-F title)","Clean","own_record","Nothing adverse found","Scoped (Tier B) 2026-09-06"
"Ethan Eismann","Item 6.A + Slack/Airbnb/Adobe + Berkeley/Pomona + age","Chief Design Officer (from Jul-2025)","Clean","own_record","Nothing adverse found","Scoped (Tier B) 2026-09-06"
"Suzana Kubric","Item 6.A + Kantar IBOPE/GSK/Novartis + FAAP/FIU + age","Chief People Officer","Clean","own_record","Nothing adverse found","Scoped (Tier B) 2026-09-06"
"Guilherme Souto","Signature on the AGM 6-K as Investor Relations Officer","Investor Relations Officer & Director of Market Intelligence","Clean","own_record","Nothing adverse; named signatory of the company's SEC 6-K filings","Scoped (Tier B) 2026-09-06"
"Carl Rivera","Vendor-export identity only; no filing anchor","Chief Product Officer","Clean","own_record","Nothing adverse found - but the identity anchor is a vendor export alone, so any adverse hit would have been unattributable","Scoped (Tier C) 2026-09-06 - coverage-limited (identity anchor)"
"Kim Farrell","Vendor-export identity only; ex-TikTok global head of creators","Global Marketing Director","Clean","own_record","Nothing adverse found; same identity-anchor limitation","Scoped (Tier C) 2026-09-06 - coverage-limited (identity anchor)"
"Mariel Lorena Reyes Milk","20-F Item 7.A fn.2 (spouse of Vélez)","Promoter-group individual; 1,500,000 Class B of record","Clean","own_record","Nothing adverse; the holding is disclosed and Vélez's deemed voting power over it is stated in the filing","Scoped (Tier C) 2026-09-06"
"Rubens Fernandes Pereira","20-F Item 7.A fn.3 (spouse of Junqueira)","Promoter-group individual; co-holder of the Junqueira trust/LLC vehicles","Clean","own_record","Nothing adverse; the vehicles are named individually in Item 7.A fn.3","Scoped (Tier C) 2026-09-06"
"UNNAMED - Company Secretary","none","Role named nowhere in the pool","Insufficient Data","not_applicable","A Cayman exempted company need not appoint one and an FPI need not name one - a regime fact, not concealment - but the Tier-A sweep slot is empty","Not assessable"
"UNNAMED - Chief Compliance Officer","none","BCB Res. 260 designated internal controls officer described; no individual named","Insufficient Data","not_applicable","Same regime reasoning; named on the register so the gap is visible, never silently Green","Not assessable"
"UNNAMED - head of internal audit","none","Internal-audit function described; no individual named","Insufficient Data","not_applicable","Same regime reasoning","Not assessable"
"UNNAMED - KPMG signing audit partner","none","Audit report signed /s/ KPMG Auditores Independentes Ltda. with no partner name in any year","Insufficient Data","not_applicable","PCAOB Form AP would name the partner; owned by 08. This is why RF-AUD-007's partner-level prong could not be swept","Not assessable"
