Filename,Type,Period Covered,Last Modified¹,Governance Relevance
Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Mar-26-2026).pdf,"Annual filing (SSE, China ASBE)",FY2025 (ended Dec-31-2025),filed 2026-03-26,High
Haier_Smart_Home_Co_Ltd_-_Form_Preliminary_Annual_Report(Mar-26-2026).pdf,Preliminary annual filing (SSE),FY2025,filed 2026-03-26,Medium (superseded by full annual report)
Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report(Apr-27-2026).pdf,"Annual filing (HKEX, IFRS)",FY2025 (ended Dec-31-2025),filed 2026-04-27,High — carries Connected-Transactions/Directors' Report detail not in the A-share version
Haier_Smart_Home_Co_Ltd_-_Form_Interim_Report(Apr-27-2026).pdf,Quarterly filing,Q1 2026 (ended Mar-31-2026),filed 2026-04-27,Medium
Haier_Smart_Home_Co_Ltd_-_Form_Interim_Report(May-18-2026).pdf,Quarterly/admin filing (dividend implementation notice),H1 2025-related admin notice,filed 2026-05-18,Low
Haier_Smart_Home_Co_Ltd_-_Form_Interim_Report(Nov-28-2025).pdf,Quarterly/admin filing,Q3 2025-related,filed 2025-11-28,Low-Medium
Haier_Smart_Home_Co_Ltd_-_Form_Interim_Report(Oct-30-2025).pdf,Quarterly filing,Q3 2025 (ended Sep-30-2025),filed 2025-10-30,Medium
Haier_Smart_Home_Co_Ltd_-_Form_Interim_Report(Oct-31-2025).pdf,Quarterly/admin filing,Q3 2025-related,filed 2025-10-31,Low
Haier_Smart_Home_Co_Ltd_-_(Oct-23-2025).pdf,Exchange/admin filing,2025-10-23,filed 2025-10-23,Low
HaierSmartHomeCoLtdSHSE600690_AllAccess.pdf,Capital IQ company profile bundle,current,data as of 2026-08-13,Medium
Key Document Digest.pdf,Filing index / digest (incl. SEC Form F-6 ref.),multi-year,current,Low-Medium
"Haier Smart Home Co., Ltd., Q2 2019 Earnings Call, Aug 30, 2019.pdf",Transcript,Q2 2019,2019-08-30,Low (stale — 84 months old)
"Haier Smart Home Co., Ltd., Q3 2019 Earnings Call, Oct 31, 2019.pdf",Transcript,Q3 2019,2019-10-31,Low (stale — 82 months old)
Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf,Board/director export (CapIQ),current,current,High
Haier Smart Home Co Ltd SHSE 600690 Committees.rtf,Board-committee export (CapIQ),current,current,High
Haier Smart Home Co Ltd SHSE 600690 Compensation Summary Compensation.rtf,Compensation export (CapIQ),FY2022-FY2025,current,High
Haier Smart Home Co Ltd SHSE 600690 Professionals.rtf,Management bios export (CapIQ),current,current,Medium
Haier Smart Home Co Ltd SHSE 600690 Private Ownership.rtf,Ownership export — private/strategic holders (CapIQ),"current, position dates through 2026",current,High
Haier Smart Home Co Ltd SHSE 600690 Public Ownership Summary.rtf,Ownership export — institutional/public summary + insider activity (CapIQ),positions through Aug-2026; insider buys/sells May-Aug 2026,current,High
Haier Smart Home Co Ltd SHSE 600690 Public Holdings Detailed.xls,Ownership export — detailed institutional holders (CapIQ),current,current,Medium-High
"Haier Smart Home Co Ltd SHSE 600690 Takeover Defenses.rtf / .xls (3 tabs: Corporate Governance, Compare Defenses, Takeover Defenses)",Control-structure / bylaws / board-mechanics export (CapIQ),current,current,High
Haier Smart Home Co Ltd SHSE 600690 Corporate Timeline.rtf / .xls,"Corporate-events timeline (incl. buybacks, M&A) (CapIQ)",multi-year through 2026,current,High
Haier Smart Home Co Ltd SHSE 600690 Key Developments.xls,Material-event log (8-K/exchange-intimation equivalent) (CapIQ),multi-year,current,High
Haier Smart Home Co Ltd SHSE 600690 Analyst Coverage.rtf,Analyst coverage list (CapIQ),current,current,Low
Haier Smart Home Co Ltd SHSE 600690 Events Calendar.xls,Events calendar (CapIQ),forward,current,Low
Haier Smart Home Co Ltd SHSE 600690 Investment Analysis Co Investors.xls,M&A / direct-investment detail (CapIQ),multi-year,current,Medium (capital-allocation evidence)
Haier Smart Home Co Ltd SHSE 600690 Investment Analysis Direct Investments.xls,M&A / direct-investment detail (CapIQ),multi-year,current,"Medium-High (capital-allocation evidence: GE Appliances, Candy, Kwikot, Haier Electronics Group deals)"
Haier Smart Home Co Ltd SHSE 600690 Investment Criteria Direct Investments.xls,Investment-criteria detail (CapIQ),current,current,Low
Haier Smart Home Co Ltd SHSE 600690 LP Co Investors.xls / LP Investments.xls,LP/fund-investor detail (CapIQ),current,current,Low
Haier Smart Home Co Ltd SHSE 600690 Comparable M A Transactions.xls,Comparable M&A transactions (CapIQ),multi-year,current,Medium
Haier Smart Home Co Ltd SHSE 600690 Transaction Advisors.xls,Deal-advisor list (CapIQ),multi-year,current,Low
Transaction Summary Public Offerings.xls,Equity/debt offering history (CapIQ),multi-year,current,Medium
"Haier Smart Home Co., Ltd. (SHSE_600690) Corporate Structure Tree.xls (3 tabs)",Corporate/subsidiary structure (CapIQ),current,current,Medium-High (related-party/opacity read)
Haier Smart Home Co Ltd SHSE 600690 Fixed Income Summary.rtf / Fixed Income Securities Summary.rtf,Debt-instrument summary (CapIQ),current,current,Low (governance)
