id,section,test,flag,finding,confidence,source,owner_agent
A1-01,A1,Board size & independence ratio,Green,10 of 11 are independent.,5,"[FY26 DEF 14A, Director Nominees, p.11; Director Independence, p.27]",board-and-shareholder-rights
A1-02,A1,Chair–MD/CEO separation,Green,Independent chair and CEO are separate.,5,"[FY26 DEF 14A, Board Leadership Structure, pp.28–29]",board-and-shareholder-rights
A1-03,A1,"Non-executive, non-promoter chair",Green,Lundgren is designated independent chair.,5,"[FY26 DEF 14A, Board Leadership Structure, pp.28–29]",board-and-shareholder-rights
A1-04,A1,TRUE independence of IDs (beyond the label),Red,Three IDs breach the registry tenure concern line; no other conflict is disclosed.,5,"[FY26 DEF 14A, Director Nominee Biographies, pp.13–23]",board-and-shareholder-rights
A1-05,A1,Director & KMP reputation *(from 07's per-person dossiers)*,Amber,"Civil litigation status, not misconduct finding.",4,"[Cai order, 2025-12-10; Kaur docket, 2025-03-26]",people-integrity-dossiers
A1-06,A1,Overboarding,Amber,List and Ready require disclosed exceptions.,5,"[FY26 DEF 14A, Outside Board Service, pp.25–26]",board-and-shareholder-rights
A1-07,A1,Attendance,Amber,"Detailed text gives ≥75%, not individual percentages; overview says 100%.",5,"[FY26 DEF 14A, Director Engagement, p.32; Key Governance Principles, p.7]",board-and-shareholder-rights
A1-08,A1,Skills / competence matrix,Green,"Finance, risk and payments skills are mapped.",5,"[FY26 DEF 14A, Skills and Qualifications Needed on Board, pp.24–25]",board-and-shareholder-rights
A1-09,A1,ID resignation pattern,Insufficient Data,Three-year resignation history is absent.,4,"[FY26 DEF 14A, Director Nominees, p.11]",board-and-shareholder-rights
A1-10,A1,Reappointment / removal patterns,Amber,Annual process exists; nominee dissent is missing.,5,"[FY26 DEF 14A, Director Nominees, p.11; Board Evaluations, pp.32–33]",board-and-shareholder-rights
A1-11,A1,Board evaluation process,Green,Method and actions are disclosed.,5,"[FY26 DEF 14A, Board and Committee Evaluations, pp.32–33]",board-and-shareholder-rights
A1-12,A1,Diversity & refreshment,Green,Median ID tenure is roughly 6.5 years.,5,"[FY26 DEF 14A, Director Nominee Biographies, pp.13–23; Board Refreshment, pp.23–24]",board-and-shareholder-rights
A1-13,A1,Succession planning (CEO & board),Green,"Process is disclosed, candidates are not.",5,"[FY26 DEF 14A, Human Capital and Succession Oversight, p.35]",board-and-shareholder-rights
A1-14,A1,Meeting cadence & ID-inclusive quorum,Amber,Cadence clears generic test; gaps/quorum/ID presence are absent.,5,"[FY26 DEF 14A, Director Engagement, p.32]",board-and-shareholder-rights
A1-15,A1,Permanent / age-exempt board seats,Green,All directors are annually elected.,5,"[FY26 DEF 14A, Director Nominees, p.11]",board-and-shareholder-rights
A1-16,A1,ID appointment/removal minority gate,Not Applicable,India-specific rule does not apply.,5,"[FY26 DEF 14A, Director Nominees, p.11; Voting Information, p.95]",board-and-shareholder-rights
A1-17,A1,IDs-only session & D&O cover,Amber,Executive sessions disclosed; D&O cover not disclosed.,5,"[FY26 DEF 14A, Executive Sessions, p.32]",board-and-shareholder-rights
A2-01,A2,Audit committee quality,Green,All members independent; three financial experts.,5,"[FY26 DEF 14A, Audit and Risk Committee, p.29]",board-and-shareholder-rights
A2-02,A2,NRC / Risk / Stakeholders committees,Green,US-equivalent committees are independent.,5,"[FY26 DEF 14A, Committees, pp.29–31; Director Independence, p.27]",board-and-shareholder-rights
A2-03,A2,CSR committee & spend *(India)*,Not Applicable,India CSR statutory test does not apply.,5,"[FY26 DEF 14A, Corporate Responsibility Oversight, pp.36–37]",board-and-shareholder-rights
A2-04,A2,Substance vs paper,Green,"Disclosed agendas cover risk, capital, pay and succession.",5,"[FY26 DEF 14A, Committees, pp.29–31]",board-and-shareholder-rights
A2-05,A2,Committee chair rotation & workload,Amber,Rotation is positive; two workload exceptions remain.,5,"[FY26 DEF 14A, Committee Chair Rotation, p.24; Outside Board Service, pp.25–26]",board-and-shareholder-rights
A3-01,A3,Promoter/controller holding trend (12 quarters),Not Applicable,"2,103,329 / 1,685,772,208 Class A shares = 0.125%; no promoter/controller. Vanguard 8.18% and BlackRock 7.32% were disclosed 5%+ holders.",5,"[FY25 DEF 14A, Stock Ownership Information / Principal Shareholders, pp.110–111]",ownership-and-insider-behavior
A3-02,A3,Share pledging / encumbrance (8–12 quarters),Insufficient Data,"Policy prohibits pledging, but no numeric pledge balance is disclosed.",5,"[FY25 DEF 14A, Hedging and Pledging Prohibition, p.69]",ownership-and-insider-behavior
A3-03,A3,Cross-holdings & pyramiding,Not Applicable,No promoter group is identified.,4,"[FY25 DEF 14A, Principal Shareholders, p.111]",ownership-and-insider-behavior
A3-04,A3,Differential voting rights,Amber,Class A has ordinary voting rights; B/C retain limited class rights on specified major transactions.,5,"[FY25 Form 10-K, Risk Factors—Capital Structure, p.34; Note 15—Stockholders’ Equity, pp.90–91]",ownership-and-insider-behavior
A3-05,A3,Cheap insider equity,Insufficient Data,Proxy does not provide a complete acquired-versus-awarded history or establish preferential pricing.,5,"[FY25 DEF 14A, Stock Ownership Information, p.110; Executive Compensation—Stock Options, p.74]",ownership-and-insider-behavior
A3-06,A3,Free float level,Green,Vendor classification supports widely held float but is not a legal free-float certification.,4,"[Capital IQ Public Ownership Summary, Ownership Summary — vendor export]",ownership-and-insider-behavior
A3-07,A3,Marquee investor entry/exit,Green,"Top five are BlackRock 137,669,061; Vanguard Capital Management 115,685,867; State Street 82,872,209; Capital Research 57,815,206; and Geode 45,285,275. Tracked holdings were stable; named reductions are not two marquee exits.",4,"[data/V/ciq_facts.json, `top_institutional_holders` and `institutional_ownership_trend`]",ownership-and-insider-behavior
A3-08,A3,Promoter-group classification hygiene,Not Applicable,Indian promoter-group classification does not apply.,5,"[FY25 DEF 14A, Beneficial Ownership of Equity Securities, pp.110–111]",ownership-and-insider-behavior
A3-09,A3,Beneficial-ownership transparency,Green,Known 5%+ holders and voting/dispositive power are identified; below-threshold ownership is not fully mapped.,5,"[FY25 DEF 14A, Principal Shareholders, p.111]",ownership-and-insider-behavior
A3-10,A3,Takeover-code disclosure hygiene,Not Applicable,Indian SAST does not apply; proxy reports applicable 2025 Section 16 compliance.,5,"[FY25 DEF 14A, Delinquent Section 16(a) Reports, p.111]",ownership-and-insider-behavior
