finding_id,agent,section,question,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
01-001,management-and-track-record,Key Executives,CEO tenure,Green,5,years,Stable,In line,18,0,5,High,"FY2025 10-K, p.4 (Executive Officers)",,None
01-002,management-and-track-record,Key Executives,CFO tenure,Green,11,years,Stable,Better than typical,18,0,5,High,"FY2025 10-K, p.4 (Executive Officers)",,None
01-003,management-and-track-record,Key Executives,Founder involvement and ownership,Green,8.8,%,Declining slowly,N/A,15,0,3,High,"FY2025 10-K Item 9B p.74; Web: 2026 proxy (unverified)",,Confirm in 2026 DEF 14A
01-004,management-and-track-record,Management Stability,CFO turnover (3 years),Green,0,departures,Stable,N/A,20,0,5,High,"FY2025 10-K, p.4 (Executive Officers)",,None
01-005,management-and-track-record,Management Stability,CEO turnover (3 years),Green,0,changes,Stable,N/A,20,0,5,High,"FY2025 10-K, p.4 (Executive Officers)",,None
01-006,management-and-track-record,Management Stability,AWS CEO succession June 2024,Green,,categorical,N/A,N/A,8,0,5,Medium,"FY2025 10-K, p.4–5",,Monitor Garman FY2026
01-007,management-and-track-record,Stated Strategy,Capex commitment to AI/AWS ~$200B FY2026,Amber,200,$B capex plan,Accelerating sharply,Comparable,,0,4,High,"FY2025 Shareholder Letter Apr 2026; Q1 2026 Earnings Call",,Track Q2/Q3 2026 actuals
01-008,management-and-track-record,Promise vs Delivery,AWS revenue re-acceleration,Green,28,% YoY Q1 2026,Accelerating,In line,28,0,5,High,"FY2023 Annual Report (promise); Q1 2026 10-Q p.7",,None
01-009,management-and-track-record,Promise vs Delivery,International profitability promise,Green,4.8,$B OI FY2025,Improving,N/A,25,0,5,High,"FY2023 Annual Report (promise); FY2025 10-K Note 10 p.68",,None
01-010,management-and-track-record,Promise vs Delivery,Cost-to-serve reduction 2023 promise,Green,,categorical,Improving,N/A,25,0,4,High,"FY2023 and FY2024 Annual Reports",,None
01-011,management-and-track-record,Promise vs Delivery,FCF compression explicitly telegraphed,Green,11.2,$B FCF FY2025,Declining as warned,N/A,20,0,5,High,"FY2024 Annual Report (warning); FY2025 10-K MD&A p.28",,Track FCF recovery FY2027
01-012,management-and-track-record,Promise vs Delivery,Operating income trajectory,Green,79975,$M EBIT FY2025,Accelerating,N/A,28,0,5,High,"FY2022 10-K (baseline); FY2025 10-K MD&A p.24",,None
01-013,management-and-track-record,Turnaround / Integrity,Turnaround thesis test,Not Applicable,,categorical,N/A,N/A,,,5,Medium,business-model/01_disqualifier-scan.md,,None
01-014,management-and-track-record,Turnaround / Integrity,Adverse integrity signal routed,Not Applicable,,categorical,N/A,N/A,,,5,Medium,business-model/01_disqualifier-scan.md,,None
01-015,management-and-track-record,Key Executives,2026 proxy not in data pool,Insufficient Data,,categorical,N/A,N/A,,,2,Medium,"FY2025 10-K, Item 10–13, p.74",,Agents 03/04/05 to apply caps
02-001,capital-allocation-scorecard,Uses of Capital,Capex as % of 5-yr CFO,Amber,90.5,% of CFO,Accelerating,N/A,15,0,5,High,"Capital IQ Cash Flow; FY2025 10-K p.36",,Monitor FY2026 ROIC
02-002,capital-allocation-scorecard,Uses of Capital,Acquisitions as % of 5-yr CFO,Green,6.2,% of CFO,Stable,N/A,4,0,5,Medium,"FY2025 10-K, Note 5, p.55",,None
02-003,capital-allocation-scorecard,M&A Scorecard,MGM acquisition returns,Amber,8.6,$B economic cost,N/A,N/A,3,0,3,Medium,"FY2025 10-K Note 5 p.55; Q1 2026 transcript",,Confirm MGM attributable ad revenue
02-004,capital-allocation-scorecard,M&A Scorecard,One Medical acquisition returns,Amber,3500,$M cost,N/A,N/A,2,0,3,Medium,"FY2025 10-K Note 5 p.55; Q1 2026 transcript",,Request standalone One Medical metrics
02-005,capital-allocation-scorecard,M&A Scorecard,Serial-acquirer pattern §24 Filter 4,Green,2,material deals in 5 yrs,Stable,N/A,5,0,5,High,"FY2025 10-K Note 5 p.55",,None
02-006,capital-allocation-scorecard,Buyback Scorecard,Net share count trajectory,Red,512,M shares net dilution 5yr,Persistent dilution,Worse than peers,5,5,5,High,"FY2025 10-K Note 8 p.62; Capital IQ Balance Sheet",RF-CAP-002,Why was authorization not used in FY2023?
02-007,capital-allocation-scorecard,Buyback Scorecard,Buyback price discipline,Amber,129.87,$/share avg FY2022,N/A,N/A,4,3,4,High,"FY2024 10-K Note 8; FY2025 10-K Note 8 p.62",,Intrinsic-value discipline not assessable without valuation module
02-008,capital-allocation-scorecard,Buyback Scorecard,SBC as dilution driver,Amber,97879,$M 5-yr SBC,Improving % of CFO,N/A,3,2,5,High,"Capital IQ Supplemental; FY2025 10-K Note 8 p.62",,Monitor SBC/CFO ratio
02-009,capital-allocation-scorecard,Dividends / Organic Reinvestment,Dividend policy,Green,0,% payout,Stable,N/A,5,0,5,Medium,"FY2025 10-K Item 5 p.19",,None
02-010,capital-allocation-scorecard,Dividends / Organic Reinvestment,Organic ROIC headline,Green,18.1,% ROIC FY2025,Stable,N/A,20,0,4,High,"Computed from FY2025 10-K and Capital IQ",,Recompute after FY2026
02-011,capital-allocation-scorecard,Dividends / Organic Reinvestment,Incremental ROIC FY2025,Amber,15.9,% iROIC,Decelerating,N/A,3,0,4,High,"Computed: ΔNOPAT/ΔIC; FY2025 10-K and Capital IQ",,If <12% in FY2026 reassess thesis
02-012,capital-allocation-scorecard,Dividends / Organic Reinvestment,FCF trend strict basis,Amber,7695,$M strict FCF FY2025,Decelerating sharply,N/A,0,2,5,High,"Capital IQ Cash Flow; FY2025 10-K p.28; Q1 2026 10-Q",,Track FCF recovery
02-013,capital-allocation-scorecard,Balance-Sheet Prudence,Net debt trajectory,Green,0.38,x Net Debt/EBITDA FY2025,Improving,N/A,8,0,5,High,"FY2025 10-K p.39; Capital IQ Ratios",,Monitor Q1 2026 debt issuance
02-014,capital-allocation-scorecard,Balance-Sheet Prudence,Off-balance-sheet commitments,Amber,439700,$M contractual,Deteriorating,N/A,2,1,5,High,"FY2025 10-K Note 7 p.59",,Track AWS backlog conversion
02-015,capital-allocation-scorecard,Per-Share Value Creation,EPS growth reported diluted,Green,7.17,$/share FY2025,Accelerating,N/A,7,0,5,High,"FY2025 10-K; Capital IQ Key Stats",,Use normalized EPS $4.70
02-016,capital-allocation-scorecard,Per-Share Value Creation,CFO per share trend,Green,12.97,$/share FY2025,Accelerating,N/A,8,0,5,High,"Capital IQ Cash Flow; FY2025 10-K p.36",,None
03-001,incentives-and-compensation,Compensation Structure,Proxy absent — partial data,Insufficient Data,,categorical,N/A,N/A,,,2,High,"FY2025 10-K Item 11, p.74",,Add 2026 DEF 14A to pool
03-003,incentives-and-compensation,Compensation Structure,CEO annual bonus,Green,0,USD,Stable,Better than typical,8,0,4,High,"Capital IQ Takeover Defenses; FY2025 10-K p.1596",,None
03-005,incentives-and-compensation,Compensation Structure,CEO cash vs equity mix,Green,99.9,% equity,Stable,Better than peers,12,0,3,High,"Web: 2026 DEF 14A philosophy (unverified)",,None
03-007,incentives-and-compensation,Performance Metrics,LTIP performance conditions,Amber,0,explicit conditions,Stable,Worse than peers,12,0,3,High,"Capital IQ Takeover Defenses; FY2025 10-K Note 1 p.44",,Request LTIP terms from DEF 14A
03-008,incentives-and-compensation,Performance Metrics,Size-based metrics present,Green,0,size-based metrics,Stable,Better than typical,8,0,4,High,"Capital IQ Takeover Defenses; FY2025 10-K p.1596",,None
04-001,ownership-and-insider-behavior,Ownership,Bezos founder stake,Green,8.8,% shares outstanding,Declining slowly,In line single class,20,0,3,High,"Web: 2026 DEF 14A via multiple outlets (unverified); FY2025 10-K Item 9B p.74",,Confirm in DEF 14A
04-004,ownership-and-insider-behavior,Ownership,Bezos bought vs granted,Green,,founder equity,Stable,N/A,15,0,5,High,"FY2025 10-K p.4–5; Item 9B p.74",,None
04-005,ownership-and-insider-behavior,Ownership,Jassy and other officers bought vs granted,Amber,,granted RSUs,Stable,In line,5,-5,5,High,"FY2025 10-K Item 9B p.74",,None
04-007,ownership-and-insider-behavior,Insider Transactions,Bezos 10b5-1 selling plan Nov 2025,Amber,15000000,shares max planned,Continuing,N/A,,,5,High,"FY2025 10-K Item 9B p.74",,Track actual Form 4s
04-012,ownership-and-insider-behavior,Insider Transactions,No open-market insider buys 12 months,Amber,0,open-market purchases,Stable,In line,5,-5,4,Medium,"FY2025 10-K Item 9B p.74; Q1 2026 10-Q Item 5",,Watch for open-market buys
04-013,ownership-and-insider-behavior,Pledging,Insider share pledging,Green,0,shares pledged,Stable,In line,20,0,4,High,"FY2025 10-K Note 3 p.54; disqualifier scan",,Confirm DEF 14A anti-pledging policy
04-014,ownership-and-insider-behavior,Control Structure,Dual-class / super-voting,Green,,None,Stable,Better than mega-cap tech,10,0,5,High,"Capital IQ Takeover Defenses Jul 2026",,None
04-017,ownership-and-insider-behavior,Control Structure,Filter 6 controlling-owner alignment,Green,,Not triggered,Stable,N/A,,,5,High,"CLAUDE.md §24 Filter 6; Capital IQ Takeover Defenses Jul 2026",,None
