table,governance_need_or_source,best_available_source_or_period,period_or_as_of_date,confidence_1_to_5_or_age,missing_or_stale,replacement_or_impact
Source Coverage Matrix,Board composition,"Annual Meeting Proxy Statement_2026.pdf, ""Election of Directors"" (11 nominees)","As of Dec 1, 2025 record date / Jan 28, 2026 meeting",5,N,—
Source Coverage Matrix,Compensation,"Proxy, ""Compensation Discussion and Analysis"" (p.40) + Summary Compensation Table","FY2025 (ended Aug 30, 2025)",5,N,—
Source Coverage Matrix,Ownership,"Proxy Beneficial Ownership table + CIQ Public Ownership Summary/History exports","Dec 1, 2025 (proxy) / current snapshot through Mar-2026 (CIQ)","5 (proxy) / 4 (CIQ export)",N,—
Source Coverage Matrix,Insider trades,"CIQ Public Ownership Insider Trading.xls (Form-4-sourced)",All history through 2026-07-24 filed date,4,N,—
Source Coverage Matrix,Related-party transactions,"Proxy, ""Certain Relationships and Related Person Transactions"" (p.65)",FY2025 / current,5,N,—
Source Coverage Matrix,Auditor report,"FY2025 10-K, Report of Independent Registered Public Accounting Firm (Deloitte & Touche LLP)","FY2025 (ended Aug 30, 2025)",5,N,—
Source Coverage Matrix,Secretarial / compliance report,"N/A — no US-regime equivalent required (secretarial audit is an India Companies Act concept, not applicable here)",—,N/A,N (not applicable to this jurisdiction),—
Source Coverage Matrix,AGM voting,"Proxy discloses prior-year (2025) advisory-vote results (97.3% approval); current-year (2026) meeting voting results not yet in pool (meeting held Jan 28, 2026, results typically filed via 8-K, not present as standalone doc)","2025 AGM vote results disclosed; 2026 vote outcome not separately confirmed in this pool",3,Partial,"Key Developments.rtf may carry the outcome; not separately confirmed in this triage"
Source Coverage Matrix,Capital-allocation history,"Financials_Annual.xls (Cash Flow, Capital Structure Summary/Details) + FY2025 10-K MD&A/Notes",Multi-year (annual tabs) + FY2025,4,N,—
Source Coverage Matrix,Legal / regulatory cases,"FY2025 10-K, Item 3 Legal Proceedings (not separately confirmed in this triage read, standard SEC 10-K section)",FY2025,4,N,—
Data Freshness,Annual Meeting Proxy Statement_2026.pdf,"Record date Dec 1, 2025 / meeting Jan 28, 2026",2026-01-28,~6 months,N,Within normal proxy-cycle freshness for governance/comp/ownership read
Data Freshness,Annual Report on Form 10-K_2025.pdf,FY2025 ended Aug 30 2025,"Filed 2026-10-28 [sic — filed 2025-10-28]",~9.3 months since FY-end,N,Standard annual-filing lag; well within typical 12-18 month usability window
Data Freshness,Form 10-Q (Jul-09-2026),FQ3 FY2026 ended ~May 30 2026,Filed 2026-07-09,<1 month,N,Most current interim filing in the pool
Data Freshness,Q3 2026 Earnings Call transcript,FQ3 FY2026,2026-07-09,<1 month,N,Most current candor/tone read
Data Freshness,Public Ownership Insider Trading.xls,All-history Form-4 export,Latest entries filed 2026-07-24,<1 month,N,Current for insider-conviction read
Data Freshness,Public Ownership History.xls,Quarterly snapshots Jun-2025 through Mar-2026,Latest column Mar-31-2026,~4 months,N,Slightly behind the insider-trading export but adequate for institutional-ownership trend
