agent,source_id,source_type,filename_filing,period,page_section,date,confidence_1_to_5,used_for
01_management-and-track-record,S1,"Audited annual report (Norway statutory equivalent of 10-K, incl. NUES Governance Report)",integrated-annual-report-2025.pdf,FY2025,"""Letter to stakeholders"" p.4-5; ""Other details"" p.46; ""Profit"" p.~44-45; Note 9.1 p.198",Board-approved 2026-02-12,5,CEO/CFO/Chair tenure and shares; ARoaCE and improvement-program targets vs actuals; ownership context
01_management-and-track-record,S2,Investor presentation,nhy-investor-day-2025.pdf,2025 (dated 27 Nov 2025),"""2025 \","Delivering on our key strategic priorities,"" p.6",2025-11-27,3,Management's own self-reported scorecard of 2025 targets kept/missed
01_management-and-track-record,S3,Earnings transcript,"Norsk Hydro ASA, Q4 2025 Earnings Call, Feb 13, 2026.pdf",FQ4 2025,"Presentation section, p.4",2026-02-13,3,Candor/tone on Extrusions headwinds and plant closures
01_management-and-track-record,S4,Capital IQ export,Norsk Hydro ASA OB NHY Board Members.rtf,Current,"""Bjerke, Rune"" entry",2026-07-18,4,Chair background and prior directorships
01_management-and-track-record,S5,Cross-module input,business-model/01_disqualifier-scan.md,FY2025,"§1 (disqualifiers #1, #5, #8)",2026-07-19,5,"Confirms no auditor qualification, no restatement, positive CFO in all recent years — supports the ""not a turnaround"" and ""no integrity buzz"" reads"
01_management-and-track-record,S6,Cross-module input,business-model/11_capital-allocation-governance.md,FY2021-FY2025 + LTM,"""Senior management turnover"" row",2026-07-19,4,Corroborates the 2024 CEO/CFO/Chair transition detail and its severity read
01_management-and-track-record,S7,Cross-module input,earnings/04_guidance-consensus.md,FQ2 2025-FQ1 2026,§6 Historical Beat/Miss Pattern; §3 Guidance vs Consensus,2026-07-19,4,Revenue/EPS beat-miss record; FY2026 capex guidance vs Street
01_management-and-track-record,S8,"Web (unverified, dated)","Hydro.com news release, ""2024: Eivind Kallevik new CEO""",2024-03-14,—,2024-03-14,2,"Confirms CEO succession was voluntary (Aasheim chose to step down), not disclosed in the pool itself"
01_management-and-track-record,S9,"Web (unverified, dated)","Hydro.com / GlobeNewswire, ""Trond Olaf Christophersen appointed acting CFO""",2024-03-06,—,2024-03-06,2,"Confirms predecessor CFO Pål Kildemo's departure to Emirates Global Aluminium, not disclosed in the pool itself"
02_capital-allocation-scorecard,S1,Audited annual report (Norway statutory equivalent of 10-K),integrated-annual-report-2025.pdf,FY2025,"""The Hydro share"" p.63-65; Note 7.6 p.183-184; ""Alternative Performance Measures"" p.232-233; impairment note p.~7418 (Alumetal); business-area note p.674; Batteries/hydrogen narrative p.6746-6749, p.7411-7413, p.10247-10248, p.10316; RPT note p.198",Board-approved 2026-02-12,5,"Dividend/buyback/share-count disclosure, Alumetal impairment headroom, battery/hydrogen growth-bet exit, RoaCE/Capital Employed, share price range table"
02_capital-allocation-scorecard,S2,Capital IQ export,"Norsk Hydro ASA OB NHY Financials.xls, Cash Flow tab",FY2021-FY2025 + LTM Mar-2026,Cash Flow tab,2026-07-18,"4 (5 for CFO/Capex/dividends/buybacks, spot-checked; 2 for Cash Acquisitions/Divestitures, flagged unreliable)","Uses-of-capital table, buyback/dividend cash flows, debt issued/repaid"
02_capital-allocation-scorecard,S3,Capital IQ export,"Norsk Hydro ASA OB NHY Financials.xls, Balance Sheet tab",FY2021-FY2025 + Mar-2026,"""Total Shares Out. on Filing Date,"" Treasury Stock",2026-07-18,5,Net share-count trend (buyback scorecard §3)
02_capital-allocation-scorecard,S4,Capital IQ export,"Norsk Hydro ASA OB NHY Financials.xls, Ratios tab",FY2021-FY2025 + LTM,"""Return on Capital %"" row",2026-07-18,2 (flagged unreliable — does not reconcile to company-reported EBIT),Cross-check only; not used as authoritative
02_capital-allocation-scorecard,S5,Cross-module input,earnings/01_historical-financials.md,FY2021-FY2025,"§1, §6, data-quality note",2026-07-19,5,"CFO/Capex/FCF figures, CIQ EBIT/EBITDA mismatch flag"
02_capital-allocation-scorecard,S6,Cross-module input,business-model/11_capital-allocation-governance.md,FY2021-FY2025 + LTM,"§1 Signal Table, §4 Score",2026-07-19,4,"Quick-read baseline this module deepens; capex/D&A ratio, RPT and pledging context"
02_capital-allocation-scorecard,S7,Cross-module input,management-governance/01_management-and-track-record.md,FY2025,"§4 Promise vs Delivery, Finding 01-008",2026-07-19,5,Confirms the Recycling/Extrusions 2025 EBITDA-target miss that Alumetal sits inside
02_capital-allocation-scorecard,S8,"Web (unverified, dated)","mainsights.io / infrapppworld.com, Alumetal tender-offer coverage",2023,—,2023 (exact date not captured),2,Alumetal deal price (EUR 267m equity / EUR 351m EV) — not disclosed in the current filing pool
02_capital-allocation-scorecard,S9,"Web (unverified, dated)","exchangerates.org.uk, EUR/NOK 2023 average rate",2023,—,2023,2,"FX conversion for the Alumetal price estimate (inference, not from filings)"
03_incentives-and-compensation,S1,Audited annual report (Norway NUES equivalent),integrated-annual-report-2025.pdf,FY2025,"Note 9.1 Related party information, p.198; NUES Report §§11-12, p.296-297; ""The Hydro share,"" p.64",Board-approved 2026-02-12,5,"Aggregate ELT pay context, remuneration-policy narrative, LTI/no-option statement, TSR peer-group naming"
03_incentives-and-compensation,S2,"Company filing — statutory remuneration report (Norway proxy-equivalent, KPMG-assured)",Norsk Hydro ASA Report on executive remuneration 2025 (fetched directly from hydro.com; not in local `DATA_PATH`),FY2025 (and FY2024/2020-2024 comparatives),"pp.4, 7, 9, 11-13, 16-17, 20-23, 26-30",Published ahead of 2026-05-07 AGM; KPMG assurance dated 2026-02-12,5,"Individual CEO/CFO pay figures, STI/LTI metric weights and thresholds, 2025 achievement/payout detail, say-on-pay vote result, LTI redesign, board fees, share ownership"
03_incentives-and-compensation,S3,"Web (secondary, dated, figures traced to company's own FY2024 report)","Simply Wall St, ""This Is Why Shareholders May Want To Hold Back On A Pay Rise For Norsk Hydro ASA's (OB:NHY) CEO""",FY2024,Article body,~2025 (unverified date),2,"Peer-median CEO pay benchmark (Norway Metals & Mining, mkt cap >NOK 83bn); 3-year EPS/TSR context for the FY2024 pay-rise criticism"
03_incentives-and-compensation,S4,"Web (unverified, dated)","GlobeNewswire, ""Norsk Hydro: Minutes from the Annual General Meeting 2026""",2026 AGM,Press release body,2026-05-07,2,Confirms the 2026 AGM adopted all Board proposals; does not give the line-item vote split
03_incentives-and-compensation,S5,Cross-module input,`management-governance/01_management-and-track-record.md`,FY2021-2025,ARoaCE 10.2% vs 10% goal finding,2026-07-19,5,Corroborates Group-level ARoaCE outcome used as STI/LTI reference context
03_incentives-and-compensation,S6,Cross-module input,`business-model/08_competitive-map.md`,FY2025,TSR/remuneration peer-group naming,2026-07-19,4,Corroborates the LTI TSR peer group named in the annual report
04_ownership-and-insider-behavior,S1,"Audited annual report (Norway statutory equivalent of 10-K, incl. NUES Corporate Governance Report)",integrated-annual-report-2025.pdf,FY2025 (year ended 2025-12-31),"""Other details"" p.46 (Board/ELT shareholding table); ""The Hydro share"" p.64-65 (Top 15 shareholders, share data); Note 9.1 Related party information p.198; NUES Report §4/§14 p.293",Board-approved 2026-02-12,5,"Ownership table, insider ownership, control structure, State mandate, pledging check"
04_ownership-and-insider-behavior,S2,Data-vendor company profile export (S&P Capital IQ),NorskHydroASAOBNHY_PublicCompany.pdf,Holders as of 2026-07-18; market data as of 2026-07-17,"""Top Holders"" table",2026-07-18,4,"Fresher ownership cut, cross-check against the FY2025 filing"
04_ownership-and-insider-behavior,S3,Cross-module reference (business-model quick-read),business-model/11_capital-allocation-governance.md,FY2025,"Rows 14-16 (RPT, insider/promoter ownership, pledging)",2026-07-19,4,Corroboration of no pledging and stable State stake
04_ownership-and-insider-behavior,S4,Cross-module reference (business-model hard-disqualifier scan),business-model/01_disqualifier-scan.md,FY2025/FY2024,Row 2 (pledging test),2026-07-19,4,Corroboration of zero pledging hits
04_ownership-and-insider-behavior,S5,"Web source (unverified, labeled context only, NOT used for any red flag)","GlobeNewswire, ""Norsk Hydro: Primary insiders purchase shares under Long-Term Incentive program and shares to employees""",2026-04-22/23,Full release,2026-04-22,2,Context-only signal on LTI/employee-share purchase mechanism and pricing
04_ownership-and-insider-behavior,S6,In-module upstream input,management-governance/01_management-and-track-record.md,FY2025,Key Executives table,2026-07-19,5,CEO/CFO tenure and share-count cross-check
04_ownership-and-insider-behavior,S7,In-module upstream input,management-governance/00_governance-data-triage.md,FY2025/current,"Sections 3, 5, 5B",2026-07-19,5,Confirmed insider-transaction-log gap and ownership-source availability
05_board-and-shareholder-rights,S1,"Audited annual report (Norway statutory equivalent of 10-K, incl. NUES Governance Report)",integrated-annual-report-2025.pdf,FY2025,"NUES Report §§4-15, p.293-297; Note 9.1 Related party information, p.198; ""The Hydro share,"" p.2959",Board-approved 2026-02-12,5,"Board composition, independence, committees, RPT, takeover-defense disclosure, AGM quorum, share-count/voting-rights facts"
05_board-and-shareholder-rights,S2,Capital IQ export,Norsk Hydro ASA OB NHY Board Members.rtf (extracted text: Norsk-Hydro-ASA-OB-NHY-Board-Members.txt),Current as of extraction,"Full board roster with tenure, committee membership, other directorships",2026-07-18,4,"Individual director tenure, committee seats, concurrent-board loads (overboarding read)"
05_board-and-shareholder-rights,S3,Cross-module input,business-model/01_disqualifier-scan.md,FY2025,Disqualifier #3 (RPT >25% test),2026-07-19,5,Independent confirmation that RPT is well under the hard-disqualifier threshold
05_board-and-shareholder-rights,S4,Cross-module input,business-model/11_capital-allocation-governance.md,FY2021-FY2025 + LTM,"""Related-party transactions"" and ""Net share count trajectory"" rows",2026-07-19,4,RPT quantification cross-check; share-count/dilution trend
05_board-and-shareholder-rights,S5,Cross-module input,business-model/02_business-identity.md,FY2025,Full report,2026-07-19,4,"Business/ownership context (state stake, no promoter construct)"
05_board-and-shareholder-rights,S6,In-module input,management-governance/00_governance-data-triage.md,Current,"Row ""AGM voting""; §5 gap list",2026-07-19,5,"Confirms AGM vote-tally data is genuinely absent from the pool, not a language or extraction issue"
05_board-and-shareholder-rights,S7,In-module input,management-governance/01_management-and-track-record.md,FY2025-2026,§1 Key Executives (Chair background),2026-07-19,5,Chair/CEO split confirmation and Chair background
06_candor-and-disclosure-quality,S1,Earnings transcript (verbatim),"Norsk Hydro ASA, Q4 2025 Earnings Call, Feb 13, 2026.pdf",FQ4 2025,Presentation and Q&A sections,2026-02-13,4,Tone in the worst reported quarter; ownership of the reported net loss; Q&A directness
06_candor-and-disclosure-quality,S2,Earnings transcript (verbatim),"Norsk Hydro ASA, Q1 2026 Earnings Call, Apr 29, 2026.pdf",FQ1 2026,Presentation and Q&A sections,2026-04-29,4,Ownership of negative free cash flow; handling of the fatal safety incident; segment-bridge granularity
06_candor-and-disclosure-quality,S3,Audited annual report,integrated-annual-report-2025.pdf,FY2025,"""Letter to stakeholders"" p.4-5; p.51 (capex narrative)",2026-02-12,5,Capex-guidance revision disclosure; growth-pillar miss acknowledgment
06_candor-and-disclosure-quality,S4,Investor presentation,nhy-investor-day-2025.pdf,2025 (dated 27 Nov 2025),"""2025","Delivering on our key strategic priorities,"" p.6",2025-11-27,3,Management's own scorecard naming the 2025 EBITDA target miss
06_candor-and-disclosure-quality,S5,Cross-module input,earnings/06_earnings-quality.md,"FY2023-FY2025, Q1 2026","§1, §4, §5, §7, §8, §9, §10",2026-07-19,5,"Non-GAAP aggressiveness cross-check; GAAP-to-adjusted gap; recurring ""one-off"" flag"
06_candor-and-disclosure-quality,S6,Cross-module input,earnings/04_guidance-consensus.md,FQ2 2025-FQ1 2026,"§2, §6",2026-07-19,4,"Confirms no formal group EPS guidance exists to ""miss""; beat/miss pattern context"
06_candor-and-disclosure-quality,S7,Cross-module input,01_management-and-track-record.md,FY2025,"§4, §4A",2026-07-19,5,The specific misses this agent assesses communication around; confirms no unresolved integrity signal (RF-MGT-005 not triggered)
06_candor-and-disclosure-quality,S8,Quarterly filing,first-quarter-report-2026.pdf,Q1 2026,Key figures; p.37 (Free cash flow table),2026-04-29,5,Corroborates the transcript's negative free-cash-flow figure against the filed statement
