finding_id,ticker,date,agent,section,question,standardized_verdict,raw_value,unit,current_period,prior_period,trend,peer_benchmark,peer_verdict,score,max_score,penalty,confidence_1_to_5,materiality,evidence,source_id,source_type,source_date,as_of_date,analyst_interpretation,red_flag_triggered,red_flag_id,follow_up_required
01-001,DHER,2026-08-12,01_management-and-track-record,Key Executives,Is the CEO a founder/owner-operator?,Green,1,founder-CEO,FY2024-2026,Since 2011,Stable,No peer set,NA,8,10,0,5,Medium,"FY24 Annual Report, p.10, p.327",S1,Annual filing,2025-04-25,2025-04-25,Founder-CEO continuity is a positive stability signal,False,,None
01-002,DHER,2026-08-12,01_management-and-track-record,Key Executives,CEO tenure,Green,15,years,2026,N/A,Stable,No peer set,NA,8,10,0,5,Medium,"FY24 Annual Report, p.10; FY2025 Earnings Call transcript, Mar 26 2026",S1,Annual filing,2025-04-25,2026-03-26,"Long, uninterrupted founder tenure",False,,None
01-003,DHER,2026-08-12,01_management-and-track-record,Key Executives,CFO tenure at time of report,Amber,1.6,years,2026-08-12,N/A,New,No peer set,NA,4,10,-3,5,Medium,"FY24 Annual Report, Note 10(a), p.207",S1,Annual filing,2025-04-25,2025-04-25,Short tenure relative to predecessor; too early to score a track record,False,,Track FY2026 CFO commentary for consistency
01-004,DHER,2026-08-12,01_management-and-track-record,Key Executives,CFO background pre-Delivery Hero,Insufficient Data,,,,,Not enough history,No peer set,NA,,,,2,Low,"Web: RTTNews/MarketScreener coverage, retrieved 2026-08-12 (unverified)",S11,Web,2026-08-12,2026-08-12,Filing does not disclose prior-career detail; web claim unverified,False,,Confirm via a future filing
01-005,DHER,2026-08-12,01_management-and-track-record,Management Stability,"Senior (CFO) departure, last 3 years",Red,7,months vacancy,2024-2025,N/A,Deteriorating then resolved,No peer set,NA,0,10,-6,5,High,"FY24 Annual Report, Note 10(a)-(b), p.206-207",S1,Annual filing,2025-04-25,2025-04-25,A 7-month gap at Management Board level is a material stability warning,False,,Confirm no repeat vacancy pattern
01-006,DHER,2026-08-12,01_management-and-track-record,Management Stability,"Supervisory Board churn, FY2024",Amber,5,of 8 seats changed,FY2024,FY2023,Deteriorating,No peer set,NA,3,10,-4,5,Medium,"FY24 Annual Report, Note 10(b), p.206-207",S1,Annual filing,2025-04-25,2025-04-25,Roughly half the Supervisory Board turned over in a single year,False,,Track board-composition stability going forward
01-007,DHER,2026-08-12,01_management-and-track-record,Management Stability,CEO/COO contract renewal (continuity signal),Green,3,years extended (to 2029),2026-01,Original terms expiring 2026,Improving,No peer set,NA,7,10,0,2,Medium,"Web: Delivery Hero newsroom coverage, retrieved 2026-08-12 (unverified)",S12,Web,2026-08-12,2026-01,"A positive continuity signal, sourced to web and labeled unverified",False,,Confirm via next Annual Report
01-008,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,FY2023 Adjusted EBITDA guidance vs actual,Green,253.6,EURm actual vs 250m guide,FY2023,,Kept,No peer set,NA,9,10,0,4,Medium,earnings/04_guidance-consensus.md §6,S10,Cross-module,2026-08-12,2026-08-05,"Beat by 1.4%, a real kept promise",False,,None
01-009,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,FY2024 Adjusted EBITDA guidance vs actual,Green,692.5,EURm actual vs 693m guide,FY2024,,Kept,No peer set,NA,9,10,0,4,Medium,earnings/04_guidance-consensus.md §6,S10,Cross-module,2026-08-12,2026-08-05,"In-line, tightly tracked",False,,None
01-010,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,FY2025 Adjusted EBITDA guidance vs actual,Green,903,EURm actual vs 900-940m guide,FY2025,,Kept,No peer set,NA,8,10,0,4,Medium,earnings/04_guidance-consensus.md §6,S10,Cross-module,2026-08-12,2026-08-05,Landed near low end but inside guided range - third straight year hit,False,,None
01-011,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,FY2024 Free Cash Flow guidance vs actual,Amber,358.8,EURm reported vs 50-100m guide,FY2024,,"Headline beat, not clean",No peer set,NA,4,10,-3,4,High,"earnings/04_guidance-consensus.md §2,§6; business-model/12_red-flags-sweep.md",S10,Cross-module,2026-08-12,2026-08-05,Beat driven by one-off Uber Taiwan breakup fee and debt-modification gain,False,,Normalize FCF for one-offs in FY2026 tracking
01-012,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,FY2025 Free Cash Flow guidance vs actual,Red,-246,EURm reported vs ~120m point guide,FY2025,FY2024,Deteriorating,No peer set,NA,1,10,-6,4,High,"earnings/04_guidance-consensus.md §2,§6",S10,Cross-module,2026-08-12,2026-08-05,~EUR366m miss on reported figure; guide basis excludes items reported figure includes,False,,Watch FY2026 FCF guide for repeat definitional gap
01-013,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,Korea regain-growth promise vs FY2025 outcome,Green,1,qualitative promise kept,FY2025,FY2024,Improving,No peer set,NA,6,10,0,3,Medium,FY24 Annual Report CEO letter p.9; FY2025 Earnings Call transcript,S1,Annual filing / transcript,2026-03-26,2026-03-26,"Delivered, but only in H2 of the promised year",False,,None
01-014,DHER,2026-08-12,01_management-and-track-record,Promise vs Delivery,Street EPS Normalized estimate track record,Red,5,consecutive FY misses,FY2025,FY2021-2024,Deteriorating pattern,No peer set,NA,1,10,-6,4,High,earnings/04_guidance-consensus.md §6,S10,Cross-module,2026-08-12,2026-08-05,Not a company promise but a real execution/candor-context signal,False,,Track FY2026 EPS outcome vs Street
01-015,DHER,2026-08-12,01_management-and-track-record,Turnaround Test,Years of delivered operating inflection (GAAP operating profit),Amber,1,fiscal year,FY2025,FY2021-2024 losses,"Improving, unproven",No peer set,NA,3,10,-4,4,High,business-model/07_business-quality.md; business-model/12_red-flags-sweep.md,S8,Cross-module,2026-08-12,2026-08-12,Below the Filter 2 bar of 2-3 years proven inflection on the metric that matters,True,RF-MGT-004,Confirm FY2026 statutory operating profit sustains without one-off flattering items
01-016,DHER,2026-08-12,01_management-and-track-record,Integrity Test,Unresolved adverse integrity buzz routed from disqualifier scan,Not Applicable,0,none found,2026-08-12,,,No peer set,NA,,,,5,Low,business-model/01_disqualifier-scan.md; business-model/12_red-flags-sweep.md,S7,Cross-module,2026-08-12,2026-08-12,No personal-integrity allegation surfaced against named executives,False,,None
02-001,DHER,2026-08-12,02_capital-allocation-scorecard,Uses of Capital,"Cumulative net M&A cash outflow, FY21-25",Amber,-901.0,EURm,FY2021-2025,N/A,N/A,No peer set,NA,4,10,-3,5,High,"Cash Flow tab, computed [1]",1,Data-vendor workbook,2026-08-10,2026-08-10,"1.8% of cumulative revenue used net on acquisitions, dwarfed by goodwill later written off",False,,None
02-002,DHER,2026-08-12,02_capital-allocation-scorecard,Uses of Capital,"Cumulative equity buybacks, FY21-25",Red,0.0,EURm,FY2021-2025,N/A,Flat,No peer set,NA,,,,5,High,Cash Flow tab [1],1,Data-vendor workbook,2026-08-10,2026-08-10,No shareholder-return mechanism offsetting 49.6% share-count growth,False,,None
02-003,DHER,2026-08-12,02_capital-allocation-scorecard,Uses of Capital,"Cumulative dividends, FY21-25",Not Applicable,0.0,EURm,FY2021-2025,N/A,Flat,No peer set,NA,,,,5,Medium,Cash Flow tab [1],1,Data-vendor workbook,2026-08-10,2026-08-10,Defensible given net losses; not a signal either way,False,,None
02-004,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Woowa Brothers Corp. acquisition price,Insufficient Data,4.0,USD bn (web-sourced),2020-2021 close,N/A,N/A,No peer set,NA,,,,2,Critical,"Web (unverified): PYMNTS, Restaurant Dive, Verdict Food Service, retrieved 2026-08-12",9,Web,2026-08-12,2026-08-12,"Deal price not in pool's audited filings; web-sourced, unverified",False,,Confirm precise price via a pool-available historical annual report
02-005,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Woowa-specific goodwill impairment since acquisition,Insufficient Data,0,EURm (not separately disclosed),FY2021-2025,N/A,N/A,No peer set,NA,,,,3,High,"FY24 Annual Report, Note F.1.b, p.161",2,Annual filing,2025-04-25,2025-04-25,Impairments disclosed by CGU not by original deal; cannot confirm Woowa-specific writedown,False,,Track CGU-level disclosure for a Woowa/Korea-specific line
02-006,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Glovo acquisition price (majority-stake tranche),Insufficient Data,2.3,EUR bn valuation (web-sourced),"Announced 2021-12-31, closed 2022",N/A,N/A,No peer set,NA,,,,2,Critical,"Web (unverified): Bloomberg, TechCrunch, EU-Startups, CB Insights, retrieved 2026-08-12",10,Web,2026-08-12,2026-08-12,"Deal valuation not in pool's audited filings; web-sourced, unverified",False,,Confirm via a pool-available historical annual report
02-007,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,"Glovo-linked cumulative goodwill impairment, FY2023",Red,857.8,EURm,FY2023,FY2022,Deteriorating,No peer set,NA,1,10,-6,4,Critical,"FY24 Annual Report, Note F.1.b, p.161",2,Annual filing,2025-04-25,2025-04-25,Direct audited evidence Glovo-linked CGUs were overpaid for,True,RF-CAP-004,None - evidence already crystallized
02-008,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Reconciliation: P&L vs balance-sheet-movement-table goodwill impairment FY2023,Amber,894.6,EURm,FY2023,N/A,N/A,No peer set,NA,3,10,-2,3,Medium,"FY24 Annual Report, Intangible Assets note, p.166",2,Annual filing,2025-04-25,2025-04-25,"~EUR37m gap between two figures in same filing, flagged not silently resolved",False,,Confirm scope difference directly with the notes if precision required
02-009,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,"Cumulative group goodwill impairment, FY2021-2025",Red,2054.0,EURm,FY2021-2025,N/A,Deteriorating pattern,No peer set,NA,1,20,-14,5,Critical,"FY24 Annual Report, Note F.1.b; Delivery Hero SE XTRA DHER Financials.xls, Income Statement tab",2,Annual filing / workbook,2025-04-25,2025-04-25,"Serial-acquirer value destruction, directly evidenced",True,RF-CAP-004,Monitor FY2026 for repeat pattern
02-010,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Forced divestiture as condition of Woowa deal,Amber,1,qualitative event (web-sourced),2020,N/A,N/A,No peer set,NA,3,10,-3,2,High,"Web (unverified), retrieved 2026-08-12",9,Web,2026-08-12,2026-08-12,Korea antitrust regulator forced sale of pre-existing unit - real opportunity cost,False,,Confirm via pool-available historical filing
02-011,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Foodpanda Taiwan divestiture attempt to Uber,Amber,950,USDm agreed (deal failed),"Agreed 2024-05, terminated 2025-03",N/A,Failed,No peer set,NA,4,10,-3,4,High,"FY24 Annual Report, p.161; business-model/12_red-flags-sweep.md",2,Annual filing / cross-module,2025-04-25,2025-04-25,Evidence of active portfolio pruning that failed on regulatory grounds,False,,None
02-012,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Talabat 20% IPO placement value realized,Green,1803.5,EURm net consideration,Dec-2024,N/A,N/A,No peer set,NA,8,10,0,5,High,"FY24 Annual Report, Note 'Disclosures on Participations', p.161",2,Annual filing,2025-04-25,2024-12-10,"Genuine market-tested capital-recycling success, cleanest value-creative event in window",False,,None
02-013,DHER,2026-08-12,02_capital-allocation-scorecard,M&A Scorecard,Hungerstation NCI buyout,Green,276.8,EURm,2023,N/A,N/A,No peer set,NA,6,10,0,5,Medium,"FY24 Annual Report, Note 'Acquisitions and Divestitures', p.161",2,Annual filing,2025-04-25,2025-04-25,"Buy-in ahead of subsequently value-accretive Talabat listing, well-timed in hindsight",False,,None
02-014,DHER,2026-08-12,02_capital-allocation-scorecard,Buyback Scorecard,"Equity buyback existence, FY2020-2025",Red,0,years with a buyback program,FY2020-2025,N/A,Flat,No peer set,NA,0,20,-20,5,High,Cash Flow tab [1],1,Data-vendor workbook,2026-08-10,2026-08-10,No group-level equity buyback program has ever existed at DHER,False,,None
02-015,DHER,2026-08-12,02_capital-allocation-scorecard,Buyback Scorecard,"Share count change vs SBC dilution, FY2021-2025",Red,49.6,% increase,FY2021-2025,FY2020,Deteriorating,No peer set,NA,1,10,-6,5,High,"Balance Sheet tab, 'Total Shares Out.' [1]",1,Data-vendor workbook,2026-08-10,2026-08-10,~50% dilution with zero offset over five years,False,,Track FY2026 share count
02-016,DHER,2026-08-12,02_capital-allocation-scorecard,Buyback Scorecard,Convertible-bond repurchases distinguished from equity buybacks,Green,1347.9,EURm (2024+2025 combined),FY2024-2025,N/A,N/A,No peer set,NA,6,10,0,5,Medium,"FY24 Annual Report, Corporate Financing section, p.94-95",2,Annual filing,2025-04-25,2025-04-25,Shareholder-protective act (removes future dilution overhang) but not a share buyback,False,,None
02-017,DHER,2026-08-12,02_capital-allocation-scorecard,Dividends & Reinvestment,Payout ratio,Not Applicable,0,%,FY2020-2025,N/A,Flat,No peer set,NA,,,,5,Low,Cash Flow tab [1],1,Data-vendor workbook,2026-08-10,2026-08-10,Defensible given persistent net losses,False,,None
02-018,DHER,2026-08-12,02_capital-allocation-scorecard,Dividends & Reinvestment,Incremental ROIC computability,Insufficient Data,0,not computed,FY2021-2025,N/A,N/A,No peer set,NA,,,,4,High,"Balance Sheet tab, computed [1]; earnings/01_historical-financials.md",1,Data-vendor workbook / cross-module,2026-08-10,2026-08-10,"Invested-capital base shrank via write-offs and losses, not capital discipline; literal ROIC calc would mislead",False,,None
02-019,DHER,2026-08-12,02_capital-allocation-scorecard,Dividends & Reinvestment,Capex intensity vs D&A,Green,171.0,EURm FY2025 capex vs 360.9 EURm D&A,FY2025,FY2020,"Stable, low",No peer set,NA,8,10,0,5,Medium,Cash Flow tab [1],1,Data-vendor workbook,2026-08-10,2026-08-10,"Asset-light, disciplined organic spending",False,,None
02-020,DHER,2026-08-12,02_capital-allocation-scorecard,Dividends & Reinvestment,Book value per share trend,Red,-75.4,% change FY2021-FY2025,FY2025,FY2021,Deteriorating,No peer set,NA,1,10,-6,5,Critical,"Balance Sheet tab, 'Book Value/Share' [1]",1,Data-vendor workbook,2026-08-10,2026-08-10,Clearest per-share value-destruction signal in the dataset,False,,None
02-021,DHER,2026-08-12,02_capital-allocation-scorecard,Dividends & Reinvestment,Tangible book value per share,Red,-11.84,EUR/share FY2025,FY2025,FY2021 (-6.45),Deteriorating then flat,No peer set,NA,1,10,-6,4,Critical,"Balance Sheet tab, 'Tangible Book Value/Share' [1]",1,Data-vendor workbook,2026-08-10,2026-08-10,Negative in every year of the window; goodwill/intangibles dominate the balance sheet,False,,Confirm FY2025 figure against audited FY2025 annual report when published
02-022,DHER,2026-08-12,02_capital-allocation-scorecard,Balance-Sheet Prudence,Net debt trajectory (strict basis),Amber,2512.8,EURm,FY2025,FY2024 (1858.7),Deteriorating (refinancing-driven rise),No peer set,NA,5,10,-3,4,High,Capital Structure Summary tab,1,Data-vendor workbook,2026-03-26,2026-03-26,"Moderate leverage but rising after a low point, plus going-concern overhang not captured by the ratio",False,,Track FY2026 net debt against new 2032 term loan drawdown schedule
