agent,source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
01_management-and-track-record,S1,Annual filing (FPI proxy-equivalent),`Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026).pdf`,FY2025,"Item 6.A (Board of Directors; Management Team; committee duties), Item 4 (Our Growth Strategies), Item 7.A (Major Shareholders, fn.2–fn.4), Item 10.B",filed 2026-04-08,5,"Executive and director bios, appointment dates, ages, management-team roster, succession-planning clause, control structure, stated strategy"
01_management-and-track-record,S2,Annual filing,`Nu_Holdings_Ltd_-_Form_20-F(Apr-16-2025).pdf`,FY2024,Item 6.A (management-team table; Lahrech bio; Olivier as CTO),filed 2025-04-16,5,Prior-year management roster — the baseline that reveals the President & COO and CTO departures
01_management-and-track-record,S3,Annual filing,`Nu_Holdings_Ltd_-_Form_20-F(Apr-19-2024).pdf`,FY2023,Item 6 (management roster),filed 2024-04-19,5,"Roster continuity check (President & COO, CPO, CTO present)"
01_management-and-track-record,S4,Vendor export (CIQ),`Nu Holdings Ltd NYSE NU Professionals.xls` · Professionals tab,"""Current Professionals""",full officer roster with backgrounds and start dates,export ~Aug-2026,4,"Current officer list fresher than the 20-F — Livingston, Rivera, Campos Neto title change, Chanes LatAm role, Lago as Special Advisor"
01_management-and-track-record,S5,Vendor export (CIQ),`Nu Holdings Ltd NYSE NU Key Developments.rtf`,event history to Aug-2026,"""Executive Change – CFO"" (2026-07-13); ""Executive/Board Change – Other"" (Kim Farrell); AGM 2026-08-06",export ~Aug-2026,4,"CFO succession terms, transition period, advisor role; marketing hire"
01_management-and-track-record,S6,Transcript,"`Nu Holdings Ltd., Q1 2026 Earnings Call`",Q1 2026,prepared remarks (efficiency-ratio guide; ETR guide; risk-adjusted NIM 9.5% and recovery statement; US cost cap),2026-05-14,3,Three of the six dated promises tested
01_management-and-track-record,S7,Transcript,"`Nu Holdings Ltd., Q2 2026 Earnings Call`",Q2 2026,prepared remarks (Mexican licence approval; 139m customers; Croma/Ultravioleta); Q&A (risk-adjusted NIM 12.4%; no growth number given),2026-08-13,3,"Outcomes for the NIM and licence promises; the ""no guidance"" statement"
01_management-and-track-record,S8,Transcript,"`Nu Holdings Ltd., Q1 2025 Earnings Call`",Q1 2025,"prepared remarks (risk-adjusted NIM 8.2%; Mexican licence ""approved""; cost to serve ≤$1); Lahrech present",2025-05-13,3,NIM trough; the last call Lahrech appears on
01_management-and-track-record,S9,Transcript,"`Nu Holdings Ltd., Q2 2025 Earnings Call`",Q2 2025,"Call Participants (Vélez, Lago, Souto — Lahrech absent)",2025-08-14,3,Pins the President & COO departure window
01_management-and-track-record,S10,Transcript,"`Nu Holdings Ltd., Q4 2024 Earnings Call`",Q4 2024,"Q&A (risk-adjusted NIM 9.5%, ""11% two quarters ago"")",2025-02-20,3,NIM path for the Q3'23 promise test
01_management-and-track-record,S11,Transcript,"`Nu Holdings Ltd., Q4 2025 Earnings Call`",Q4 2025,"prepared remarks (risk-adjusted NIM closed at 10.5%; Mexican licence ""finalising"")",2026-02-25,3,H2'25 NIM level; licence status
01_management-and-track-record,S12,Transcript,"`Nu Holdings Ltd., Q3 2023 Earnings Call`",Q3 2023,"prepared remarks (delinquency ""more than offset by additional revenues… higher risk-adjusted NIM"")",2023-11-14,3,The oldest dated promise tested
01_management-and-track-record,S13,Transcript,"`Nu Holdings Ltd., Q2 2024 Earnings Call`",Q2 2024,"Q&A (S-2 reclassification ""most likely by mid 2025""; Brazil bank licence commentary)",2024-08-13,3,The not-assessable promise
01_management-and-track-record,S14,Transcript,"`Nu Holdings Ltd., Q1 2024 Earnings Call`",Q1 2024,"Q&A (Mexican banking-licence process entered ""last year"")",2024-05-14,3,Start date of the licence promise
01_management-and-track-record,S15,Interim filing,`Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-14-2026).pdf`,Q2 2026 / H1 2026,Unaudited interim condensed consolidated statements of income and cash flows,filed 2026-08-14,5,"Q2'26 effective tax rate (175,224 / 1,236,313); H1'26 operating cash flow"
01_management-and-track-record,S16,Investor presentation,`Q2'26 Earnings Presentation`,Q2 2026,slide 22 (Net Revenues / Opex / Efficiency Ratio),2026-08-13,3,Quarterly efficiency-ratio series and the H1'26 ratio-of-sums build
01_management-and-track-record,S17,Deterministic facts sidecar,`ciq_facts.json` (`surprise_history`),FY2021–FY2025,CIQ Estimates→Surprise (annual),data as of 2026-08-29,4,"Consensus beat/miss record (labelled as the Street's bar, not a company promise)"
01_management-and-track-record,S18,Cross-module output,`analyses/NU_2026-09-06/earnings/04_guidance-consensus.md`,FY2026,§2 Management Guidance; efficiency-ratio arithmetic; ETR outcome,2026-09-06,4,"Guidance inventory and the H2'26 implied step-up — used, not recomputed"
01_management-and-track-record,S19,Cross-module output,`analyses/NU_2026-09-06/earnings/01_historical-financials.md`,FY2021–H1 2026,multi-year net income; H1'26 cash-flow swing,2026-09-06,4,Execution-record numbers and the counter-signal
01_management-and-track-record,S20,Cross-module output,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026-09-06,test 6 (§24 filter-1 integrity check); routed-items list,2026-09-06,4,Confirms no integrity buzz routed; routes the CFO succession here
01_management-and-track-record,S21,Module triage,`analyses/NU_2026-09-06/management-governance/00_governance-data-triage.md`,2026-09-06,"§3, §5A, §5E, §6",2026-09-06,4,"Jurisdiction map, source availability, active caps (web sweep unreachable)"
02_capital-allocation-scorecard,S1,Annual filing (audited),`FY25 Form 20-F` (`data/NU/Nu_Holdings_Ltd_-_Form_20-F-Apr-08-2026`),FY2025,Item 8.A — Dividend and Dividend Policy,2026-04-08,5,A10-01: no dividend ever paid; no dividend policy adopted; stated intention to retain earnings
02_capital-allocation-scorecard,S2,Annual filing (audited),`FY25 Form 20-F`,FY2025,Item 10.B — Dividends and Capitalization of Profits,2026-04-08,5,Dividend mechanics under Cayman law; pro-rata across Class A and Class B
02_capital-allocation-scorecard,S3,"Interim filing (unaudited, condensed)",`Q2 FY26 Interim Report` (`data/NU/Nu_Holdings_Ltd_-_Form_Interim_Report-Aug-14-2026`),Three and six months to 30 Jun 2026,"Note 31 (Equity), incl. 31(a) treasury, 31(c) RSU withholding, 31(e) share repurchase program",2026-08-14,5,"Buyback amount, shares, treasury, no cancellation; full share reconciliation; comp-driven issuance"
02_capital-allocation-scorecard,S4,"Interim filing (unaudited, condensed)",`Q2 FY26 Interim Report`,Three and six months to 30 Jun 2026,"Statements of financial position, income, changes in equity, cash flows",2026-08-14,5,"H1 2026 CFO −1,242.0; capex 100.5; debt proceeds/payments; equity 13,251.7; net income to parent 1,932.3"
02_capital-allocation-scorecard,S5,"Interim filing (unaudited, condensed)",`Q2 FY26 Interim Report`,30 Jun 2026,Note 19 — Intangible assets and goodwill,2026-08-14,5,"Goodwill 409.4 (Nu Investimentos 348.3 + other 61.1); no impairment, annual test and interim assessment"
02_capital-allocation-scorecard,S6,"Interim filing (unaudited, condensed)",`Q2 FY26 Interim Report`,Subsequent events,Note 35(a) Mexico bank authorization; Note 35(b) Acquisition of Banco Porto Real,2026-08-14,5,"Pending M&A rationale (Joint Resolution No. 17), no additional capital/liquidity requirement, price not disclosed; Mexico bank operating 6 Aug 2026"
