table,Governance Need,Best Available Source,Period,Confidence 1–5,Missing?,Replacement Source
source_coverage_matrix,Board composition,FY26 10-K Item 10 (executive officers) + Insider Trading tab director names/titles,FY26 / 2026-06-26,3,"Partial (no full board list, no committee table)",2026 Proxy Statement (not yet filed)
source_coverage_matrix,Compensation,None,—,—,Y,2026 Proxy Statement (not yet filed)
source_coverage_matrix,Ownership,Public Ownership Summary.rtf + History.xls,Latest / 2004–2026,5,N,—
source_coverage_matrix,Insider trades,Public Ownership Insider Trading.xls,2004-06 to 2026-06,5,N,—
source_coverage_matrix,Related-party transactions,"FY26 10-K, Notes, ""Related Party Disclosures"" (ASC 850, equity-method investees only, no $ amounts)",FY26,3,"Partial (no dollar figures, no full RPT table)",2026 Proxy Statement Item 13 (not yet filed)
source_coverage_matrix,Auditor report,"FY26 10-K, Report of Independent Registered Public Accounting Firm (E&Y, unqualified, auditor since 2002)",FY26,5,N,—
source_coverage_matrix,Secretarial / compliance report,Not applicable (US regime — no SEBI-style secretarial audit),—,—,N/A,—
source_coverage_matrix,AGM voting,Not in pool (2026 AGM not yet held; no prior-year voting-results 8-K in pool),—,—,Y,Future Item 5.07 8-K / 2026 Proxy Statement
source_coverage_matrix,Capital-allocation history,"Financials_Annual.xls (Cash Flow, Capital Structure Summary/Details tabs) + FY26 10-K",FY2016A–FY2026A,5,N,—
source_coverage_matrix,Legal / regulatory cases,"FY26 10-K, Note 15 (Legal Proceedings) — securities class action (Feb-2026) and Netherlands GDPR class action","FY26, ongoing",4,N,—

table,Source,Period,As-of Date,Age,Stale?,Impact
data_freshness,FY26 10-K,FY26 (ended May-31-2026),2026-06-22 (filed),~2 months,No,Current annual filing — governs
data_freshness,Q3 FY26 10-Q,Q3 FY26 (ended Feb-28-2026),2026-03-11 (filed),~5 months,No,Superseded by 10-K for FY26 figures; still useful for interim trend detail
data_freshness,Q4 FY26 earnings call,Jun-10-2026,Jun-10-2026,~2 months,No,Most recent management commentary in pool
data_freshness,Ownership History / Insider Trading,Through Jun-26-2026 / Mar-31-2026,2026-08-13/14 (vendor pull date),<1 month,No,Current
data_freshness,2026 Proxy Statement,Would cover FY26 comp/board/RPT,Not yet filed (due by ~Sept-28-2026),N/A,"N/A — does not exist yet, not a stale document","Drives the ""No"" on compensation/full-board/RPT-detail rows above"
