finding_id,ticker,date,agent,section,question,standardized_verdict,raw_value,unit,current_period,prior_period,trend,peer_benchmark,peer_verdict,score,max_score,penalty,confidence_1_to_5,materiality,evidence,source_id,source_type,source_date,as_of_date,analyst_interpretation,red_flag_triggered,red_flag_id,follow_up_required
01-001,NHY,2026-07-19,01_management-and-track-record,Key Executives,Is the CEO a founder/owner-operator?,Not Applicable,0,% founder-owned,FY2025,,Not enough history,No peer set,No peer set — relative governance not assessed,,,,5,Medium,"[integrated-annual-report-2025.pdf, ""Other details,"" p.46; Note 9.1, p.198]",S1,Audited annual report,2026-02-12,2025-12-31,Career-employee CEO (26 yrs) under a 34.5% state-controlling shareholder; not an owner-operator profile,False,,None
01-002,NHY,2026-07-19,01_management-and-track-record,Key Executives,CEO tenure in current role,Green,2,years,2024-2026,N/A,Not enough history,No peer set,No peer set,15,20,0,5,Medium,"[integrated-annual-report-2025.pdf, ""Other details,"" p.46]",S1,Audited annual report,2026-02-12,2025-12-31,Short tenure in the top role but 26 years of internal background reduces the risk that normally attaches to a short CEO tenure,False,,Track next 1-2 years of ARoaCE/growth-pillar delivery to build a longer record
01-003,NHY,2026-07-19,01_management-and-track-record,Key Executives,CFO tenure in current role,Green,2,years,2024-2026,N/A,Not enough history,No peer set,No peer set,14,20,0,5,Medium,"[Web: Hydro.com news release 2024-03-06 (unverified); integrated-annual-report-2025.pdf, ""Other details,"" p.46]",S9,Web (unverified),2024-03-06,2026-07-19,"Same logic as CEO — short time in seat, long internal background",False,,None
01-004,NHY,2026-07-19,01_management-and-track-record,Management Stability,Predecessor CFO departure reason,Amber,1,departure event,2024,N/A,Not enough history,No peer set,No peer set,12,20,-4,2,Medium,"[Web: Yahoo Finance/GlobeNewswire, ""Trond Olaf Christophersen appointed acting CFO,"" 2024-03-06 (unverified, dated)]",S9,Web (unverified),2024-03-06,2024-03-06,"Predecessor CFO left for a direct competitor (Emirates Global Aluminium) — a mild competitive-poaching signal, not tied to any disclosed accounting or governance issue in the pool",False,,Confirm via a future proxy/AGM disclosure whether any severance or non-compete terms were disclosed
01-005,NHY,2026-07-19,01_management-and-track-record,Management Stability,Concentration of CEO+CFO+Chair transition in one year,Amber,3,roles changed in 2024,2024,N/A,Not enough history,No peer set,No peer set,12,20,-6,4,Medium,"[integrated-annual-report-2025.pdf, ""Other details,"" p.46; business-model/11_capital-allocation-governance.md, severity 30/100]",S6,Cross-module input,2026-07-19,2025-12-31,"All three changes were continuity appointments (internal promotion or sitting director), which mitigates but does not eliminate one-year institutional-memory concentration risk",False,,"Monitor for any further C-suite change in the next 12 months, which would compound this concern"
01-006,NHY,2026-07-19,01_management-and-track-record,Stated Strategy & Targets,ARoaCE target vs FY2025 actual,Green,10.2,%,FY2025,10% target,Improving (above target),No peer set,No peer set,25,30,0,5,High,"[integrated-annual-report-2025.pdf, ""Letter to stakeholders,"" p.4]",S1,Audited annual report,2026-02-12,2025-12-31,"Cycle-average target technically requires more than one year of data, but the latest print clears the bar with room",False,,Track the multi-year average as more cycle data accumulates
01-007,NHY,2026-07-19,01_management-and-track-record,Promise vs Delivery,Improvement-program 2025 target vs actual,Green,1.4,NOK billion realized vs 0.6bn estimate,FY2025,0.6bn internal estimate,Improving (beat),No peer set,No peer set,25,30,0,5,High,"[integrated-annual-report-2025.pdf, ""Profit,"" p.~44-45]",S1,Audited annual report,2026-02-12,2025-12-31,"A specific, quantified, more-than-doubled beat against management's own internal estimate — a strong competence signal",False,,None
01-008,NHY,2026-07-19,01_management-and-track-record,Promise vs Delivery,Recycling/Extrusions 2025 EBITDA target vs actual,Red,1,target explicitly missed,FY2025,2025 EBITDA target set earlier in year,Deteriorating,No peer set,No peer set,5,30,-10,5,High,"[nhy-investor-day-2025.pdf, ""2025 | Delivering on our key strategic priorities,"" p.6: ""2025 EBITDA targets not reached; 2030 targets postponed""]",S2,Investor presentation,2025-11-27,2025-11-27,"Management disclosed the miss in its own words rather than reframing the metric — a candor point, but still a genuine execution shortfall on the company's core growth pillar",False,,"Track FY2026 Extrusions/Recycling EBITDA against the revised, postponed targets"
01-009,NHY,2026-07-19,01_management-and-track-record,Promise vs Delivery,FY2025 capex guidance revision,Amber,1.5,NOK billion cut mid-year,FY2025,Original NOK 15bn plan,Deteriorating (plan cut),No peer set,No peer set,15,30,-5,5,Medium,"[integrated-annual-report-2025.pdf, ""Letter to stakeholders,"" p.4]",S1,Audited annual report,2026-02-12,2025-12-31,"Disclosed, explained revision to market weakness rather than a silent miss — a transparency positive even though it reflects weaker conditions",False,,Compare FY2026 actual capex to the NOK 13.5bn guided figure once reported
01-010,NHY,2026-07-19,01_management-and-track-record,Promise vs Delivery,"Revenue beat/miss, last 4 quarters",Green,4,of 4 quarters beat,FQ2 2025-FQ1 2026,N/A,"Stable (consistent beats, narrowing then modest margin)",No peer set,No peer set,10,10,0,4,Medium,"[earnings/04_guidance-consensus.md, §6]",S7,Cross-module input,2026-07-19,2026-07-15,No evidence of consistent sandbagging or overpromising on the top line,False,,None
01-011,NHY,2026-07-19,01_management-and-track-record,Turnaround Test,Is this a turnaround thesis?,Not Applicable,0,,FY2025,N/A,Not enough history,No peer set,No peer set,,,,5,Low,"[business-model/01_disqualifier-scan.md, disqualifier #8]",S5,Cross-module input,2026-07-19,2025-12-31,Consistently cash-generative mature producer; no turnaround framing applies,False,,None
