source_id,agent,source_type,filename_or_filing,period,page_or_section,date,confidence,used_for
01-S1,01,Capital IQ executive profiles (vendor),Uber Technologies Inc NYSE UBER Professionals.rtf,Current + tenure history,Full document,2026-08-05,3,CEO/CFO/CTO/President bios tenure appointment dates
01-S2,01,Capital IQ board profiles (vendor),Uber Technologies Inc NYSE UBER Board Members.rtf,Current roster,Full document,2026-08-05,3,Chair tenure co-founder observer status
01-S3,01,Capital IQ estimates workbook,"UberTechnologies,IncNYSEUBEREstimatesReport (1).xls, Guidance tab",FQ1 2019-FQ3 2026,Guidance/Actual/% Difference rows,2026-08-05,3,Promise-vs-delivery Adj EBITDA/EPS guidance vs actuals
01-S4,01,Cross-module output,earnings/04_guidance-consensus.md,FQ3 2025-FQ2 2026,§6 Historical Beat/Miss Pattern,2026-08-06,4,Revenue consensus miss pattern
01-S5,01,Cross-module output,business-model/11_capital-allocation-governance.md,FY2021-LTM Jun-2026,Signal Table,2026-08-06,4,CFO turnover buyback-vs-FCF framework
01-S6,01,Cross-module output,business-model/01_disqualifier-scan.md,FY2022-FY2025,§1 Operating Income/Cash from Ops,2026-08-06,4,Turnaround-test evidence
01-S7,01,Earnings-call transcript (primary),"Uber Technologies, Inc., Q2 2026 Earnings Call, Aug-05-2026.pdf",Q2 FY2026,Prepared remarks Q&A pp.4 9 11-12,2026-08-05,3,Stated strategy US acceleration headcount AV investment buyback commentary
01-S8,01,Web (unverified),"TechCrunch, Uber appoints new CFO as its AV plans accelerate",-,-,2026-02-04,2,CFO transition date and stated departure reason
01-S9,01,Web (unverified),"CFO Dive, Uber taps insider for CFO amid robotaxi push",-,-,2026,2,Confirms Krishnamurthy is third CFO in three years
02-S1,02,Capital IQ financial workbook (vendor),"Uber Technologies Inc NYSE UBER Financials.xls, Cash Flow tab",FY2021-LTM Jun-2026,Full tab,2026-08-05,4,Uses of capital buyback/dividend/capex/debt lines
02-S2,02,Capital IQ financial workbook (vendor),"Uber Technologies Inc NYSE UBER Financials.xls, Balance Sheet tab",FY2021-Jun-2026,Full tab,2026-08-05,4,Net debt total debt shares outstanding invested-capital inputs
02-S3,02,Capital IQ financial workbook (vendor),"Uber Technologies Inc NYSE UBER Financials.xls, Historical Capitalization tab",Dec-2024-Mar-2026,Full tab,2026-08-05,4,Quarterly share price and shares outstanding
02-S4,02,Capital IQ financial workbook (vendor),"Uber Technologies Inc NYSE UBER Financials.xls, Income Statement tab",FY2021-LTM Jun-2026,Full tab,2026-08-05,4,EBIT for incremental ROIC calculation
02-S5,02,Capital IQ M&A database (vendor),UberTechnologiesIncNYSEUBER_CIQReportLandscape.rtf,2019-2026,Deal-tracker entries,2026-08-05,4,M&A deal terms dates advisors financing structure
02-S6,02,Company profile (vendor),Uber Technologies Inc NYSE UBER Public Company Profile.rtf,Current,Subsidiaries/Investments table stock quote box credit ratings,2026-08-05,4,Bolt-on deal list market cap 52-week range credit rating
02-S7,02,Earnings-call transcript (primary),"Uber Technologies, Inc., Q2 2026 Earnings Call, Aug-05-2026.pdf",Q2 FY2026,CFO remarks pp.11-14,2026-08-05,5,Buyback framework DH stake purchase synergy commitment language
02-S8,02,Cross-module output,business-model/11_capital-allocation-governance.md,FY2021-LTM Jun-2026,Signal Table §2-4,2026-08-06,4,Concurring serial-acquirer severity score
02-S9,02,Cross-module output,earnings/01_historical-financials.md,FY2021-LTM Jun-2026,§1 §4,2026-08-06,4,CFO/FCF figures normalized-EPS distortion context
