governance_need,best_available_source,period,confidence_1_to_5,missing,replacement_source
Board composition,10-K (committee names / oversight structure only; director-level data deferred to proxy),FY2025,2,Yes (director list / independence pct),None in pool; proxy would provide
Compensation,10-K (exec officer bios / Swiss law restrictions; CD&A in proxy only),FY2025,2,Yes (metrics / weights / pay amounts),None in pool; proxy CD&A would provide
Ownership (large shareholders),"FY25 10-K, Risk Factors (Glencore ~17% / CPP ~14% / BCI ~3%)",Dec 31 2025,4,Partial (only large blocs / no full table),DEF 14A beneficial-ownership table (not in pool)
Insider trades,Not in pool,—,—,Yes,Form 4 filings (not in pool)
Related-party transactions,"FY25 10-K, Note 19; disqualifier-scan confirms thresholds clear",FY2025,5,No,Covered
Auditor report,"FY25 10-K, Deloitte unqualified opinion (Feb 19 2026) / two critical audit matters",FY2025,5,No,Covered
Secretarial / compliance report,Not applicable (US/Swiss SEC filer),—,—,N/A,N/A
AGM voting,Not in pool (proxy expected to contain voting results; 2026 AGM May 20 2026),—,—,Yes,DEF 14A / SEC 8-K filing post-AGM
Capital-allocation history,"FY25 10-K cash flow statements / share repurchase disclosure / M&A notes; cross-module 11_capital-allocation-governance.md",FY2023–FY2025 + Q1 2026,5,No,Covered
Legal / regulatory cases,"FY25 10-K, Item 3 + Note 20; Q1 2026 10-Q, Note 15; red-flags-sweep quantified Brazil indirect-tax claims ($760M unprovisioned)",FY2025 + Q1 2026,5,No,Covered
