source_id,agent,source_type,filename_or_filing,period,page_section,date,confidence,used_for
01-S1,01,Data vendor - professionals export,Uber-Technologies-Inc-NYSE-UBER-Professionals.txt (CIQ),Current,Full export,2026-08-08,4,Executive names titles appointment dates backgrounds
01-S2,01,Data vendor - board members export,Uber-Technologies-Inc-NYSE-UBER-Board-Members.txt (CIQ),Current,Full export,2026-08-08,4,Board tenure chairman background co-founder role
01-S3,01,Data vendor - key developments export,Uber-Technologies-Inc-NYSE-UBER-Key-Developments.txt (CIQ),2019-2026,CFO/CPO transition entries; earnings entries,2026-08-08,5,CFO and CPO departure/appointment dates and stated reasons
01-S4,01,Data vendor - CIQ landscape report,UberTechnologiesIncNYSEUBER_CIQReportLandscape.txt,Current,Insider ownership/transaction rows,2026-08-08,3,Cross-check of former-CFO/CPO entries
01-S5,01,Audited annual filing,Uber_Technologies_Inc_-_Form_10-K-Feb-13-2026.txt,FY2025,"Item 3, 5, 7, 8, 9A, signature pages",2026-02-13,5,CFO certification financial results legal-proceedings context
01-S6,01,Earnings transcript,Uber-Technologies-Inc-Q2-2026-Earnings-Call-Aug-05-2026.txt,Q2 FY26,Prepared remarks,2026-08-05,3,Stated strategy Gross Bookings guidance commentary
01-S7,01,Cross-module - earnings,analyses/UBER_2026-08-08/earnings/04_guidance-consensus.md,FY25-FY26,"Sections 2, 3, 6",2026-08-08,5,Guidance-vs-actual beat/miss history
01-S8,01,Cross-module - business-model,analyses/UBER_2026-08-08/business-model/02_business-identity.md,FY2025,"Sections 1, 4",2026-08-08,5,Business context employee count UK reclassification
01-S9,01,Cross-module - business-model,analyses/UBER_2026-08-08/business-model/11_capital-allocation-governance.md,FY2019-FY2026,"Sections 1, 3, 4",2026-08-08,5,Serial-acquirer/Delivery Hero context ownership/control structure
01-S10,01,Cross-module - business-model,analyses/UBER_2026-08-08/business-model/01_disqualifier-scan.md,FY2016-FY2026,"Sections 1, 3",2026-08-08,5,Disqualifier check results and routed integrity buzz
01-S11,01,Web unverified dated,Bloomberg/PYMNTS/CFO Dive/Outlook Business coverage,2023,N/A,2023-08 to 2023-11,2,Prior-CFO tenure dates
01-S12,01,Web unverified dated,"Bloomberg, Uber Promotes Company Veteran to COO",2025-06-02,N/A,2025-06-02,2,MacDonald President and COO appointment date
01-S13,01,Web unverified dated,Aggregated press/earnings-release commentary FY2024 investor-day targets,2024-2025,N/A,2025 approx,1,Directional-only context excluded from scoring
02-S1,02,Audited annual filing,Uber_Technologies_Inc_-_Form_10-K-Feb-13-2026.txt,FY2025,"Share Repurchase Authorization, Liquidity, Note 8, Note 10",2026-02-13,5,Buyback authorization debt/financing activity
02-S2,02,Quarterly filing,Uber_Technologies_Inc_-_Form_10-Q-Aug-05-2026.txt,Q2 FY2026,"Pending Acquisition of Delivery Hero, Liquidity, Note 5",2026-08-05,5,Delivery Hero deal financing structure TTM net debt
02-S3,02,Data vendor - Cash Flow export,Uber-Technologies-Inc-NYSE-UBER-Financials_Annual__Cash-Flow.txt (CIQ),FY2016-LTM Jun-30-2026,Full annual series,2026-08-08,5,Buyback M&A dividends capex debt uses-of-capital figures
02-S4,02,Data vendor - Balance Sheet export,Uber-Technologies-Inc-NYSE-UBER-Financials_Annual__Balance-Sheet.txt (CIQ),FY2016-Jun-30-2026,Full annual series,2026-08-08,5,Share count total debt equity cash
02-S5,02,Data vendor - Segments export,Uber-Technologies-Inc-NYSE-UBER-Financials_Annual__Segments.txt (CIQ),FY2016-FY2025,Freight revenue/EBITDA rows,2026-08-08,5,Transplace/Uber Freight post-deal performance
02-S6,02,Data vendor - Key Developments export,Uber-Technologies-Inc-NYSE-UBER-Key-Developments.txt (CIQ),2025-2026,"Careem, Delivery Hero, Blacklane, SpotHero, Getir, Segments.ai entries",2026-08-08,5,Recent deal prices dates structure
02-S7,02,Data vendor - Public Company Profile,Uber-Technologies-Inc-NYSE-UBER-Public-Company-Profile.txt (CIQ),Current,Stock Quote and Chart,2026-08-06,4,Current price 52wk high/low market cap
02-S8,02,Cross-module - earnings,analyses/UBER_2026-08-08/earnings/01_historical-financials.md,FY2021-LTM,"Sec1, 2, 6",2026-08-08,5,CFO/FCF/net-debt figures
02-S9,02,Cross-module - business-model,analyses/UBER_2026-08-08/business-model/11_capital-allocation-governance.md,FY2019-FY2026,"Sec1, 3, 4",2026-08-08,5,Serial-acquirer context RF-CAP-004 precedent
