name,identifier,role,grade,grade_basis,decisive_fact,coverage
Dinesh Chandra Agarwal,DIN not confirmed this sweep - namesake risk flagged not attributed,"Founder, CEO, MD & Director; Promoter",Material concerns,own_record,"Unresolved criminal FIR (IPC 295, IT Act 66D), filed Feb-2021, Mathura, over third-party sale of Govardhan Shila stones via the IndiaMART platform; resolution status unconfirmed",Full sweep 2026-08-22
Brijesh Kumar Agrawal,DIN not confirmed this sweep - namesake risk flagged not attributed,"Co-Founder & Whole-Time Director; Promoter",Material concerns,own_record,"Same FIR as Dinesh Chandra Agarwal, named co-accused",Full sweep 2026-08-22
Manoj Bhargava,DIN 08267536,"Group General Counsel, Company Secretary & Whole-Time Director",Clean,own_record,"Swept, nothing material; directs several IndiaMART subsidiaries consistent with Group GC/CS role",Full sweep 2026-08-22
Jitin Diwan,Not disclosed / not independently confirmed,Chief Financial Officer,Clean,own_record,"Swept, nothing material; external CA hire",Full sweep 2026-08-22
Pallavi Dinodia Gupta,DIN 06566637,Lead Independent Director,Minor concerns,own_record,"Her own CA firm, S R Dinodia & Co LLP, is a disclosed RPT counterparty (Rs 1.70mn FY26 tax-consultancy fee) - independence-hygiene point, not an integrity finding",Full sweep 2026-08-22
Vasuta Agarwal,DIN 07480674,Independent Director,Clean,own_record,"Tier-C scoped sweep, nothing material found",Scoped (Tier C) 2026-08-22
Sandeep Kumar Barasia,DIN 01432123,Independent Director,Clean,own_record,"Tier-C scoped sweep, nothing material found",Scoped (Tier C) 2026-08-22
Vivek Narayan Gour,DIN 00254383,Independent Director,Clean,own_record,"Tier-C scoped sweep, nothing material found; multi-board load routed to 05 for overboarding review",Scoped (Tier C) 2026-08-22
Manish Vij,Not disclosed,Independent Director,Clean,own_record,"Tier-C scoped sweep, nothing material found",Scoped (Tier C) 2026-08-22
Amit Behl,Not disclosed,Board Observer (non-voting),Clean,own_record,"Observer role, no fiduciary/voting authority",Scoped (Tier C) 2026-08-22
Dinesh Gulati,Not disclosed,Chief Operating Officer,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Sudhir Gupta,Not disclosed,SVP Finance & Accounts,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Nikhil S. Prabhakar,Not disclosed,SVP & CIO,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Kushal Maheshwari,Not disclosed,Head of Treasury & IR,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Vasudha Bagri,Not disclosed,Compliance Officer,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Saurabh Deep Singla,Not disclosed,Chief Human Resources Officer,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Vikas Aggarwal,Not disclosed,National Head Client Servicing,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Abhishek Bhartia,Not disclosed,Senior Vice President,Clean,own_record,"Core-set sweep, nothing material",Scoped (Tier B) 2026-08-22
Prateek Chandra,Not disclosed,Chief Strategy Officer (former CFO),Clean,own_record,"Internal role change CFO to CSO, not a resignation; company confirmed no other material reason",Full sweep 2026-08-22 (role-change trigger)
Dhruv Prakash,DIN 05124958,Former Non-Executive Non-Independent Director,Clean,own_record,"Routine retirement by rotation at 27th AGM conclusion",Scoped (Tier C) 2026-08-22
Rajesh Sawhney,Not disclosed,Former Independent Director,Clean,own_record,"Term completion, not a resignation; also carries 2 self-reported PIT violations (2020, 2021), self-detected and self-penalised",Scoped (Tier C) 2026-08-22 + 12's PIT sweep
Aakash Chaudhry,Not disclosed,Former Independent Director,Clean,own_record,"Resigned 21-Jan-2025; company confirmed no other material reason",Scoped (Tier C) 2026-08-22
Mahendra Kumar Chouhan,Not disclosed,Former Independent Director,Clean,own_record,"No adverse hit found; departure circumstances not independently confirmed",Scoped (Tier C) 2026-08-22
Elizabeth Lucy Chapman,Not disclosed,Former Non-Executive Independent Director,Clean,own_record,"Resigned 07-Oct-2022; no adverse signal found",Scoped (Tier C) 2026-08-22
Sandeep Dinodia,Not disclosed,Designated Partner S R Dinodia & Co LLP,Clean,own_record,"Scoped pass, nothing adverse found",Scoped 2026-08-22
Ritesh Praveen Kothari,Not disclosed,Founder Finlite Technologies / Livekeeping,Clean,own_record,"Founder-loop sweep, nothing adverse found",Scoped 2026-08-22
