table,governance_need_or_source,best_available_source_or_period,period_or_as_of,confidence_1_to_5_or_age,missing_or_stale,replacement_source_or_impact
source_coverage_matrix,Board composition,Board Members.rtf (CIQ) + 10-K Item 10 reference,Current (as of Aug-2026 extraction),3,N,—
source_coverage_matrix,Compensation,Not available at the individual pay-table / metric-weight level,N/A,,Y,2026 DEF 14A Proxy Statement (not in pool)
source_coverage_matrix,Ownership,Public Company Profile investor-name list (no %); 10-K holder-of-record count,Feb-2026 / Aug-2026,2,Partial,"2026 DEF 14A ""Security Ownership"" table + Schedule 13D/13G filings (not in pool)"
source_coverage_matrix,Insider trades,Not available (no Form 4 data),N/A,,Y,SEC EDGAR Form 4 filings / Capital IQ Insider Transactions export (not in pool)
source_coverage_matrix,Related-party transactions,"FY25 10-K Notes (Moove, Lime, Careem)",FY2025,5,N (figures present; proxy-level RPT policy narrative absent),2026 Proxy Statement (RPT policy detail)
source_coverage_matrix,Auditor report,"FY25 10-K, Report of Independent Registered Public Accounting Firm (PwC, unqualified, ICFR effective; auditor since 2014)",FY2025,5,N,—
source_coverage_matrix,Secretarial / compliance report,Not applicable in the US regime (no equivalent required document),N/A,,N/A,—
source_coverage_matrix,AGM voting,"Key Developments.rtf notes the AGM date (May-04-2026) and agenda (director elections, Say-on-Pay, Say-on-Pay frequency, PwC ratification) and vendor-sourced vote-count context, but not a primary-filing vote-result tally",May-2026,2,Partial,8-K filing of AGM voting results (not in pool)
source_coverage_matrix,Capital-allocation history,"Key Developments.rtf (buyback tranches, M&A activity) + Financials_Annual/Quarterly.xls Cash Flow tabs",FY2016–LTM(Jun-2026),4,N,—
source_coverage_matrix,Legal / regulatory cases,"FY25 10-K Item 3 (driver classification, sexual-assault MDL, state unemployment tax); Key Developments.rtf (bellwether-trial verdicts)",FY2025–2026,4,N,—
data_freshness,FY25 10-K,FY2025 (ended Dec-31-2025),Filed Feb-13-2026,~6 months,N,"Primary annual source, current"
data_freshness,Q2 FY26 10-Q,Q2 FY2026 (ended Jun-30-2026),Filed Aug-05-2026,~4 days,N,Most current filing in the pool
data_freshness,Q1 FY26 10-Q,Q1 FY2026 (ended Mar-31-2026),Filed May-06-2026,~3 months,N,Current
data_freshness,Board Members / Professionals (CIQ),Current roster,Extraction Aug-06-2026,~3 days,N,"Reflects most recent management changes (CFO transition, CPO/President reorg)"
data_freshness,Key Developments (CIQ),Multi-year events feed through Aug-06-2026,Extraction Aug-07-2026,~2 days,N,Covers buyback tranches and management-change events through mid-2026
data_freshness,Public Company Profile (CIQ),Quote/ownership snapshot,Extraction Aug-08-2026 (quote as of Aug-06-2026 close),~1 day,N,Current
data_freshness,2026 Proxy Statement,N/A,Not in pool,N/A,"N/A — absent, not stale",The single most valuable missing document (see Section 6)
