finding_id,agent,section,question,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
01-001,01,Key Executives,CEO tenure,Green,8.9,years,Stable,NA,18,0,4,Medium,Professionals.rtf,,None
01-002,01,Management Stability,CFO turnover count / shortest tenure,Amber,3,CFOs since 2018,Deteriorating,NA,10,-6,3,High,"biz-model/11; Professionals.rtf; TechCrunch (unverified)",,Confirm reason via proxy/8-K
01-003,01,Key Executives,Board Chair tenure/independence,Green,8,"years, Independent",Stable,NA,4,0,4,Low,Board Members.rtf,,None
01-004,01,Management Stability,CTO turnover,Amber,1,CTO change Dec-2025,Not enough history,NA,3,-2,3,Low,Professionals.rtf,,Confirm predecessor CTO
01-005,01,Key Executives,Founder/owner-operator status,NA,0.18,% insider ownership,Stable,NA,,,3,Medium,biz-model/11,,None
01-006,01,Promise vs Delivery,"Adj. EBITDA vs guide, FQ1 2026",Green,2481,"$mm vs $2370-2470mm guided",Improving,NA,6,0,3,Medium,"CIQ Estimates, Guidance tab",,None
01-007,01,Promise vs Delivery,"Adj. EBITDA vs guide, FQ2 2026",Green,2819,"$mm vs $2700-2800mm guided",Improving,NA,6,0,3,Medium,"CIQ Estimates; earnings/04",,None
01-008,01,Promise vs Delivery,"Adj. EPS vs guide, FQ1 2026",Green,0.72,"$ vs $0.65-0.72 guided",Improving,NA,5,0,3,Medium,"CIQ Estimates, Guidance tab",,None
01-009,01,Promise vs Delivery,"Adj. EPS vs guide, FQ2 2026",Green,0.81,"$ vs $0.78-0.82 guided",Stable,NA,5,0,3,Medium,"CIQ Estimates, Guidance tab",,None
01-010,01,Promise vs Delivery,Revenue consensus miss pattern,Amber,-0.52,% miss FQ2 2026,Deteriorating,NA,3,-3,3,Medium,"earnings/04; CIQ Estimates",,Watch FQ3 2026
01-011,01,Stated Strategy,US Mobility acceleration promise vs Q2 result,Green,22,% YoY Gross Bookings growth,Improving,NA,4,0,3,Medium,Q2 FY26 transcript,,Confirm continuation
01-012,01,Stated Strategy,Headcount-discipline claim verifiability,Insufficient Data,,,Not enough history,NA,0,0,1,Low,"Q2 FY26 transcript, Q&A p.9",,Obtain headcount disclosure
01-013,01,Turnaround Test,"Delivered operating inflection, FY23-FY25",Green,5565,"$mm Op. Income FY25 (from $1110mm FY23)",Improving,NA,10,0,4,High,"biz-model/01; Financials.xls",,None
01-014,01,Management Stability,CFO departure characterization,Amber,,,Not enough history,NA,3,-2,2,Medium,"Web: TechCrunch/CFO Dive (unverified)",,Confirm via 8-K/proxy
01-015,01,Integrity Test,Adverse integrity buzz routed?,NA,0,,Not enough history,NA,,,4,,biz-model/01 §3,,None
01-016,01,Stated Strategy,AV commercialization $10bn investment,Insufficient Data,10000,$mm multi-year commitment,Not enough history,NA,0,0,3,High,Q2 FY26 transcript,,Track capital deployed
01-017,01,Promise vs Delivery,~50% FCF buyback framework overridden,Amber,4000,"$mm pulled for DH stake, Q2 2026",Deteriorating,NA,3,-3,3,High,biz-model/11,,Confirm buyback cadence resumes
02-001,02,Uses of Capital,"Acquisitions as % of cumulative CFO, FY21-25",Amber,15.2,% of CFO,Not enough history,NA,6,-4,4,High,"Financials.xls, CF tab",,Track FY26-27 M&A cash line
02-002,02,Uses of Capital,"Buybacks as % of cumulative CFO, FY21-25",Green,37.0,% of CFO,Rising sharply,NA,7,0,4,Medium,"Financials.xls, CF tab",,None
02-003,02,Uses of Capital,"Debt repaid vs issued, FY21-25",Amber,1304,$mm net debt issued,Deteriorating into LTM,NA,4,-2,4,Medium,"Financials.xls, CF tab",,None
02-004,02,M&A Scorecard,Delivery Hero deal size vs market cap,Red,10.6,% of market cap,New,NA,3,-8,4,Critical,"CIQ M&A db; Public Co Profile",RF-CAP-004,Track leverage vs <2x target
02-005,02,M&A Scorecard,Serial-acquirer cadence,Red,7,acquisitions in ~18 months,Accelerating,NA,2,,4,Critical,"Public Co Profile; CIQ Landscape",RF-CAP-004,Monitor deal count/debt
02-006,02,M&A Scorecard,Forced divestiture opportunity cost,Red,1600,$mm SSW divestiture,New,NA,,,4,High,"CIQ Landscape, DH deal entry",RF-CAP-004,Confirm divested entity/multiple
02-007,02,M&A Scorecard,$4bn buyback capital redirected to DH stake,Amber,4000,$mm,New,NA,3,-4,3,High,Q2 FY26 transcript,,Confirm buyback cadence
02-008,02,M&A Scorecard,Trendyol Go organic/acquired growth conflation,Amber,,,Deteriorating,NA,3,-2,3,Medium,Q2 FY26 transcript,,Isolate organic vs. inorganic growth
02-009,02,Buyback Scorecard,"Net share-count change, Dec-2024 to Aug-2026",Green,-2.2,%,Improving then reversing,NA,8,0,4,Medium,Historical Cap. tab,,None
