finding_id,agent,section,question,standardized_verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence_1_to_5,materiality,evidence,red_flag_id,follow_up
01-001,01,Key Executives,CEO tenure and identity,Green,18,years,Stable,N/A,15,0,5,Medium,"FY2025 10-K/A Item 10",,"None"
01-002,01,Key Executives,CFO tenure and turnover,Amber,3,years,Stable since transition,N/A,8,0,4,Medium,"FY2025 10-K/A Item 11 + web",,"Confirm no further CFO change"
01-003,01,Management Stability,Senior-exec departures,Amber,4,departures,Deteriorating,N/A,6,-4,3,High,"Web CNBC 2024/2025",RF-MGT-002,"Confirm disclosure, bench depth"
01-004,01,Management Stability,CEO succession framework,Red,2,of 12 tranches,N/A,N/A,2,-3,5,High,"FY2025 10-K/A CDA footnote 1",RF-MGT-003,"Ask if board has independent plan"
01-005,01,Promise vs Delivery,Delivery-growth 2025 promise,Red,-8.5,%YoY,Deteriorating,N/A,3,-10,5,High,"Q4-2024 update p12; CIQ",RF-DISC-001,"Track FY2026 commentary"
01-006,01,Promise vs Delivery,FSD Europe/China 2025 promise,Red,0,of 2 markets,Missed,N/A,2,-8,5,Critical,"Q4-2024/2025 updates",RF-DISC-001,"Track EU/China timeline"
01-007,01,Promise vs Delivery,Robotaxi US 2025 promise,Amber,1,city,Partial late,N/A,5,0,4,High,"Q4-2025 update",,"Track expansion pace"
01-008,01,Promise vs Delivery,2018 CEO award milestones,Green,12,of 12 tranches,Kept,N/A,10,0,5,Medium,"FY2025 10-K/A footnote 4",,"None"
01-009,01,Promise vs Delivery,FY2026 capex floor,N/A,8527,$mm context,Not yet due,Street above floor,0,0,3,Medium,"Q1/Q2 2026 transcripts",,"Check FY2026 actual"
01-010,01,Turnaround/Integrity,Turnaround test,N/A,,,,,0,0,4,Medium,"Q1/Q2 transcripts; BM/07",,"None"
01-011,01,Integrity Test,Securities-fraud class action,Red,1,active suit,Unresolved,N/A,0,-15,3,Critical,"Q2 FY26 10-Q Note 11",RF-MGT-005,"Track motion to dismiss"
01-012,01,Key Executives,CEO ownership stake,Green,20.3,%,Stable,N/A,5,0,5,High,"FY2025 10-K/A Item 12",,"None"
01-013,01,Management Stability,Musk Jun-2026 exercise,Amber,94,%retained,N/A,N/A,3,0,3,Medium,"CIQ Insider Trading 2026-06-16",,"Confirm 10b5-1 status"
01-014,01,Key Executives,Board independence context,Green,2,non-indep directors,Stable,N/A,3,0,5,Medium,"FY2025 10-K/A",,"None"
02-001,02,Uses of Capital,Capex % of CFO,Amber,61.4,%,Rising,N/A,6,0,5,High,"CIQ Cash Flow tab",,"Track FY2026 EBIT conversion"
02-002,02,M&A Scorecard,Controlling M&A FY21-25,Green,0,deals,Stable zero,N/A,18,0,5,High,"CIQ Cash Acquisitions row",,"None"
02-003,02,M&A Scorecard,SpaceX related-party investment,Red,2000,$mm,New,N/A,4,-6,4,Medium,"Q2 FY26 10-Q Note 13",RF-CAP-001,"Track independent process"
02-004,02,Buyback Scorecard,Shares repurchased FY21-LTM,Red,0,$mm/yr,Stable zero,N/A,2,-8,5,High,"CIQ Cash Flow tab",RF-CAP-002,"Confirm authorization status"
02-005,02,Buyback Scorecard,Net share-count change,Red,27.4,%increase,Rising,N/A,2,-5,5,High,"CIQ Balance Sheet tab",RF-CAP-002,"Quantify FY25 jump split"
02-006,02,Dividends,Payout ratio,N/A,0,%,Stable zero,N/A,5,0,5,Medium,"CIQ Cash Flow tab",,"None"
02-007,02,Organic Reinvestment,Capex/depreciation intensity,Amber,2.00,x LTM,Rising,N/A,5,0,4,High,"BM/11 sec1",,"Monitor conversion"
02-008,02,Organic Reinvestment,Incremental ROIC EBIT,Red,-3.8,%,Negative,N/A,1,-10,4,Critical,"CIQ IS+CapStructure",,"Track FY26 EBIT"
02-009,02,Organic Reinvestment,Incremental ROIC NOPAT,Red,-4.6,%,Negative,N/A,1,-3,3,Critical,"CIQ IS tab",,"Same as 02-008"
02-010,02,Organic Reinvestment,Return on Capital level,Red,2.75,%LTM,Deteriorating,N/A,1,-2,4,High,"CIQ Ratios; BM/07",,"None"
02-011,02,Per-Share Value,Diluted EPS trend,Red,1.08,$,-70% from peak,N/A,1,-4,5,Critical,"Earnings/01",,"Track FY26 EPS"
02-012,02,Balance-Sheet Prudence,Net debt strict vs broad,Amber,861,$mm,Deteriorating strict,N/A,6,0,5,Medium,"Earnings/01; CIQ",,"Monitor gap"
02-013,02,Balance-Sheet Prudence,Debt/EBITDA trend,Amber,1.64,xLTM,Rising,N/A,4,0,4,Medium,"BM/11 sec1",,"None"
02-014,02,Uses of Capital,Cash/ST-investment buildup,Amber,39.0,%,Rising,N/A,,0,5,Medium,"CIQ Cash Flow tab",,"None"
03-001,03,Comp Structure,CEO cash comp size-neutral,Green,0,$,Stable,N/A,18,0,5,High,"FY2025 10-K/A p9",,"None"
03-002,03,Comp Structure,2025 award magnitude,Amber,423743904,shares,Escalating,N/A,2,-3,5,High,"FY2025 10-K/A p10-11",,"Is follow-on likely?"
03-003,03,Performance Metrics,2025 milestones per-share,Red,0,of 12,Unchanged,N/A,3,-5,5,High,"FY2025 10-K/A p11-12",,"Per-share overlay?"
03-004,03,Performance Metrics,Market-cap hurdle nets dilution,Red,10.7,%dilution,Compounding,N/A,2,-5,4,High,"FY2025 10-K/A; BM/11",,"Per-share-adjusted disclosure?"
03-005,03,Pay vs Performance,CEO pay ratio,Amber,2522203,ratio,Sharp step-up,Worse than peer,2,-3,5,High,"FY2025 10-K/A p21",,"None"
03-006,03,Pay vs Performance,CEO realized comp 2025,Green,0,$,Stable zero,N/A,15,0,5,High,"FY2025 10-K/A p17",,"None"
03-007,03,Comp Structure,CFO pay lumpiness,Amber,139472935,$FY24,Highly lumpy,N/A,12,-2,5,Medium,"FY2025 10-K/A",,"None"
03-008,03,Performance Metrics,CFO/SVP metric linkage,Amber,80,%options,Consistent,N/A,10,-3,5,Medium,"FY2025 10-K/A p8",,"None"
03-009,03,Performance Metrics,Annual bonus scorecard,Amber,0,of 3 NEOs,Unchanged,N/A,8,-2,5,Medium,"FY2025 10-K/A",,"None"
03-010,03,Pay vs Performance,Say-on-pay support,Amber,70,%approval,N/A,Worse than peer,5,-2,4,High,"FY2025 10-K/A p7",,"Track 2026 result"
03-011,03,Pay vs Performance,Pay litigation controversy,Amber,1,event,Ongoing,N/A,3,-3,5,High,"FY2025 10-K/A p13-15",,"None"
03-012,03,Pay vs Performance,CEO pay vs peers,Red,158359009867,$,N/A,Worse than peers,1,-4,2,High,"Web Detroit News 2026",,"None"
03-013,03,Performance Metrics,2018 award metric composition,Amber,12,of 12,Kept,N/A,3,-3,5,Medium,"FY2025 10-K/A p13-15",,"None"
03-014,03,Pay vs Performance,Clawback policy,Green,1,policy,N/A,N/A,12,0,5,Medium,"FY2025 10-K/A p7",,"None"
04-001,04,Ownership,CEO ownership 10-K/A basis,Green,20.3,%,Stable-rising,N/A,24,0,5,High,"FY2025 10-K/A Item 12",,"None"
04-002,04,Ownership,CEO ownership current CIQ,Green,29.9,%,Rising,N/A,,0,4,High,"CIQ Ownership Summary",,"None"
04-003,04,Ownership,Total insider ownership,Amber,28.53,%,Rising,N/A,,0,4,Medium,"CIQ; 10-K/A",,"None"
04-004,04,Ownership,Directors+officers as group,Green,20.5,%,N/A,N/A,,0,5,Medium,"FY2025 10-K/A",,"None"
04-005,04,Ownership quality,Bought vs granted,Amber,717112739,shares,N/A,N/A,7,0,5,High,"FY2025 10-K/A footnote2",,"None"
04-006,04,Insider transactions,CEO open-market purchase,Green,999959042,$,Single event,N/A,,0,4,High,"CIQ Insider Trading 2025-09-15",,"None"
04-007,04,Ownership,Institutional ownership total,Green,41.71,%,N/A,N/A,,0,4,Medium,"CIQ Ownership Summary",,"None"
04-008,04,Ownership,Top 5% holders,Green,6.1,%,Stale,N/A,,0,3,Low,"FY2025 10-K/A footnote3",,"Confirm current Vanguard aggregate"
04-009,04,Insider transactions,2018-award exercise,N/A,303960630,shares,One-time,N/A,,0,5,High,"CIQ Insider Trading 2026-06-17",,"None"
04-010,04,Insider transactions,Kimbal Musk sale,Amber,-25606501,$,Single event,N/A,,0,4,Low,"CIQ Insider Trading 2025-12-12",,"None"
04-011,04,Insider transactions,Tom Zhu sale,Amber,-7275100,$,Single event,N/A,,0,4,Medium,"CIQ Insider Trading 2025-09-12",RF-MKT-001 candidate,"Confirm no MNPI access"
