matrix_type,item,source,period,confidence_or_asof,missing_or_age,stale,replacement_or_impact
coverage,Board composition,Norsk-Hydro-ASA-OB-NHY-Board-Members.txt + integrated-annual-report-2025.pdf NUES Report Section8,Current (2026) / FY2025,5,N,,-
coverage,Compensation,"integrated-annual-report-2025.pdf, Note 9.1 / Section 9 & 12 (aggregate ELT + Board fees, TSR incentive metric)",FY2025,3 (aggregate only; individual-executive report absent),Partial,,"Individual ""Report on executive remuneration 2025"" - not in pool"
coverage,Ownership,"integrated-annual-report-2025.pdf ""The Hydro share"" (Top 15) + NorskHydroASAOBNHY_PublicCompany.pdf (Top Holders)",2025-12-31 and 2026-07-18,5,N,,-
coverage,Insider trades,None found,-,0,Y,,"VPS primary-insider notification filings / Oslo Boers ""managers' transactions"" disclosures - not in pool"
coverage,Related-party transactions,"integrated-annual-report-2025.pdf, Note 9.1",FY2025,5,N,,-
coverage,Auditor report,"integrated-annual-report-2025.pdf, Section 15 (Auditor) + Note 10.4 Auditor's remuneration",FY2025,"3 - the printed Independent Auditor's Report itself (pp.225-230) is missing from the pool extraction per business-model/01_disqualifier-scan's flagged gap; secondary evidence (going-concern language, no qualification anywhere else, unbroken KPMG tenure since 2010) is convergent but the primary opinion text itself should be re-pulled","Partial (extraction gap, not a real absence - flagged upstream)",,Re-extract/re-OCR pp.225-230 of integrated-annual-report-2025.pdf
coverage,Secretarial / compliance report,"Not applicable in this regime - Norway has no ""Secretarial Audit Report"" analog; the NUES Corporate Governance Report and Board's internal-control section (Section10) serve the equivalent compliance-assurance function",FY2025,4,N (regime-appropriate substitute present),,-
coverage,AGM voting,"Not found - the May 7, 2026 AGM (which covers FY2025 dividend/remuneration-policy advisory vote) had already occurred by the 2026-07-19 analysis date, but no voting/scrutinizer results for that meeting are in the pool",-,0,Y,,Oslo Boers stock-exchange announcement of AGM resolutions/vote tallies - not in pool
coverage,Capital-allocation history,"Norsk-Hydro-ASA-OB-NHY-Financials.xls (Cash Flow, Historical Capitalization tabs) + integrated-annual-report-2025.pdf",FY2021-FY2025 + LTM Mar-2026,5,N,,-
coverage,Legal / regulatory cases,"integrated-annual-report-2025.pdf, Provisions/Contingent liabilities note (Brazilian tax ~NOK 4.3bn, Alunorte litigation)",FY2025,4,N,,-
freshness,integrated-annual-report-2025.pdf,integrated-annual-report-2025.pdf,FY2025,Board-approved 2026-02-12,~5 months,No,"Primary governance source, current"
freshness,first-quarter-report-2026.pdf,first-quarter-report-2026.pdf,Q1 2026,Board-approved 2026-04-28,~3 months,No,Confirms no material governance change since annual report
freshness,Q1 2026 earnings call transcript,Q1 2026 earnings call transcript,Q1 2026,2026-04-29,~3 months,No,Latest candor read
freshness,Q4 2025 earnings call transcript,Q4 2025 earnings call transcript,Q4 2025 / FY2025,2026-02-13,~5 months,No,Corroborates annual-report period
freshness,NorskHydroASAOBNHY_PublicCompany.pdf (ownership),NorskHydroASAOBNHY_PublicCompany.pdf (ownership),Current holdings,2026-07-18,1 day,No,Freshest ownership cut; reconciles closely with the FY2025 filing's 2025-12-31 table (state 34.49% vs 34.5%)
freshness,Norsk-Hydro-ASA-OB-NHY-Board-Members.txt,Norsk-Hydro-ASA-OB-NHY-Board-Members.txt,Current board roster,~2026-07 (extraction date; underlying CIQ profile reflects board composition through at least the 2024 and May 2025/2026 AGM elections referenced in bios),Current,No,-
freshness,NorskHydroASAOBNHYEstimatesReport.xls (Consensus/Guidance/Surprise),NorskHydroASAOBNHYEstimatesReport.xls (Consensus/Guidance/Surprise),"Ongoing estimates, next release FQ2 2026 on 2026-07-22",Current,Current,No,Not governance-critical; supports candor/guidance cross-check
freshness,nhy-investor-day-2025.pdf,nhy-investor-day-2025.pdf,2025 strategy targets,2025,"~1+ year (undated precisely within pool, but pre-dates FY2025 annual report content)",Mildly,"Use for promise-vs-delivery baseline only, not for current governance state"
