agent_file,source_id,source_type,filename_filing,period,page_section,date,confidence_1_5,used_for
01_management-and-track-record.md,S1,Annual filing (proxy/comp/board-equivalent),Delivery_Hero_SE-Annual_Report(Apr-25-2025).pdf,FY2024,"Management Board section p.10, p.327; Corporate Governance Statement p.944-960; Note 10 Related-Party Disclosures p.206-207; ""Personnel matters of the Management Board"" p.656-676",2025-04-25,5,"Key executives, tenure, CFO/board turnover, contract-term disclosure"
01_management-and-track-record.md,S2,Earnings transcript,"Delivery Hero SE, 2025 Earnings Call, Mar 26, 2026.pdf",FY2025 results,"Prepared remarks p.1, 8-9; Q&A (CFO Marie-Anne Popp, FCF basis)",2026-03-26,3,"Stated strategy/targets, Korea promise-vs-delivery, FCF guidance-basis explanation"
01_management-and-track-record.md,S3,Quarterly-equivalent transcript,"Delivery Hero SE, Q1 2026 Sales_ Trading Statement Call, Apr 30, 2026.pdf",Q1 2026,Prepared remarks,2026-04-30,3,"GMV guidance tracking, current-trading candor read"
01_management-and-track-record.md,S4,Deal/M&A transcript,"Uber Technologies, Inc., Delivery Hero SE - M&A Call.pdf","Jul 16, 2026",p.4,2026-07-16,3,"Context overlay — live acquisition process, reference-shareholder tender commitment"
01_management-and-track-record.md,S5,Data-vendor workbook (guidance/consensus),"DeliveryHeroSEXTRADHEREstimatesReport.xls, Guidance & Surprise tabs",FY2022-FY2026,"Guidance tab; Surprise tab (Company Level, EUR)",Data as of ~2026-08-05,4,"Multi-year Adjusted EBITDA/FCF guidance-vs-actual, Street EPS beat/miss history"
01_management-and-track-record.md,S6,Cross-module input,`business-model/02_business-identity.md`,FY2024-2026,§4,2026-08-12,5,"M&A overlay context, business-model framing"
01_management-and-track-record.md,S7,Cross-module input,`business-model/01_disqualifier-scan.md`,FY2024,§1-3,2026-08-12,5,Disqualifier-deference context; integrity-signal check
01_management-and-track-record.md,S8,Cross-module input,`business-model/12_red-flags-sweep.md`,FY2024-2025,§1-4,2026-08-12,5,One-off gains flattering FY2024 FCF/profit; operating-inflection fragility
01_management-and-track-record.md,S9,Cross-module input,`business-model/07_business-quality.md`,FY2025,(industry rate-of-change / margin section),2026-08-12,5,"""Fragile, recent inflection"" framing for FY2025 operating profit"
01_management-and-track-record.md,S10,Cross-module input,`earnings/04_guidance-consensus.md`,FY2022-FY2026,"§2, §3, §6, §7",2026-08-12,5,"Guidance-vs-actual tables, Street beat/miss history, bar assessment"
