finding_id,ticker,date,agent,section,question,standardized_verdict,raw_value,unit,current_period,prior_period,trend,peer_benchmark,peer_verdict,score,max_score,penalty,confidence_1_to_5,materiality,evidence,source_id,source_type,source_date,as_of_date,analyst_interpretation,red_flag_triggered,red_flag_id,follow_up_required
01-001,ORCL,2026-08-14,01_management-and-track-record,Key Executives,Is the CEO founder/owner-operator?,Amber,40.21,% common stock held by founder (non-CEO Exec Chair),FY26,FY21-FY26 (stable),Stable,No peer set,N/A,12,20,0,5,High,"[FY26 10-K, Item 10]; [Oracle Corporation NYSE ORCL Public Ownership Summary.rtf]","S1,S7",Annual filing / Ownership export,2026-06-22,2026-06-22,"Founder retains large stake and Chair/CTO influence but ceded the CEO seat in 2014; current CEO structure is professional-manager, not owner-operator",False,,Confirm whether Ellison exercises informal operating control beyond his Board/CTO roles once the 2026 proxy is filed
01-002,ORCL,2026-08-14,01_management-and-track-record,Key Executives,CEO tenure and background fit,Green,11,years at company (Magouyrk); 16.5 (Sicilia),FY26,N/A (new roles Sept 2025),N/A,No peer set,N/A,16,20,0,5,Medium,"[FY26 10-K, Item 10]",S1,Annual filing,2026-06-22,2026-06-22,"Both co-CEOs are long-tenured internal operators with directly relevant cloud/industry backgrounds, not outside hires",False,,None
01-003,ORCL,2026-08-14,01_management-and-track-record,Key Executives,CFO tenure and background fit,Amber,0.35,years in seat as of filing (Maxson),FY26/Q1 FY27,N/A,N/A,No peer set,N/A,10,20,0,4,High,"[FY26 10-K, Item 10]; [Oracle Corporation NYSE ORCL Key Developments.xls, 2026-04-06 entry]","S1,S2",Annual filing / Material-event disclosure,2026-06-22,2026-06-22,Strong external CFO background (Schneider Electric Group CFO) but zero Oracle-specific track record as of this filing,False,,Track Maxson's first two quarters of guidance accuracy once reported
01-004,ORCL,2026-08-14,01_management-and-track-record,Management Stability,"CFO turnover count, last 12 months",Red,2,count of CFO-seat changes,Sept 2025-Apr 2026,N/A,Deteriorating,No peer set,N/A,6,20,-4,5,High,"[Oracle Corporation NYSE ORCL Key Developments.xls, 2025-09-22 and 2026-04-06 entries]",S2,Material-event disclosure,2026-04-06,2026-04-06,"Two CFO-seat changes in 8 months, landing in the same fiscal year as a 54% one-year debt increase and a credit downgrade to BBB-",True,RF-MGT-001,Monitor for a further CFO change in FY27; assess Maxson's first guidance cycle
01-005,ORCL,2026-08-14,01_management-and-track-record,Management Stability,CEO succession structure,Amber,2,count of co-CEOs (unprecedented structure),Sept 2025-present,"Single CEO (Catz, 2014-2025)",Changed,No peer set,N/A,12,20,0,5,Medium,"[FY26 10-K, Item 10]; [Oracle Corporation NYSE ORCL Key Developments.xls, 2025-09-22 entry]","S1,S2",Annual filing / Material-event disclosure,2025-09-22,2025-09-22,Untested co-CEO structure; both internal promotions reduce but do not eliminate transition risk,False,,Watch for role/authority friction between co-CEOs in future disclosures
01-006,ORCL,2026-08-14,01_management-and-track-record,Management Stability,"Independent director departures, last 3 years",Amber,2,"count (Conrades, Seligman)",FY26,N/A,N/A,No peer set,N/A,14,20,0,4,Low,"[Oracle Corporation NYSE ORCL Key Developments.xls, 2026-01-09 entry]",S2,Material-event disclosure,2026-01-09,2026-01-09,"Framed as ordinary retirement (18 and 20 years of service), not resignation citing concerns; two new independent directors added same period",False,,Confirm via 2026 proxy that no undisclosed concerns drove the retirements
01-007,ORCL,2026-08-14,01_management-and-track-record,Stated Strategy & Targets,FY2027 revenue target set and specific,Green,90000,$mm (point guidance),FY2027,FY2026 actual ~$67400mm,N/A,Consensus $89336.55mm,In line,18,20,0,5,High,"[Oracle_Earnings Press Release Q4FY26.pdf, Guidance for Full FY 2027]; [earnings/04_guidance-consensus.md, Section 3]","S3,S8",Press release / Cross-module,2026-06-10,2026-06-10,"Specific, checkable point target; not yet reportable against actuals",False,,"Check FQ1 FY2027 print (Sept 4, 2026) against this guide"
01-008,ORCL,2026-08-14,01_management-and-track-record,Promise vs Delivery,FY2026 capex guidance accuracy,Red,15000,$mm under-forecast (revealed one quarter after initial post-Q1 forecast),Q2 FY2026 (revealed 2025-12-10),Q1 FY2026 forecast (~Sept 2025),Deteriorating,No peer set,N/A,4,30,-8,5,High,"[Oracle Corporation NYSE ORCL Key Developments.xls, 2026-02-05 entry]",S2,Material-event disclosure,2025-12-10,2025-12-10,"A specific, dated capital-spending promise broke within a single quarter; stock fell 10.8% on the disclosure",True,RF-CAP-001,Track whether FY2027's ~$70bn net capex guide holds through FQ1-FQ2 FY2027
01-009,ORCL,2026-08-14,01_management-and-track-record,Promise vs Delivery,Trailing-4-quarter clean operating EPS beat rate (ex one-offs),Amber,50,% (2 of 4 quarters clean),FQ1-FQ4 FY2026,N/A,N/A,No peer set,N/A,12,30,0,4,Medium,"[earnings/04_guidance-consensus.md, Section 6]",S3,Cross-module (vendor-sourced),2026-06-10,2026-06-10,Headline beat rate (3 of 4) overstates repeatable operating strength once Ampere/Bloom one-offs are stripped from two quarters,False,,Continue tracking clean vs headline EPS beats each quarter
01-010,ORCL,2026-08-14,01_management-and-track-record,Promise vs Delivery,Trailing-4-quarter revenue beat rate,Amber,50,% (2 of 4 quarters beat),FQ1-FQ4 FY2026,N/A,N/A,No peer set,N/A,12,30,0,5,Medium,"[earnings/04_guidance-consensus.md, Section 6]",S3,Cross-module (vendor-sourced),2026-06-10,2026-06-10,"Revenue missed Street in FQ1 and FQ2 FY2026, beat in FQ3 and FQ4",False,,None beyond ongoing tracking
