Source,Document Type,Period,Jurisdiction,Tier,Language,In Pool,Cited By,Notes
FY2023 10-K,Audited Annual Report,FY2023 (Dec 2023),US SEC,1,English,Yes,"01,02,04,05,06,synthesis",
FY2024 10-K,Audited Annual Report,FY2024 (Dec 2024),US SEC,1,English,Yes,"01,02,03,04,05,06,synthesis",
FY2025 10-K,Audited Annual Report,FY2025 (Dec 2025),US SEC,1,English,Yes,"01,02,03,04,05,06,synthesis",
Q1 2026 10-Q,Quarterly Filing,Q1 2026 (Mar 2026),US SEC,2,English,Yes,"01,02,04,05,06,synthesis",
Q2 2025 Earnings Transcript,Earnings Transcript,Q2 2025,US,6,English,Yes,"01,06",Verbatim PDF — candor cap does not apply
Q3 2025 Earnings Transcript,Earnings Transcript,Q3 2025,US,6,English,Yes,"01,06",Verbatim PDF; Q3 2025 charge disclosure cited
Q4 2025 Earnings Transcript,Earnings Transcript,Q4 2025,US,6,English,Yes,"01,06",Verbatim PDF
Q1 2026 Earnings Transcript,Earnings Transcript,Q1 2026,US,6,English,Yes,"01,06",Verbatim PDF; Anthropic mark noted
CIQ Takeover Defense Data,Licensed Data / Vendor,As of pool date,US,5,English,Yes,"04,05",Takeover defense score 0.14 vs S&P 500 avg 0.32; single-class confirmation
CIQ Float Data,Licensed Data / Vendor,As of pool date,US,5,English,Yes,04,Float 90.9% pool-confirmed
2026 AGM Vote Results,AGM Governance Disclosure,2026 AGM,US,4,English,Yes,"03,05",Say-on-pay 93.8% for; director election results
FY2021–FY2022 10-K (historical),Audited Annual Report,FY2021-FY2022,US SEC,1,English,Yes,"02",Used for 5-yr normalized EPS computation
2026 DEF 14A (Amazon Proxy),Proxy Statement,FY2025 proxy,US SEC,4,English,NOT IN POOL,—,Primary data gap; highest-value next document
Bezos Holding (web-sourced),Web Source,2026 (unverified),Public,10,English,Not pool-confirmed,04,~8.8%; labelled web-sourced unverified
business-model/01_disqualifier-scan.md,Cross-module Input,2026-07-10,N/A,N/A,English,Yes,synthesis,All 8 disqualifiers clear
