table,governance_need_or_source,best_available_source,period,confidence_1_5,missing,replacement_source,as_of_date,age,stale,impact
coverage_matrix,Board composition,"FY25 Form 20-F, Item 6.A (9 directors, ages, independence, committees)","FY2025, as of 2026-04-08",5,No,CIQ Board Members / Committees exports for the ~Aug-2026 position (adds Campos Neto),,,,
coverage_matrix,Compensation,"FY25 Form 20-F, Item 6.B + Note 28(b) (aggregate US$91.3m) + Omnibus Incentive Plan terms (Item 6.B)",FY2025,3,"Partly — no per-individual pay, no metrics, no weights (FPI/Cayman exemption, stated in the filing)",Form 4 grant events in the CIQ Insider Trading export give the RSU quantum per named person and partly substitute,,,,
coverage_matrix,Ownership,"FY25 Form 20-F, Item 7.A beneficial-ownership table + CIQ Public Ownership Detailed / History / Crossholdings",2025-12-31 filing; vendor to 2026-06-30,5,No,—,,,,
coverage_matrix,Insider trades,"CIQ Public Ownership→Insider Trading (Form 4-sourced, 46 rows), pinned by ciq_facts.json",all history to 2026-08-26,5,No,—,,,,
coverage_matrix,Related-party transactions,"FY25 Consolidated Financial Statements, Note 28 + Item 7.B (policy)","FY2025, FY2024, FY2023",3,"Partly — amounts disclosed, counterparty not named",relationships.json and the CIQ Suppliers/Customers exports may help 07/09 identify the counterparty; a registry sweep would settle it,,,,
coverage_matrix,Auditor report,"FY25 Form 20-F, Report of Independent Registered Public Accounting Firm (KPMG, PCAOB ID 1124, auditor since 2018) + CIQ Auditors export (unqualified FY2020–FY2025)",FY2020–FY2025,5,No — except the signing partner is unnamed,PCAOB Form AP would name the partner; not reachable this run,,,,
coverage_matrix,Secretarial / compliance report,"Not applicable — India-only instrument. The regime equivalents present are Item 15 (controls and procedures), Item 16B (code of ethics), Item 16J (insider-trading policies), Item 16K (cybersecurity)",FY2025,4,No (N/A),—,,,,
coverage_matrix,AGM voting,"CIQ Key Developments export — AGM date 2026-08-06 and the full agenda (nine nominees, accounts ratification)",2026-08-06,1,YES — no vote tallies,"The company's 6-K reporting the poll results, or a proxy-advisor report; neither is in the pool and neither was reachable",,,,
coverage_matrix,Capital-allocation history,CIQ Financials→Cash Flow + Historical Capitalization + Transaction Summary M A Private Placements + Public Offerings + Direct Investments + five 20-Fs,FY2021–FY2025 + LTM Jun-2026,5,No,—,,,,
coverage_matrix,Legal / regulatory cases,"FY25 Form 20-F risk factors, Note 25 provisions/contingencies, and the Brazilian regulatory sections; CIQ Key Developments; CIQ S&P Global Ratings",FY2025 / to Aug-2026,2,Partly — no independent sweep possible,"Court, tribunal, regulator-enforcement, sanctions and disqualification databases per frameworks/GOVERNANCE_DATABASES.md; all unreachable from this runtime",,,,
data_freshness,FY25 Form 20-F,,FY2025,,,,period end 2025-12-31; filed 2026-04-08,8.2 months (period) / 5.0 months (filing),No — this is the current annual filing and the next one is not due until ~April 2027,"Governance, comp, ownership and RPT reads are all built on it"
data_freshness,Q2 2026 interim report and earnings release,,Q2 2026,,,,2026-08-13 / 2026-08-14,0.7–0.8 months,No,Latest reported financial position
data_freshness,Q2 2026 transcript,,Q2 2026 call,,,,2026-08-13,0.8 months,No,Candor read is current
data_freshness,CIQ Insider Trading export,,all history,,,,"latest event 2026-08-24, filed 2026-08-26",0.4 months,No,Insider conduct read is current
data_freshness,CIQ Public Ownership History / Detailed,,quarterly series,,,,latest period 2026-06-30,2.2 months,No,Ownership trend current to the last reported quarter
data_freshness,CIQ Board Members / Professionals / Committees,,"""Current""",,,,export ~Aug-2026,~0.5 months,No,Fresher than the 20-F — it captures Campos Neto and the CFO change that the April 20-F could not
data_freshness,CIQ Key Developments,,event history,,,,through Aug-2026,~0.5 months,No,"Carries the CFO succession, the buyback authorisation, and the AGM"
data_freshness,Beneficial-ownership table (20-F Item 7.A),,"as of 2025-12-31, percentages on the 2026-03-01 share count",,,,2025-12-31,8.2 months,"Partly — eight months of insider activity have occurred since, including a Vélez disposal of 45,690 shares on 2026-07-23 and 45,690 on 2026-04-23",04 must roll the table forward using the Form 4 file rather than quoting the December stakes as current
data_freshness,CIQ Auditors export,,FY2020–FY2025,,,,FY2025,8.2 months,No,Six years of unqualified opinions; FY2026 opinion not yet due
data_freshness,CIQ Comps / Charting exports,,price and share data,,,,as of 2026-08-29,0.3 months,No,Only relevant to 04's A15 market-characteristics items
data_freshness,NU_Holdings_Deep_Dive_15_Page_Memo (user note),,own prior view,,,,2026-08-30,0.2 months,No,"Prior, not evidence — must not support a governance finding"
data_freshness,IBKR tax report / account statement (user's own),,FY2025-26,,,,to 2026-03-31,5.2 months,n/a,No governance relevance whatever
