Governance Need,Best Available Source,Period,Confidence 1-5,Missing?,Replacement Source
Board composition,"FY24 Annual Report, Corporate Governance Statement / Note 10(b)",FY2024,5,N,—
Compensation,"FY24 Annual Report, Compensation Report 2024 (KPMG-audited)",FY2024,5,N,—
Ownership,"FY24 Annual Report, ""Shareholdings exceeding 10% of voting rights"" (WpHG notification)",As of Dec-31-2024,3,"Partial — only the >10% holder (Naspers/MIH) is reproduced in-text; full shareholder register not in pool","Company's own ""Voting Rights Notifications"" webpage (referenced but not in pool) — Web source, would need dating/labelling as unverified if pulled"
Insider trades,"Not present (only the MAR Art. 19(11) closed-period obligation is described, no transaction log)",—,0,Y,BaFin/company ad-hoc PDMR-notification disclosures (not in pool) — would be Web-sourced, unverified
Related-party transactions,"FY24 Annual Report, Note 10 ""Related-Party Disclosures""",FY2024,5,N,—
Auditor report,"FY24 Annual Report, Independent Auditor's Report (KPMG)",FY2024,5,N,—
Secretarial / compliance report,"FY24 Annual Report, Corporate Governance Statement — Declaration of Compliance with the GCGC (Section 161 AktG)",FY2024,5,N,—
AGM voting,"FY24 Annual Report — 2024 AGM (June 19, 2024) result cited for Compensation Report 2023 approval (93.05% majority); no full AGM voting-results table for all resolutions in the extracted text",FY2024 (2024 AGM covering 2023 items),3,"Partial — one resolution's vote result is quoted, not a complete AGM voting table","Company AGM voting-results disclosure (referenced, not in pool)"
Capital-allocation history,Delivery Hero SE XTRA DHER Financials.xls — Cash Flow / Balance Sheet / Historical Capitalization tabs,FY2020–FY2025,5,N,—
Legal / regulatory cases,"FY24 Annual Report, Independent Auditor's Report — Glovo Spain social-security investigation / going-concern note; European Commission formal investigation references",FY2024 (ongoing as of report date),5,N,—
