section,Governance Need,Best Available Source,Period,Confidence 1-5,Missing?,Replacement Source
coverage,Board composition,"FY2025 10-K, executive officers and directors table","As of Jan 28, 2026",5,N (composition); partial (committee memberships in missing proxy),CIQ Takeover Defenses (provisions confirmed)
coverage,Compensation,CIQ Supplemental tab (SBC FY2020-2025); 10-K RSU framework,FY2025,4 (SBC quantum) / 1 (metrics/weights),Partial — no proxy CD&A,None in pool; proxy is the only source for CD&A
coverage,Ownership (beneficial),CIQ Public Company Profile (float 90.9%); FY2025 10-K Item 9B,Jul 1 2026 / Jan 2026,3,Partial — no beneficial-ownership table,No Form 4 or 13D/13G export in pool
coverage,Insider trades,FY2025 10-K Item 9B — 10b5-1 plans disclosed,Nov-Dec 2025 filings,4 (existence) / 2 (transaction history),Partial — plan disclosures present; Form 4 history absent,None in pool
coverage,Related-party transactions,FY2025 10-K (no RPTs in notes); disqualifier-scan confirmed no material RPTs,FY2025,4,Partial — formal Item 13 in missing proxy; filing-level search clean,Three annual 10-Ks provide partial substitute
coverage,Auditor report,"FY2025 10-K, E&Y report; unqualified opinion, one CAM",FY2025,5,N,—
coverage,Secretarial / compliance report,N/A — US SEC regime,—,N/A,N/A,N/A
coverage,AGM voting,NOT IN POOL — 2026 proxy would contain voting results,—,—,Y,None in pool
coverage,Capital-allocation history,FY2025/2024/2023 10-Ks; CIQ Cash Flow and Supplemental tabs; Q1 2026 10-Q,FY2020-Q1 2026,5,N,—
coverage,Legal / regulatory cases,FY2025 10-K Note 7 — Commitments and Contingencies,FY2025,5,N (disclosed cases); Y (reserve amounts not disclosed for major items),—

section,Source,Period,As-of Date,Age (months),Stale?,Impact
freshness,FY2025 10-K (annual report),FY ended Dec 31 2025,Filed Apr 9 2026,~3,No,Primary governance anchor
freshness,Q1 2026 10-Q,Q ended Mar 31 2026,Filed Apr 30 2026,~2.5,No,Most recent financials
freshness,Q1 2026 Earnings Call,Apr 29 2026,Apr 29 2026,~2.5,No,Most recent management commentary
freshness,DEF 14A (2026 proxy),Not in pool,Expected May 2026,Unknown,N/A — MISSING,"Compensation, ownership, board independence details absent"
freshness,CIQ Public Company Profile,As of Jul 1 2026,Jul 1 2026,0,No,"Float, share price, key personnel"
freshness,CIQ Financials workbook,Through LTM Mar 31 2026,Data as of Apr 2026,~3,No,"Capital structure, SBC, ratios"
freshness,CIQ Estimates Report,Latest revision Jun 26 2026,~Jul 3 2026,0,No,"Guidance history, beat-miss"
freshness,CIQ Takeover Defenses,As-of pull date ~Jul 1 2026,Jul 1 2026,0,No,Governance provisions
