From Agent,Source ID,Source Type,Filename / Filing,Period,Page / Section,Date,Confidence 1-5,Used For
01,S01,CapIQ board export,Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf,current,Full roster,2026-08-13 (pull date),4,"Executive/director tenure, appointment dates, backgrounds"
01,S02,CapIQ management-bio export,Haier Smart Home Co Ltd SHSE 600690 Professionals.rtf,current,Full roster,2026-08-13,4,CFO and other officer titles/backgrounds
01,S03,CapIQ compensation export,Haier Smart Home Co Ltd SHSE 600690 Compensation Summary Compensation.rtf,FY2022–FY2025,Full table,2026-08-13,4,"Named-executive comp context (Nolan, Li Huagang, Gong Wei, Sun Jiacheng)"
01,S04,CapIQ material-event log,Haier Smart Home Co Ltd SHSE 600690 Key Developments.xls,last 6 months (through 2026-06-30),Full log,2026-08-13,4,"Board changes, buyback closings/tranches, AGM, dividend actions"
01,S05,CapIQ corporate-events timeline,Haier Smart Home Co Ltd SHSE 600690 Corporate Timeline.rtf/.xls,multi-year,Full log,2026-08-13,4,Cross-check on buyback dates/amounts
01,S06,CapIQ company-profile bundle,HaierSmartHomeCoLtdSHSE600690_AllAccess.pdf (extracted .txt),multi-year event log,pp.8000–8250 region,2026-08-13,4,"Original buyback-tranche history, earnings-call dates (2025 calls listed but no transcript text in pool)"
01,S07,CapIQ news log,Haier Smart Home Co Ltd SHSE 600690 News.rtf,multi-year,keyword sweep,2026-08-13,3,Integrity/departure keyword sweep — no adverse hits
01,S08,Cross-module,analyses/HAIER_2026-08-13/business-model/02_business-identity.md,FY2025,§§1–4,2026-08-13,5,"Company identity, control context, strategy framing"
01,S09,Cross-module,analyses/HAIER_2026-08-13/business-model/01_disqualifier-scan.md,FY2025,§3 Integrity note,2026-08-13,5,"Confirms no integrity ""buzz"" routed to this module"
01,S10,Cross-module,analyses/HAIER_2026-08-13/business-model/11_capital-allocation-governance.md,FY2021–FY2025,§1 signal table,2026-08-13,5,"GE Appliances deal history, buyback/dividend trend, management-turnover row"
01,S11,Cross-module,analyses/HAIER_2026-08-13/business-model/12_red-flags-sweep.md,FY2025,§2 New Red Flags,2026-08-13,5,"Goodwill concentration behind GE Appliances, cross-cutting acquisition risk pattern"
01,S12,Cross-module,analyses/HAIER_2026-08-13/earnings/04_guidance-consensus.md,"FY2026 guidance, trailing 4 quarters actuals","§§2, 6, 7",2026-08-13,5,"FY2026 targets, dividend-floor plan, consensus beat/miss record"
01,S13,Cross-module,analyses/HAIER_2026-08-13/management-governance/00_governance-data-triage.md,current,"§§3, 5",2026-08-13,5,Data-sufficiency verdict and partial-data flag on transcript staleness
01,S14,Web (unverified),pressroom.geappliances.com/bios/kevin-nolan and related search results,current,—,2026-08-13,2,Kevin Nolan / GE Appliances CEO tenure and background confirmation only
01,S15,Web (unverified),"Web search ""Haier Smart Home 孙加程 CFO 履历""",current,—,2026-08-13,1,Attempted confirmation of new CFO's background — no material additional detail found
02,S01,"Filing (audited, CAS)",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report-Mar-26-2026.txt (A-share/CAS),FY2025,"p.189, Note 21 (商誉/Goodwill); p.696, p.1480 (M&A narrative)",2026-08-13 (pull date),5,"Goodwill by CGU (GEA/Candy/CCR/Other), impairment-test assumptions, Fisher & Paykel injection narrative"
02,S02,"Filing (audited, IFRS)",Haier_Smart_Home_Co_Ltd_-_Form_Annual_Report-Apr-27-2026.txt (H-share/IFRS),FY2025,"Letter to Shareholders, p.15 (""股東回報"")",2026-08-13,5,Declared-basis dividend payout ratio and 3-year capital-return floor guidance
02,S03,CapIQ financials export,"Haier Smart Home Co Ltd SHSE 600690 Financials.xls, Cash Flow tab","FY2021-FY2025, LTM Mar-2026",Full tab,2026-08-13,4,"CFO, capex, FCF, dividends paid, buybacks, share issuance, net debt issued, M&A cash spend"
02,S04,CapIQ financials export,"Haier Smart Home Co Ltd SHSE 600690 Financials.xls, Balance Sheet tab","FY2021-FY2025, Mar-2026",Full tab,2026-08-13,4,"Total debt, total equity, cash & ST investments — invested-capital calc"
02,S05,CapIQ financials export,"Haier Smart Home Co Ltd SHSE 600690 Financials.xls, Ratios tab","FY2021-FY2025, LTM",Full tab,2026-08-13,4,"Return on Capital %, dividend-per-share growth, margin trends (cross-check)"
02,S06,CapIQ financials export,"Haier Smart Home Co Ltd SHSE 600690 Financials.xls, Historical Capitalization tab","Dec-2024 - Mar-2026, quarterly",Full tab,2026-08-13,4,"Shares outstanding, share price by quarter, market capitalization"
02,S07,CapIQ financials export,"Haier Smart Home Co Ltd SHSE 600690 Financials.xls, Capital Structure Summary tab","FY2024-FY2025, Mar-2026",Full tab,2026-08-13,4,"Total Debt/EBITDA, net debt (broad basis)"
