source_id,agent,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
01-S1,01,10-K/A Part III,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"Item 10-12",2026-04-30,5,"Executive bios, tenure, ownership, CEO award mechanics, succession framework"
01-S2,01,10-Q,Tesla_Inc_-_Form_10-Q(Jul-23-2026).doc,Q2 2026,"Item 2 MD&A; Note 11",2026-07-23,5,"Strategy statement, securities-fraud detail"
01-S3,01,Shareholder update,Annual_Report_TSLA-Q4-2024.pdf,FY2024,"Outlook p.12",2025-01,4,"2025 promise source"
01-S4,01,Shareholder update,Annual_Report_TSLA-Q4-2025.pdf,FY2025,"Robotaxi/FSD sections",2026-01,4,"2025 promise outcome"
01-S5,01,Earnings transcript,"Q1 2026 Earnings Call",Q1 2026,"Prepared remarks",2026-04-22,3,"Capex floor; turnaround language check"
01-S6,01,Earnings transcript,"Q2 2026 Earnings Call",Q2 2026,"Prepared remarks",2026-07-22,3,"Capex floor reaffirmation"
01-S7,01,CIQ export,Public Ownership Insider Trading.xls,TTM,"Insider Trading tab",2026-06-17,4,"Musk option-exercise pattern"
01-S8,01,CIQ export,Key Developments.xls,Multi-period,"entry 2025-08-06",2025-08-06,4,"Securities-fraud class-action detail"
01-S9,01,Cross-module,business-model/01_disqualifier-scan.md,Current,"sec1/sec3",2026-07-24,5,"No hard disqualifier confirmation"
01-S10,01,Cross-module,business-model/12_red-flags-sweep.md,Current,"sec1/sec2",2026-07-24,5,"Securities class action, succession flag"
01-S11,01,Cross-module,business-model/07_business-quality.md,FY2022-LTM,"sec2/sec4",2026-07-24,5,"Margin/ROIC trend"
01-S12,01,Cross-module,earnings/04_guidance-consensus.md,FY2026,"sec2/sec6",2026-07-24,5,"Guidance/beat-miss pattern"
01-S13,01,Web (labelled),Electrek CFO departure article,N/A,Article,2023-08-07,2,"CFO transition date"
01-S14,01,Web (labelled),CNBC exec departures article,N/A,Article,2024-04-15,2,"2024 senior departures"
01-S15,01,Web (labelled),CNBC Optimus VP departure article,N/A,Article,2025-06-06,2,"Kovac departure date"
02-S1,02,CIQ export,Financials_Annual.xls,FY2017-LTM,"Cash Flow tab",2026-07-24,4,"M&A/buyback/dividend/capex/debt history"
02-S2,02,CIQ export,Financials_Annual.xls,FY2017-LTM,"Balance Sheet tab",2026-07-24,4,"Shares outstanding, net debt strict"
02-S3,02,CIQ export,Financials_Annual.xls,FY2017-LTM,"Capital Structure Summary tab",2026-07-24,4,"Total Capital, net debt broad"
02-S4,02,CIQ export,Financials_Annual.xls,FY2017-LTM,"Income Statement tab",2026-07-24,4,"EBIT, tax rate, SBC"
02-S5,02,CIQ export,Financials_Annual.xls,FY2017-LTM,"Ratios tab",2026-07-24,4,"Return on Capital trend"
02-S6,02,10-Q,Tesla_Inc_-_Form_10-Q(Jul-23-2026).doc,Q2 2026,"Note 13; Note 2; MD&A",2026-07-23,5,"SpaceX equity investment detail"
02-S7,02,10-K/A,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"CDA; equity award footnotes",2026-04-30,5,"Share-grant mechanics"
02-S8,02,Cross-module,earnings/01_historical-financials.md,FY2021-TTM,"sec1/sec2",2026-07-24,5,"Revenue/EBIT/EPS/CFO/capex/FCF"
02-S9,02,Cross-module,business-model/11_capital-allocation-governance.md,FY2020-LTM,"sec1",2026-07-24,5,"Capex intensity, debt trend, serial-acquirer cross-check"
02-S10,02,Cross-module,business-model/07_business-quality.md,FY2022-LTM,"sec2/sec4",2026-07-24,5,"Return on Capital cross-check"
02-S11,02,Cross-module,management-governance/01_management-and-track-record.md,FY2025-2026,"sec1/sec2",2026-07-24,5,"Founder ownership context"
03-S1,03,10-K/A Item 11,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"Item 11 full CDA",2026-04-30,5,"Comp structure, metrics, magnitude, pay ratio, say-on-pay, clawback"
03-S2,03,Cross-module,business-model/11_capital-allocation-governance.md,FY2025-2026,"share count finding",2026-07-24,5,"Dilution context"
03-S3,03,Cross-module,management-governance/01_management-and-track-record.md,FY2025-2026,"succession/2018 award",2026-07-24,5,"Cross-check"
03-S4,03,Web (unverified),Detroit News/vozpopuli,FY2025,"CEO pay comparison",2026,2,"Peer pay magnitude"
03-S5,03,Data pool,Public Company Profile,2026-07-23,"Market Cap/Shares Out",2026-07-23,5,"Market cap vs award milestone"
04-S1,04,10-K/A Item 12,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"Item 12 + footnotes 2-12",2026-04-30,5,"Beneficial ownership, pledging"
04-S2,04,10-K/A Item 11,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"Pledging of Shares",2026-04-30,5,"Pledging policy caps"
04-S3,04,10-K/A,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"CEO award description",2026-04-30,5,"Voting Agreement mechanics"
04-S4,04,CIQ export,Public Ownership Summary.rtf,Current,"Top Holders etc",2026-07-23,4,"Institutional/insider breakdown"
04-S5,04,CIQ export,Public Ownership Insider Trading.xls,TTM,"Insider Trading tab",2026-06-17,4,"All insider buy/sell detail"
04-S6,04,10-Q,Tesla_Inc_-_Form_10-Q(Jul-23-2026).doc,Q2 2026,"Note 13",2026-07-23,5,"SpaceX/xAI related-party revenue"
04-S7,04,Cross-module,business-model/01_disqualifier-scan.md,Current,"sec1 item2",2026-07-24,5,"Pledge-ratio analysis"
04-S8,04,Cross-module,business-model/11_capital-allocation-governance.md,Current,"Signal Table",2026-07-24,5,"Ownership/pledging cross-check"
04-S9,04,Cross-module,earnings/04_guidance-consensus.md,Q3 2025-Q2 2026,"sec6",2026-07-24,5,"Beat/miss dates for timing check"
04-S10,04,In-module,management-governance/01_management-and-track-record.md,FY2025,"01-012",2026-07-24,5,"Cross-check on ownership figure"
05-S1,05,10-K/A,Tesla_Inc_-_Form_10-KA(Apr-30-2026).doc,FY2025,"Items 10-13",2026-04-30,5,"Board, committee, tenure, RPT, pledging, voting-agreement mechanics"
05-S2,05,10-Q,Tesla_Inc_-_Form_10-Q(Jul-23-2026).doc,Q2 2026,"Legal Proceedings",2026-07-23,5,"Reincorporation, derivative litigation"
05-S3,05,Cross-module,business-model/01_disqualifier-scan.md,Current,"sec1",2026-07-24,5,"No hard disqualifier confirmation"
05-S4,05,Cross-module,business-model/11_capital-allocation-governance.md,FY2017-LTM,"sec1",2026-07-24,5,"RPT, share-count, pledging"
05-S5,05,Cross-module,management-governance/01_management-and-track-record.md,FY2025-2026,"sec1/sec4A",2026-07-24,5,"CEO overboarding detail"
05-S6,05,CIQ export,Financials_Annual.xls,FY2017-Jun2026,"Total Equity row",Pool sync date,4,"Net-worth denominator"
05-S7,05,Web (labelled),CNBC 2025-CEO-award-vote article,N/A,Article,2025-11-06,2,"2025 award vote percentage"
05-S8,05,Web (labelled),Bloomberg proxy-advisor article,N/A,Article,2025-10-20,2,"ISS/Glass Lewis recommendations"
05-S9,05,Web (labelled),CNBC derivative-suit-threshold articles,N/A,Articles,2025-05-16/07-16,2,"3% threshold detail"
05-S10,05,Web (labelled),Financial Modeling Prep article,N/A,Article,2025,2,"3% threshold dollar context"
05-S11,05,Web (labelled),CorpGov.net/Sidley Austin articles,N/A,Articles,2024,2,"2024 reincorporation vote"
05-S12,05,Web (labelled),Aggregated proxy-vote sources,N/A,Search-aggregated,2026-07-24,2,"2022/2024 vote percentages"
06-S1,06,Earnings transcript (verbatim reextracted),"Q2 2026 Earnings Call",Q2 2026,"Full transcript",2026-07-22,5,"Tone, CFO detail, CEO framing, Q&A"
06-S2,06,Earnings transcript (verbatim reextracted),"Q1 2026 Earnings Call",Q1 2026,"Full transcript",2026-04-22,5,"2025 promise-miss confirmation"
06-S3,06,Cross-module,earnings/06_earnings-quality.md,FY2021-Q2 2026,"sec4-8",2026-07-24,5,"Non-GAAP aggressiveness"
06-S4,06,Cross-module,earnings/04_guidance-consensus.md,FY2026,"sec2/sec6",2026-07-24,5,"Guidance/beat-miss context"
