source_type,filename_or_source,period_or_as_of,as_of_date,age_months,stale,in_pool,confidence_1_to_5,governance_need_covered,impact_or_gap
Proxy / DEF 14A,NONE IN POOL — FY24 10-K incorporates Items 10-14 by reference to the Proxy Statement for the 2025 AGM (held 2025-05-16),—,—,—,N/A — missing,No,1,"Compensation; ownership; board independence; related-party; auditor fees","Single largest gap. Removes compensation, ownership, board independence, related-party and auditor-fee disclosure in one stroke"
Annual filing,"nVent Electric plc, 2025.pdf (Form 10-K)",FY ended 2024-12-31,2025-02-18,20.2,YES,Yes,5,"Auditor report; capital-allocation history; legal/regulatory; equity-plan table","Only audited annual filing in pool, nearly two years past period end. Agents 05, 08, 09 must date structural claims to 2024-12-31"
Annual filing,FY2025 Form 10-K,FY ended 2025-12-31,ABSENT,—,N/A — missing,No,1,"FY2025 audited figures; Exhibit 21 subsidiary list; FY2025 opinion/ICFR/CAM","No audited FY2025 figures, no updated subsidiary list, no post-divestiture group structure. Agent 11's most recent year-over-year pair rests on vendor data"
Compensation disclosure,"PARTIAL — Item 12 equity-compensation-plan table only in nVent Electric plc, 2025.pdf (4,108,862 securities issuable at $30.64 WAEP; 10,866,980 remaining under the 2018 Omnibus Incentive Plan)",As of 2024-12-31,2025-02-18,20.2,YES,Partial,2,Incentive alignment,"No CD&A, no summary comp table, no metrics or weights. Incentive alignment capped at 50"
Ownership / insider-transaction data,"NONE IN POOL — no beneficial-ownership table, no Schedule 13D/13G, no Form 4, no CIQ ownership export. CIQ Key Stats carries only Shares Out. 161.857939m",LTM Jun-2026,—,—,N/A — missing,No,1,Skin in the game; control structure; insider conviction,"Entirely missing. Shareholder friendliness capped at 60; recent insider behavior marked Insufficient Data"
Insider trades,NONE IN POOL — no Form 4 filings,—,—,—,N/A — missing,No,1,Conviction signal,"Entirely missing. Replacement source: Form 4 filings"
Related-party transactions,"NONE IN POOL — only a negative lease statement (no lease transactions with related parties)",FY2024,2025-02-18,20.2,YES,Partial,1,Related-party leakage,"Item 13 defers to the absent proxy. Agent 09 examined and deliberately did not apply the no-RPT-note floor of 40"
Auditor report,"FY24 10-K — Deloitte & Touche LLP, unqualified opinion on financials and on ICFR; one CAM (Trachte customer-relationship intangible); auditor since 2017; PCAOB ID 34; Exhibit 23 consent",FY2024,2025-02-18,20.2,YES,Yes,5,Audit opinion cleanliness; auditor tenure,"Complete for the opinion prong. FY2025 opinion, ICFR scope and CAM not read (FY2025 10-K absent)"
Auditor fees / independence,NONE IN POOL — Item 14 defers to the absent proxy,—,—,—,N/A — missing,No,1,Non-audit vs audit fee independence test,"A4-06/A4-07 Not Applicable (no data). Audit and assurance quality capped at 65; RF-AUD-004 NOT CLEARED, UNTESTED"
Secretarial / compliance report,"NOT APPLICABLE TO THIS REGIME. Closest analogues present: SOX 302 and 906 certifications by CEO and CFO in each 10-Q, and management's ICFR report with auditor attestation in the 10-K",FY2024 / Q2 FY26,2026-07-31,2.2,No,Yes,4,Compliance machinery,"Not missing — the US regime does not require a secretarial audit"
AGM voting,"NONE IN POOL. One indirect outcome: the 2024 AGM approved a 20% issuance authority and a matching pre-emption opt-out (both expiring 2025-11-17)",2024 AGM,—,—,N/A — missing,No,1,Shareholder dissent levels,"No vote tallies, no dissent levels in pool. Replacement: 8-K Item 5.07; agent 05 retrieved AGM 8-Ks from EDGAR outside the pool"
Shareholder letter,NONE IN POOL,—,—,—,N/A — missing,No,1,Candor baseline,"Absent; candor read rests on transcripts and MD&A instead"
8-K (management changes),"NONE IN POOL. Nearest material-event document is the Maverick Power press release (a transaction announcement, not a management-change disclosure)",2026-08-24,2026-08-24,0.5,No,No,1,Management-change disclosure,"CFO change from Sara E. Zawoyski to Gary L. Corona is visible only by comparing 10-Q signature pages — undisclosed in pool"
Quarterly filing,"nVent Electric plc, Q1 2026.pdf (Form 10-Q, two renderings incl. 2026 rev.pdf)",Quarter ended 2026-03-31,2026-05-01,5.2,No,Yes,5,Interim financials; contingencies,Current
Quarterly filing,"nVent Electric plc, Q2 2026.pdf (Form 10-Q) — most recent filing of any kind",Quarter ended 2026-06-30,2026-07-31,2.2,No,Yes,5,"Interim financials; contingencies; buyback capacity; legal proceedings","Most recent filing; anchors contingencies and buyback capacity"
Quarterly filing,Form 11-K (plan),Plan FY ended 2025-12-31,2026,8.2,No,Yes,3,Benefit-plan audit,Plan-auditor change only
Transcript,"nVent Electric plc, Q1 2026 Earnings Call, May 01, 2026.pdf",FQ1 2026,2026-05-01,4.2,No,Yes,3,Candor baseline,New CFO's first call
