source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
S-01,Audited annual filing,Form 10-K (FY2024),FY ended 2024-12-31,"Full filing; Items 1-14; Notes 1-18; Note 15 (segments); Note 16 (share-based comp); Note 18 (Commitments and Contingencies); Item 5; Item 9; Item 12; auditor's report; ICFR attestation",2025-02-18,5,"Auditor read (08); accounting forensics battery (11); contingent liabilities (10); capital allocation (02); management track record (01); ownership derivation (04); RPT nil legs (09)"
S-02,Annual-filing exhibit,FY24 10-K Exhibit 21 (Subsidiaries),2024-12-31,Exhibit 21,2025-02-18,5,"Group structure 137 entities 33 jurisdictions (09); brand ownership at nVent Services GmbH (07); component-auditor coverage (08)"
S-03,Annual-filing exhibit,FY24 10-K Exhibit 4.7 (Description of Share Capital),FY2024,Exhibit 4.7,2025-02-18,5,"One share one vote; 20m blank-cheque preferred; pre-emption opt-out; Irish Takeover Rules (04 05)"
S-04,Annual-filing exhibit,FY24 10-K Exhibit 19 (Insider Trading Policy),FY2024,Exhibit 19,2025-02-18,5,Pledging and hedging prohibition; 0% pledged (04 02)
S-05,Annual-filing exhibit,FY24 10-K Exhibit 97 (nVent Electric plc Recovery Policy),FY2024,Exhibit 97,2025-02-18,5,Rule 10D-1 clawback (03 08)
S-06,Annual-filing exhibit,"FY24 10-K Exhibits 10.14, 10.22-10.24",FY2024,Award and director-compensation agreements,2025-02-18,5,Severance double-trigger recoupment director holding requirement (03)
S-07,Interim filing,Form 10-Q (Q1 FY26),Quarter ended 2026-03-31,"MD&A; Note 5 (acquisitions); Note 13; Note 15 (Commitments and Contingencies)",2026-05-01,5,"Segment margin decline owned (06); contingency movement (10); perimeter (09)"
S-08,Interim filing,Form 10-Q (Q2 FY26),Quarter ended 2026-06-30,"Condensed balance sheet; MD&A p.30; Note 5; Note 15; Obligor Group table; Item 1 Legal Proceedings",2026-07-31,5,"Net worth and leverage (11 02); contingencies and LC line (10); intercompany funding (09); legal proceedings (12)"
S-09,Benefit-plan filing,Form 11-K,Plan FY ended 2025-12-31,Plan financial statements; auditor change,2026,4,401(k) plan holding of nVent shares; plan-auditor change Deloitte to Crowe (04 08)
S-10,Transcript,Q1 FY26 earnings call (verbatim),FQ1 2026,Prepared remarks and Q&A,2026-05-01,3,"Candor tone Q&A transparency (06); promise-vs-delivery (01)"
S-11,Transcript,Q2 FY26 earnings call (verbatim),FQ2 2026,Prepared remarks and Q&A,2026-07-31,3,"Candor tone Q&A transparency (06); tariff and capex guidance (01 02)"
S-12,Investor deck,Q1 FY26 earnings presentation,FQ1 2026,Adjusted-measure framing,2026-05-01,3,Non-GAAP framing (06)
S-13,Investor deck,William Blair conference presentation,-,"Slide 7 mid-term targets",2026-06-03,3,Mid-term targets and promise-vs-delivery (01 06)
S-14,Company press release,Maverick Power acquisition announcement,-,Full release,2026-08-24,3,"$1.75bn + up to $550m earnout; stated multiple and accretion test (02 10 07)"
S-15,Vendor export (tier 5),Capital IQ Financials workbook (13 tabs),FY2022A-FY2025A + LTM Jun-30-2026A,"Income Statement; Balance Sheet; Cash Flow; Ratios; Key Stats",~2026-07,3,"Multi-year trajectory; ROIC; buyback and dividend history; FY2025 unaudited corroboration (01 02 11)"
S-16,Vendor export (tier 5),Capital IQ Estimates workbook (7 tabs),FY2026E-FY2028E,"Guidance tab; Surprise tab; Consensus tab",post-Q2-FY26,3,"Guidance-and-delivery record; surprise base rate; analyst coverage count (01 04 06)"
S-17,Vendor sidecar,ciq_facts.json (deterministic facts sidecar),FY2021-LTM Jun-2026,"multi_year_trajectory; margin_trend; top_institutional_holders (missing); institutional_ownership_trend (missing)",2026-09-07,3,"ROIC EBITDA and margin series (01 02); ownership gaps recorded as missing not assumed (04)"
S-18,Proxy statement (outside frozen pool),nVent Electric plc DEF 14A,2026 AGM,"Board composition and independence; committees; attendance; skills matrix; evaluation; Related Person Transactions; director compensation",2026-03-31,4,"A1 A2 A5 A6 A10 items (05 07 09 12); retrieved from EDGAR through a fetch layer - confidence ceiling applied"
S-19,Material-event filing (outside frozen pool),Form 8-K Item 5.07 (2026 AGM voting results),2026 AGM,Item 5.07,2026-05-15,4,Institutional voting patterns; say-on-pay; director support (05)
S-20,Material-event filing (outside frozen pool),Form 8-K Item 5.07 (2025 AGM voting results),2025 AGM,Item 5.07,2025-05-16,4,Say-on-pay 95.2%; auditor ratification 0.48% against (03 05 08)
S-21,Regulator correspondence,SEC Division of Corporation Finance comment letter and responses,2024,"Segment reporting; non-GAAP reconciliation; measure labelling",2024-07-26,4,"A8-20 regulator-found divergence (11); A7-01 completeness (12)"
