"agent","source_id","source_type","source","tier_status","period","page_section","date","confidence","used_for"
"management-and-track-record","S1","SEC annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Form 10-K","","FY2025","Item 1, pp. 3–5; Item 7, p. 29; Item 10, p. 95","2026-02-20","5","Stated strategy, proxy absence in frozen pool"
"management-and-track-record","S2","Company earnings release","data/AKAM/8201ec17-6108-433f-bfdb-2ac3555bf343.pdf — Q1 2026 results","","Q1 2026","Financial guidance, p. 2","2026-05-07","4","Q2 and FY2026 guidance set in Q1"
"management-and-track-record","S3","Company earnings release","data/AKAM/23cab413-4bd3-4055-8415-e3e81559c003.pdf — Q2 2026 results","","Q2 2026","Results, p. 1; Financial guidance, p. 2","2026-08-06","4","Q2 outcomes and revised FY2026 guidance"
"management-and-track-record","S4","Earnings transcript","data/AKAM/Akamai Technologies, Inc., Q2 2026 Earnings Call, Aug 06, 2026.pdf","","Q2 2026","CEO/CFO prepared remarks, pp. 4, 6–8","2026-08-06","3","CIS commitments, 2027 target, capex and segment outlook"
"management-and-track-record","S5","Web — official SEC proxy, not admitted in frozen pool","2026 DEF 14A, SEC HTML","","FY2025 / 2026 meeting","Executive-officer biographies, pp. 24–26","Accessed 2026-09-14","2","Executive background and appointment dates only"
"management-and-track-record","S6","Internal cross-module output","analyses/AKAM_2026-09-14/business-model/01_disqualifier-scan.md","","Current run","§§2–3","2026-09-14","3","Routed-integrity-signal check"
"management-and-track-record","S7","Internal cross-module output / Tier-5 vendor data","analyses/AKAM_2026-09-14/earnings/04_guidance-consensus.md; CIQ Estimates Surprise sidecar","","Q3 2025–Q2 2026; FY2025","§§6–7; annual surprise fact","2026-09-14","3","Context on Street beats; not substituted for management guidance"
"capital-allocation-scorecard","S1","Annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Form 10-K","","FY2023–FY2025","Statements of Operations p.54; Statements of Cash Flows p.55; Item 5; Note 10 pp.74–75","2026-02-20","5","FCF build, EPS, dividend statement, restructuring and impairment context"
"capital-allocation-scorecard","S2","Quarterly filing","data/AKAM/Akamai Technologies, Inc., Q2 2026.pdf — Form 10-Q","","H1 / Q2 2026","Statements of Cash Flows p.7; Statements of Stockholders’ Equity pp.9–12; Note 6; Note 7 pp.17–20","2026-08-06","5","H1 repurchases, share movement, LayerX, convertible notes, cash flow"
"capital-allocation-scorecard","S3","Vendor financial export","data/AKAM/Akamai Technologies Inc NasdaqGS AKAM Financials.xls","","FY2021–FY2025","Cash Flow sheet","2026-09-14 frozen snapshot","4","Annual cash acquisitions, buybacks, dividends, debt repayments, CFO"
"capital-allocation-scorecard","S4","Deterministic vendor-facts sidecar","ciq_facts.json","","LTM Jun. 2026 / current","multi_year_trajectory; current_price; interest_coverage_x","2026-09-14","4","Return-on-capital trend, current price, interest coverage"
"incentives-and-compensation","S1","SEC annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Form 10-K","","FY2025","Cover; Item 11—Executive Compensation, p.95","FY ended 2025-12-31","5","Missing-proxy determination; CEO/CFO pay and say-on-pay gaps"
"incentives-and-compensation","S2","SEC annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Form 10-K","","FY2025","Item 1—Human Capital, pp.5–6","FY ended 2025-12-31","5","Attrition, pay-equity statement, broad-based awards, conduct policies"
"incentives-and-compensation","S3","SEC annual filing","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Form 10-K","","FY2025","Note 18—Stock-Based Compensation, pp.84–86; Note 20, p.91; Balance Sheet, p.53","FY ended 2025-12-31","5","Equity-plan capacity, grants, vesting, SBC, ESPP, overhang and annual burn"
"incentives-and-compensation","S4","SEC filing exhibit","data/AKAM/Akamai Technologies, Inc., 2025.pdf — Exhibit 10.5, Form of Global Executive RSU Agreement","","Jan-2026 form","§6(c)–(e); §10(g)","2026-01","5","Conditional change-of-control vesting and recoupment terms"
"incentives-and-compensation","S5","Cross-module filing analysis","analyses/AKAM_2026-09-14/earnings/06_earnings-quality.md","","FY2025","§4","2026-09-14","5","Company-wide SBC versus GAAP net-income context"
"ownership-and-insider-behavior","S1","Primary filing — frozen pool","Akamai Technologies, Inc. Form 10-K","","FY2025","Item 12, p.95","2026-02-20","5","Establishes that ownership disclosure is incorporated into the absent 2026 proxy."
"ownership-and-insider-behavior","S2","Primary filing — frozen pool","Akamai Technologies, Inc. Form 10-Q","","Q1 FY2026","Item 5, p.59","2026-05-07","5","Director/officer 10b5-1 plan changes."
"ownership-and-insider-behavior","S3","Primary filing — frozen pool","Akamai Technologies, Inc. Form 10-Q","","Q2 FY2026","Item 5, p.62","2026-08-06","5","Sundaram’s 10b5-1 sale-plan adoption."
"ownership-and-insider-behavior","S4","Web official filing — unverified","SEC EDGAR Akamai 2026 preliminary proxy","","2026","Security Ownership, pp.26–27; Anti-Pledging Policy, p.57; Appendix C-1","2026-03-05","2","Static ownership, major holders, pledge policy, one-vote structure."
"ownership-and-insider-behavior","S5","Web official filing — unverified","SEC Form 4 — Robert Blumofe","","2025","Table I and footnotes","2025-11-07 and 2025-11-14","2","Two 10b5-1-plan sales."
"ownership-and-insider-behavior","S6","Web official filing — unverified","SEC Form 4 — Paul Joseph","","2025–2026","Table I and footnotes","2025-11-17; 2026-01-15; 2026-07-15","2","Three 10b5-1-plan sales."
"ownership-and-insider-behavior","S7","Web official filing — unverified","SEC Form 4 — Ahola, Karon, Salem-Jackson and Miller","","2026","Table I, Table II and footnotes","2026-02-19 to 2026-05-14","2","Separates vesting/award and tax-withholding activity from open-market transactions."
"ownership-and-insider-behavior","S8","Tier-5 vendor sidecar — frozen pool","ciq_facts.json","","As of 2026-09-14","insider_net_activity, insider_open_market, top_institutional_holders, institutional_ownership_trend","2026-09-14","5","Confirms four ownership fields are missing."
"ownership-and-insider-behavior","S9","Tier-5 vendor workbook — frozen pool","Capital IQ Estimates Consensus workbook","","As of 2026-09-14","Target Price and Recommendation rows","2026-09-14","4","Analyst coverage count."
