Finding ID,Agent,Section,Question / Test,Verdict,Raw Value,Unit,Trend,Peer Verdict,Score,Penalty,Confidence,Materiality,Evidence,Red Flag ID,Follow-Up
F-01,management-and-track-record,Track Record,Revenue guidance accuracy (quarterly FY2023-Q1 2026),Beat every quarter,>100%,% of guidance,Stable,Better,85,0,85,High,"Q2 2025-Q1 2026 transcripts; FY2023/2024/2025 10-K",—,None
F-02,management-and-track-record,Track Record,Operating income guidance accuracy,At/above every quarter,>100%,% of guidance,Stable,Better,82,0,85,High,Q2 2025-Q1 2026 transcripts,—,None
F-03,management-and-track-record,Track Record,Capex vs guided range (FY2025),Miss — $131.8B vs ~$125B implied,-$6.8B,USD billions,Worsening,Worse,55,-5,80,High,"FY2025 10-K; Q4 2024 transcript",—,Verify FY2026 $200B commitment vs actual quarterly run-rate
F-04,management-and-track-record,Track Record,EPS quality — Q1 2026 Anthropic mark,Beat partly optical (+69.5%); mark disclosed,"$9.64 reported vs $4.70 normalized",USD,One-off,Neutral,70,-3,90,Medium,"Q1 2026 10-Q; Q1 2026 transcript",—,Monitor recurring vs mark-to-market EPS separation
F-05,management-and-track-record,CEO Tenure,CEO experience and succession continuity,"Strong; Jassy 5yr CEO, 29yr Amazon; CFO 11yr",5,years,Stable,Better,80,0,85,Medium,"FY2025 10-K proxy references; public record",—,None
F-06,capital-allocation-scorecard,Capex Intensity,5-yr capex as % of CFO,Very high; entire FCF generation reinvested,90.5%,% of CFO,Worsening,Worse,55,-5,90,High,"FY2023/2024/2025 10-K; Q1 2026 10-Q",RF-CAP-003,Monitor FY2026 actual vs $200B commitment
F-07,capital-allocation-scorecard,Buyback / Dilution,Buyback utilization of $6.1B authorization,Zero buybacks FY2023-FY2025,"$0 / $6.1B",USD billions,Stable (zero),Worse,35,-10,95,High,"FY2023/2024/2025 10-K; Q1 2026 10-Q",RF-CAP-002,Question rationale for dormant authorization at earnings
F-08,capital-allocation-scorecard,Share Count Dilution,Net share count change FY2023-FY2025,+348M shares (+3.4%) from SBC net of no buyback,+348,shares (millions),Worsening,Worse,40,-8,95,High,"FY2023/2024/2025 10-K",RF-CAP-002,Track annual net dilution; model per-share EPS impact
F-09,capital-allocation-scorecard,ROIC,Return on invested capital trend,Improving then slight pullback,"6.8%→10.7%→9.7%",% ,Positive trend,In-line,72,0,88,High,"FY2023/2024/2025 10-K",—,Monitor FY2026 ROIC as $200B capex lands
F-10,capital-allocation-scorecard,Per-Share Value,Normalized EPS trend,Value-creative; +241% FY2021-FY2025,"$1.38→$4.70",USD EPS,Positive,Better,80,0,88,High,"FY2021-FY2025 10-K",—,None
F-11,capital-allocation-scorecard,FCF / Share,Strict FCF per share trend,"Deteriorating; LTM negative","$3.12→$0.71→negative",USD/share,Worsening,Worse,45,-8,88,High,"FY2024/2025 10-K; Q1 2026 10-Q",—,Monitor quarterly CFO vs capex inflection point
F-12,capital-allocation-scorecard,M&A Intensity,M&A as % of CFO (5-yr),Low; not a serial acquirer,6.2%,% of CFO,Stable,Better,78,0,85,Low,"FY2021-2025 10-K",—,None
F-13,incentives-and-compensation,Pay Structure,Annual cash bonus for any NEO,None — structural positive,$0,USD,Stable,Better,75,0,80,Medium,"FY2025 10-K proxy section (partial); public record",—,Verify in 2026 DEF 14A when available
F-14,incentives-and-compensation,Pay Structure,Performance hurdles in equity grants,Time-vested RSUs only; no ROIC/EPS/TSR hurdles,0,count,Stable,Worse,35,-10,75,High,"FY2024/2025 10-K proxy sections (partial); pre-cap finding",—,2026 DEF 14A: confirm whether performance conditions added
F-15,incentives-and-compensation,SBC Trend,Annual SBC trend,Declining — positive signal,"$24.0B→$22.0B→$19.5B",USD billions,Positive,Better,72,0,88,Medium,"FY2023/2024/2025 10-K",—,Monitor FY2026 SBC vs vesting schedules
F-16,incentives-and-compensation,Say-on-Pay,AGM say-on-pay opposition trend,"Improving dramatically; 44%→6%","44% opp (2022) → 6% opp (2026)",% votes against,Positive,Better,78,0,80,Medium,"2022/2026 AGM vote disclosures; public record",—,Review 2026 DEF 14A rationale for change
F-17,ownership-and-insider-behavior,Founder Ownership,Bezos holding,~8.8% (web-sourced unverified),~8.8%,% outstanding,Declining,Neutral,65,-5,50,Medium,"Web source (unverified); CIQ float 90.9% (pool-confirmed)",—,Verify via 2026 DEF 14A beneficial ownership table
F-18,ownership-and-insider-behavior,Insider Trading,Pattern of insider sales,All pre-set 10b5-1 plans; orderly,100%,% of insider trades,Stable,Better,80,0,80,Medium,SEC Form 4 disclosures (cited by agent 04),—,None
F-19,ownership-and-insider-behavior,Share Structure,Voting structure,"Single class, 1 vote per share",1,classes,Stable,Better,90,0,90,High,CIQ Takeover Defense data (pool-confirmed),—,None
