finding_id,agent,section,question_test,verdict,raw_value,unit,trend,peer_verdict,score,penalty,confidence,materiality,evidence,red_flag_id,follow_up
01-001,management-and-track-record,Executives,CEO tenure,Green,9,years,Stable,NA,18,0,5,Medium,"Capital IQ Professionals, 2026-06",,
01-002,management-and-track-record,Executives,Founder owner-operator status,Amber,0.03,% stake Alabbar personally,Stable,NA,6,2,4,Medium,"Capital IQ Public Ownership Summary, Dec-2025",,Confirm Alabbar exact holding
01-003,management-and-track-record,Executives,CFO background and appointment,Amber,1,CFO changes since 2023,Single event,NA,8,1,4,Medium,"Capital IQ Key Developments, May-22-2026",,Request reason for Heikal departure
01-004,management-and-track-record,Stability,Senior departure Hesham Heikal no reason disclosed,Amber,1,undisclosed departure,Single event,NA,0,0,4,Medium,"Capital IQ Key Developments, May-22-2026",,Monitor for follow-on departures
01-006,management-and-track-record,Stability,Alabbar Eagle Hills competing chairmanship,Amber,1,competing chairmanship,Ongoing,NA,0,3,3,High,"Capital IQ Board Members; Key Developments Jan-30-2026",,Request English RPT note re Eagle Hills
01-011,management-and-track-record,Promise vs Delivery,Emaar Misr income collapse not pre-flagged,Red,-64,% change Emaar Misr net income EGP FY2025,Deteriorating,NA,0,5,4,High,"Capital IQ Key Developments Feb-23-2026; FY2025 Investor Presentation Slide 21",RF-DISC-001,Obtain Emaar Misr English audited accounts
01-014,management-and-track-record,Strategy,AED 200bn masterplan without phased targets,Amber,200,AED bn commitment,New,NA,0,3,3,High,"Capital IQ Key Developments, Jun-11-2026",,Request phased plan with pre-sale conditions
02-001,capital-allocation-scorecard,Uses of Capital,5-year acquisitions as % of CFO,Green,2.8,% of cumulative CFO,Stable/Low,NA,18,0,4,High,"Capital IQ Annual Cash Flow; FY22 Prelim AR Feb-14-2023",,Confirm exact DCH cash vs share split
02-002,capital-allocation-scorecard,Uses of Capital,Dividends as % of cumulative CFO,Green,14.9,% of cumulative CFO,Accelerating,NA,13,0,5,High,"Capital IQ Annual Cash Flow; FY25 Investor Presentation Slide 12",,
02-004,capital-allocation-scorecard,Uses of Capital,Debt paydown over review period,Green,-9194,AED mn net reduction,Improving strongly,Better,10,0,5,High,"Capital IQ Annual Balance Sheet; FY25 Investor Presentation Slide 8",,
02-012,capital-allocation-scorecard,Dividends,Payout ratio FY2025,Green,50,% payout ratio,Increasing,In line,12,0,5,High,"Capital IQ Annual IS; FY25 Investor Presentation Slide 12",,
02-015,capital-allocation-scorecard,Organic Reinvestment,Incremental ROIC on equity FY2021-FY2025,Green,35.4,% incremental ROIC,Accelerating,NA,20,0,3,Critical,"Capital IQ Annual BS and IS; Section 4B computation (Inference)",,Confirm ROIC from English audited accounts
02-016,capital-allocation-scorecard,Organic Reinvestment,EPS CAGR per-share value test,Green,39.7,% CAGR FY2021-FY2025,Accelerating,NA,10,0,5,Critical,"Capital IQ Annual IS; earnings/01",,
