finding_id,ticker,date,agent,section,question,standardized_verdict,raw_value,unit,current_period,prior_period,trend,peer_benchmark,peer_verdict,score,max_score,penalty,confidence_1_to_5,materiality,evidence,source_id,source_type,source_date,as_of_date,analyst_interpretation,red_flag_triggered,red_flag_id,follow_up_required
01-001,HAIER,2026-08-13,01_management-and-track-record,Key Executives,Is the CEO a founder/owner-operator?,Green,0,boolean,FY2025,N/A,Stable,No peer set,No peer set — relative governance not assessed,,,,4,Medium,"[Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf, current]",S01,CapIQ board export,2026-08-13,2026-08-13,"Professional-manager model, not founder-led; aligns with a collectively-owned controlling shareholder structure",False,,None
01-002,HAIER,2026-08-13,01_management-and-track-record,Key Executives,CEO tenure in current role,Green,7,years,2019-2026,N/A,Stable,No peer set,No peer set,16,20,0,5,Medium,"[Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf, Li, Huagang entry]",S01,CapIQ board export,2026-08-13,2026-08-13,"Long, stable tenure at the top; no CEO change to test",False,,None
01-003,HAIER,2026-08-13,01_management-and-track-record,Key Executives,New CFO biographical disclosure adequacy,Amber,0,narrative-paragraphs,FY2025-26,N/A,New appointment,No peer set,No peer set,,,,2,Low,"[Haier Smart Home Co Ltd SHSE 600690 Professionals.rtf, Sun, Jiacheng entry; web search 2026-08-13, unverified, no further detail found]",S02,CapIQ management-bio export,2026-08-13,2026-08-13,"Thin public disclosure for a newly appointed CFO — a granularity gap, not an adverse signal",False,,Confirm Sun Jiacheng's prior career background from the next AGM notice/annual report
01-004,HAIER,2026-08-13,01_management-and-track-record,Management Stability,CFO turnover in last 3 years,Green,1,count,May-2025,2010-2025 (prior CFO),Improving/orderly,No peer set,No peer set,,,,5,High,"[Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf, Gong, Wei entry - Vice Chairman since May 28, 2025]",S01,CapIQ board export,2026-08-13,2026-08-13,"One transition in 16 years, structured as a promotion (CFO to Vice Chairman), not a resignation - a stability-positive signal",False,,None
01-005,HAIER,2026-08-13,01_management-and-track-record,Management Stability,Senior departures in last 3 years (excl. routine term expiry),Green,0,count,last 3 years,N/A,Stable,No peer set,No peer set,,,,4,Medium,"[Key Developments.xls, keyword sweep; News.rtf, keyword sweep, no results]",S04,CapIQ material-event log,2026-08-13,2026-08-13,No CFO/Company Secretary/Compliance Officer/auditor resignation found; only one routine independent-director term expiry,False,,None
01-006,HAIER,2026-08-13,01_management-and-track-record,Management Stability,"Board composition refresh, May-2025/Jun-2026",Amber,4,new directors added,May-2025-Jun-2026,12th board session,One-time refresh,No peer set,No peer set,,,,4,Medium,"[Haier Smart Home Co Ltd SHSE 600690 Board Members.rtf; Key Developments.xls, 2026-06-24/25]",S01,CapIQ board export,2026-08-13,2026-08-13,"Reads as a scheduled, disclosed board-term renewal, not an instability signal - CEO and controlling shareholder unchanged",False,,Monitor whether the refreshed board committees show any independence erosion (belongs to agent 05)
01-007,HAIER,2026-08-13,01_management-and-track-record,Stated Strategy & Targets,Formal consolidated guidance provided?,Amber,0,boolean,FY2026,since 2012,No change,No peer set,No peer set,,,,5,Medium,"[earnings/04_guidance-consensus.md, section 2]",S12,Cross-module,2026-08-13,2026-08-13,No revenue/EBITDA/EPS guidance issued; limits how testable management's own forward commitments are,False,,"None - structural feature of this filing regime, not a candor lapse"
01-008,HAIER,2026-08-13,01_management-and-track-record,Promise vs Delivery,Mar-2025 buyback plan executed and closed as announced,Green,1201.38,CNY mn,closed 2026-03-26,announced 2025-03-28,Kept,No peer set,No peer set,,,,4,Medium,"[Key Developments.xls, 2026-03-26 Buyback Transaction Closings]",S04,CapIQ material-event log,2026-08-13,2026-08-13,Executed and formally closed within the 12-month authorization window,False,,None
01-009,HAIER,2026-08-13,01_management-and-track-record,Promise vs Delivery,GE Appliances (2016) acquisition integration objective delivered,Green,20883.0,"CNY mn goodwill, never impaired",FY2025,2016 (deal date),Stable/positive,No peer set,No peer set,,,,4,High,[business-model/11_capital-allocation-governance.md section 1; business-model/12_red-flags-sweep.md section 2],S10,Cross-module,2026-08-13,2026-08-13,"Nine-year-old deal delivered scale and leadership credibility; currently facing external tariff pressure, not an execution failure, but goodwill concentration is a monitoring item",False,,Monitor North America goodwill for impairment risk if tariff/consumer-cycle pressure persists
01-010,HAIER,2026-08-13,01_management-and-track-record,Promise vs Delivery,3-year capital-return floor (58%/60%/60%) - testable yet?,Insufficient Data,,,announced Apr-2026,N/A,Not yet enough history,No peer set,No peer set,,,,3,Medium,"[earnings/04_guidance-consensus.md, section 2]",S12,Cross-module,2026-08-13,2026-08-13,"Forward commitment, too new to grade Kept/Missed",False,,Re-test once FY2026 results and the FY2026 profit-distribution plan are published (~Mar-2027)
