section,item,source,period,confidence,missing,notes
coverage,Board composition,CIQ Board Members export,Current (Jun-2026),4,N,—
coverage,Compensation (director fees),CIQ Compensation Summary export,FY2022–FY2025,4,N (partial),—
coverage,Compensation (executive salary/bonus/LTIP metrics),Not available,—,—,Y — material gap,Arabic Annual Report CG section (not extracted); no UAE-equivalent disclosure
coverage,Ownership,CIQ Public Ownership Summary rtf,May–Jun 2026,4,N,—
coverage,Insider trades (individual),CIQ Ownership Activity (institutional),Dec-2025 to Mar-2026,3,Partial,UAE SCA filings not in pool; no DFM Form 4 equivalent
coverage,Related-party transactions (quantitative),Arabic Annual Report Notes (not English-extracted),FY2024,1,Y — material gap,FY2025 audited annual report when filed
coverage,Auditor report,Key Developments (no audit qualification; KPMG named in disqualifier-scan from Arabic AR),FY2024,3,Partial,Arabic AR FY2024 auditor's section
coverage,Secretarial / compliance report,Not present (UAE equivalent not in pool),—,—,Y,Not required in UAE in the same form as Indian Secretarial Audit Report
coverage,AGM voting,Key Developments (AGM dates/agenda items; vote outcomes not in pool),Mar-2026,2,Partial,DFM exchange announcement not in pool
coverage,Capital-allocation history,CIQ Annual CFS, Balance Sheet, Key Developments,FY2021–FY2025,5,N,—
coverage,Legal / regulatory cases,Key Developments (last 6 months),Jan–Jun 2026,3,Partial,No litigation disclosure; UAE courts not publicly indexed
freshness,FY2024 Annual Report (audited),FY2024 (Dec-31-2024),Filed Mar-14-2025,~15 months,Borderline — FY2025 audited not yet filed,Only audited source for RPT notes, auditor report; FY2025 preliminary used for financials
freshness,FY2025 Preliminary Annual Results,FY2025 (Dec-31-2025),Filed Feb-12-2026,~5 months,N,Main reference for FY2025 financials; not fully audited
freshness,FY2025 Preliminary Annual Results (revised),FY2025 (Dec-31-2025),Filed Mar-30-2026,~3 months,N,Revised filing; current
freshness,Q1 2026 interim results,Q1 2026 (Mar-31-2026),Filed Apr-08-2026,~3 months,N,Most recent trading period
freshness,CIQ Ownership data,Position dates Dec-2025 to Jun-2026,As of Jun-27-2026,Current,N,—
freshness,CIQ Financials Annual,FY2025,LTM Mar-31-2026,Current,N,—
freshness,CIQ Board Members,Current,As of Jun-2026,Current,N,—
freshness,CIQ Compensation,FY2025,As of Jun-2026,Current,N,Director fees only
freshness,CIQ Key Developments,Last 6 months,Jun-2026,Current,N,—
freshness,Earnings transcripts,N/A — not in pool,—,—,Stale/absent,Candor read limited to filings
