finding_id,agent,section,question,standardized_verdict,raw_value,unit,current_period,prior_period,trend,peer_benchmark,peer_verdict,score,max_score,penalty,confidence_1_to_5,materiality,evidence,as_of_date,red_flag_triggered,red_flag_id,follow_up_required
01-001,01,1,CEO tenure and founder status,Green,27,years,FY27 (current),,Stable,No peer set,No peer verdict,,,,5,High,"FY26 Annual Report, Board's Report; CIQ Professionals export",2026-08-13,false,,None
01-002,01,1,Co-founder / Whole-Time Director tenure,Green,27,years,FY27 (current),,Stable,No peer set,No peer verdict,,,,5,Medium,CIQ Professionals export,2026-08-13,false,,None
01-003,01,1,Combined founder ownership,Green,49.08,% of shares,Mar-31-2026,,Stable,No peer set,No peer verdict,,,,5,High,"FY26 Annual Report p.7219; CIQ Public Ownership Summary",2026-08-13,false,,None
01-004,01,2,CFO turnover frequency,Green,1,change in ~9yrs,FY2015-FY2027,,Stable,No peer set,No peer verdict,,,,4,Medium,"FY26 Annual Report Note 33 (KMP)",2026-08-13,false,,None
01-005,01,2,Current CFO tenure,Amber,2,years,Jun-2024-present,,New,No peer set,No peer verdict,,,,4,Low,"FY26 Annual Report Note 33",2026-08-13,true,,"Assess CFO delivery record FY27/28"
01-006,01,2,Non-founder C-suite churn,Amber,3,roles changed,Apr-2024-Jan-2025,FY2015-FY2024 (stable),Deteriorating,No peer set,No peer verdict,,,,3,Medium,"CIQ Professionals/Compensation exports",2026-08-13,false,,"Confirm no further turnover FY27/28"
01-007,01,2,Founder succession plan disclosed,Red,0,disclosures found,FY26,,Not enough history,No peer set,No peer verdict,,,,5,High,"FY26 AR Board's/CG Report; bm/12",2026-08-13,false,,"Request succession disclosure"
01-008,01,4,FY24 EBITDA margin vs guidance,Red,26.54,% vs 28-30% guided,FY24,FY23: 26.57%,Missed range,No peer set,No peer verdict,,,,4,Medium,"Q4 FY23 transcript; earnings/01",2026-08-13,true,,"Track 1-yr margin guidance"
01-009,01,4,FY25 EBITDA margin vs guidance,Green,37.03,% vs 30%+ guided,FY25,FY24: 26.54%,Exceeded,No peer set,No peer verdict,,,,4,Medium,"Q4 FY24 transcript; earnings/01",2026-08-13,false,,None
01-010,01,4,FY25 revenue growth vs 33% aspiration,Red,16.01,% vs 33%,FY25,FY24: 21.45%,Missed materially,No peer set,No peer verdict,,,,4,High,"Q4 FY24 transcript; earnings/01",2026-08-13,true,RF-MGT-003,"Monitor FY27 growth"
01-011,01,4,FY26 growth vs walked-down target,Green,9/13.02,% vs ~10%,FY26,FY25: 16.01%,Met after cut,No peer set,No peer verdict,,,,4,Medium,"Q4 FY25 transcript; bm/02; earnings/01",2026-08-13,false,,None
01-012,01,4,KPI redefinition after underperformance,Red,,successive targets 33-to-<10,Apr-2024-Apr-2025,,Deteriorating,No peer set,No peer verdict,,,,4,Medium,"Q4 FY24/FY25 transcripts",2026-08-13,true,RF-MGT-003,"Confirm ~10% band holds"
01-013,01,4,Supplier net-add guidance vs actual,Red,,1800-2700 vs 8000-9000,FY25 (Q2-Q4),FY24: ~8300/qtr,Missed badly withdrawn,No peer set,No peer verdict,,,,3,Critical,"Q4 FY24/FY25 transcripts",2026-08-13,true,,"Track resumption of guidance"
01-014,01,4A,Buyer-funnel stagnation admission,Amber,,qualitative,Q1 FY27,,Deteriorating,No peer set,No peer verdict,,,,3,High,"Q1 FY27 transcript; bm/12",2026-08-13,false,,"Monitor buyer trend"
01-015,01,4A,Routed integrity signal,Amber,1,share (trade),FY26,,Not enough history,No peer set,No peer verdict,,,,4,Low,"FY26 AR Secretarial Audit; bm/01",2026-08-13,false,,"None - investigated and cleared"
