source_id,source_type,filename_filing,period,page_section,date,confidence,used_for
S01-01,Annual filing (10-K),Amazoncom_Inc-Annual_Report(Apr-09-2026).pdf,FY2025,"pp.4–5 (Executive Officers); p.74 (Item 9B); p.67–68 (Note 10 Segments); pp.24–28 (MD&A); p.41–42 (Note 1); p.72–73 (Auditor's Report); p.36 (CF Statement); Note 8 p.62; Item 5 p.19; Note 7 p.59; Note 4 p.53",2026-04-09,5,Executive profiles; trading plans; operating results; accounting policies; audit opinion; capital allocation; SBC; commitments; dividend policy
S01-02,Annual filing (10-K),Amazon-2024-Annual-Report.pdf,FY2024,"MD&A; Executive Officers; Note 10; Note 5 (Acquisitions); Note 8 (Stock Repurchase); Shareholder Letter",2025-02-06,5,Prior-year operating results; International profitability; capex guidance; FCF warning; prior promises baseline
S01-03,Annual filing (10-K),Amazon-com-Inc-2023-Annual-Report.pdf,FY2023,"MD&A; Shareholder Letter; Note 5; Note 8",2024-02-01,5,Checkable prior promises (cost-to-serve; AWS re-acceleration; International profitability; Kuiper); historical capital allocation
S01-04,Quarterly filing (10-Q),Amazoncom_Inc_-_Form_10-Q(Apr-30-2026).doc,Q1 Mar 31 2026,"CF Statement; Note 7; Item 5 p.48 (Trading Arrangements); p.7 (AWS revenue)",2026-04-30,5,AWS Q1 2026 revenue; Q1 cash flows; insider trading confirmation (no new plans)
S02-01,Capital IQ data export,Amazon com Inc NasdaqGS AMZN Financials.xls — Cash Flow sheet,FY2021–FY2025 LTM Mar 2026,Cash from Ops; Capex; Cash Acquisitions; Financing rows,Data aligned with filings,4,Year-by-year uses-of-capital; SBC; debt movements; FCF
S02-02,Capital IQ data export,Amazon com Inc NasdaqGS AMZN Financials.xls — Balance Sheet sheet,FY2021–FY2025 Dec year-ends Mar 2026,Shares outstanding; equity; financial debt; cash,Data aligned with filings,4,Share count trajectory; invested capital computation; net debt
S02-03,Capital IQ data export,Amazon com Inc NasdaqGS AMZN Financials.xls — Ratios sheet,FY2021–FY2025 LTM,Return on Capital %; leverage ratios,Data aligned with filings,4,ROIC cross-check; coverage ratios
S02-04,Capital IQ data export,Amazon com Inc NasdaqGS AMZN Financials.xls — Supplemental sheet,FY2020–FY2025,Stock Based Comp Exp. rows,Data aligned with filings,4,SBC dilution proxy over 5 years
S02-05,Capital IQ data export,Amazon com Inc NasdaqGS AMZN Financials.xls — Segments sheet,FY2020–FY2025,Revenue; Operating Profit; Assets; Capex by segment,Data aligned with filings,4,AWS capex vs total; segment ROIC; International OI
S02-06,Capital IQ data export,Amazon com Inc NasdaqGS AMZN Financials.xls — Historical Capitalization sheet,FY2020–Q1 2026,Shares outstanding rows,2026-04-30,4,Share count trajectory FY2020–Q1 2026; dilution analysis
S02-07,Capital IQ governance export,Amazon com Inc NasdaqGS AMZN Public Company Profile.rtf,As of Jul 1 2026,"Stock Quote $239.59; Float 90.9%; Key Professionals; Key Board Members",2026-07-01,4,Float; share price; named executives; insider names and titles
S02-08,Capital IQ governance export,Amazon com Inc NasdaqGS AMZN Takeover Defenses.rtf,As of Jul 1 2026,"Dual Class Stock; Voting Rights; Classified Board; Poison Pill; Special Meeting; Written Consent; Supermajority; Compensation section",2026-07-01,4,Control structure; takeover defenses; compensation philosophy; board structure
S02-09,Capital IQ estimates export,Amazoncom_Inc_NasdaqGS_AMZN_EstimatesReport.xls — Surprise tab,Q1 2019–Q1 2026,Beat/miss rows Q2 2025–Q1 2026,Data as of Jul 3 2026,4,Beat/miss history 4 quarters
S03-01,Earnings transcript,Amazon.com Inc. Q1 2026 Earnings Call Apr 29 2026.pdf,Q1 2026,"pp.1–30 (prepared remarks; Q&A)",2026-04-29,4,Q2 2026 guidance; AWS growth rate; CEO/CFO commentary; AI commentary; One Medical Health AI mention
