agent,source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for_or_limitation
governance-data-triage,TRIAGE,Frozen extraction manifest,data/V/ frozen source inventory,As of 2026-09-23,Inventory,2026-09-23,5,"23 source files, 44 workbook tabs, zero extraction failures; frozen binding and document availability"
01_management-and-track-record,S01,Proxy filing,`data/V/Visa_Inc_-_Form_DEF_14A(Dec-08-2025).doc`,FY26,"“Director Nominee Biographies—Ryan McInerney”; “Executive Officers,” pp.47–48; Beneficial Ownership, pp.110–111",2025-12-08,5,"Officer roles, tenure, background, CEO continuity, founder/owner-operator status"
01_management-and-track-record,S02,Earnings transcript,"`data/V/Visa Inc., Q1 2026 Earnings Call, Jan 29, 2026.pdf`",Q1 FY26,"CFO prepared remarks, pp.9–10",2026-01-29,3,Q2 and FY26 management guidance
01_management-and-track-record,S03,Investor presentation,`data/V/Visa-Inc-Q2-2026-Financial-Results-Presentation.pdf`,Q2 FY26,p.1,2026-04-28,3,Q2 actual growth outcome
01_management-and-track-record,S04,Earnings transcript,"`data/V/Visa Inc., Q2 2026 Earnings Call, Apr 28, 2026.rtf`",Q2 FY26,CEO and CFO prepared remarks,2026-04-28,3,Strategy description and Q3 management guidance
01_management-and-track-record,S05,Investor presentation,`data/V/Visa-Inc-Q3-2026-Financial-Results-Presentation.pdf`,Q3 FY26,"pp.1, 20–21",2026-07-28,3,Q3 actual outcome and Q4/FY26 targets
01_management-and-track-record,S06,Earnings release,`data/V/Visa-Inc-Q3-2026-Earnings-Release.pdf`,Q3 FY26,p.1,2026-07-28,3,Cross-check of Q3 revenue and EPS outcome
01_management-and-track-record,S07,Cross-module output,`analyses/V_2026-09-23/business-model/01_disqualifier-scan.md`,Current run,§§2–4,2026-09-23,4,Integrity-buzz routing and hard-disqualifier context
01_management-and-track-record,S08,Cross-module output / vendor source,`analyses/V_2026-09-23/earnings/04_guidance-consensus.md`,FQ4 FY25–FQ3 FY26,§6; Capital IQ Estimates → Surprise,2026-09-23,4,Supplementary revenue/EPS execution versus consensus
02_capital-allocation-scorecard,S01,Audited annual filing,`data/V/Visa_Inc_-_Form_10-K(Nov-06-2025).doc`,FY23–FY25,Consolidated Statements of Operations/Cash Flows; Note 2; Note 15; Liquidity and Capital Resources,2025-11-06,5,"CFO, FCF, capital uses, M&A prices, buybacks, dividends, share count, debt issuance"
02_capital-allocation-scorecard,S02,Quarterly filing,`data/V/Visa_Inc_-_Form_10-Q(Jul-29-2026).doc`,Q3 FY26 / nine months ended Jun. 30 2026,Balance Sheets; Cash Flows; Note 2; Note 11,2026-07-29,5,"Current cash uses, debt repayment/issuance, Prisma/Newpay, share-count update"
02_capital-allocation-scorecard,S03,Proxy filing,`data/V/Visa_Inc_-_Form_DEF_14A(Dec-08-2025).doc`,FY26,Beneficial Ownership; Stock Ownership Guidelines; Hedging and Pledging Prohibition,2025-12-08,5,A10-05 promoter/pledge conduct context
02_capital-allocation-scorecard,S04,Capital IQ vendor workbook and source-bound facts sidecar,`data/V/Visa Inc NYSE V Financials_Annual.xls`; `data/V/ciq_facts.json`,FY23–FY25 / Jun. 30 2026,Ratios—Return on Capital; `multi_year_trajectory`; `net_debt_m`,2026-09-23,4,Reported return-on-capital trend; broad-net-debt reconciliation
03_incentives-and-compensation,S01,Proxy filing,`data/V/Visa_Inc_-_Form_DEF_14A(Dec-08-2025).doc`,FY2025 compensation / FY2026 proxy,"Executive Compensation, pp.50–89; Non-Employee Director Compensation, pp.43–44; Beneficial Ownership, pp.110–111",2025-12-08,5,"CEO/CFO pay, incentive metrics, LTI, peer group, severance, clawback, pay ratio, say-on-pay, NED pay and ownership context"
03_incentives-and-compensation,S02,Audited annual filing,`data/V/Visa_Inc_-_Form_10-K(Nov-06-2025).doc`,FY2025,"Item 1—Talent and People, p.15; Consolidated Statements of Operations, p.60; Note 17—Share-based Compensation, pp.93–95",2025-11-06,5,"GAAP net income, employee turnover/workforce and EIP grant activity"
04_ownership-and-insider-behavior,S01,SEC proxy filing,Visa Form DEF 14A,FY25,"Stock Ownership Information / Principal Shareholders / Section 16, pp.110–111",2025-12-08,5,"Legal beneficial ownership, principal holders, Section 16 compliance"
04_ownership-and-insider-behavior,S02,SEC proxy filing,Visa Form DEF 14A,FY25,"Hedging and Pledging Prohibition, p.69; Stock Options, p.75",2025-12-08,5,Pledge policy and option context
04_ownership-and-insider-behavior,S03,Audited annual filing,Visa Fiscal 2025 Annual Report / Form 10-K,FY25,"Risk Factors—Capital Structure, p.34; Note 15—Stockholders’ Equity, pp.90–91",2025-11-06,5,"Voting classes, transfer restrictions, limited B/C votes, takeover restrictions"
