section,item,value,period,as_of_date,confidence_or_age,missing_or_stale,notes
coverage,Board composition,CIQ Board Members.xls + CG Report (Jun-02-2026 AR),"Current, tenure back to 1999",,5,N,—
coverage,Compensation,CG Report remuneration table (p.123) + CIQ Compensation Summary Compensation.xls,FY2026 (CG Report) / FY2022-FY2025 (CIQ),,5,N,—
coverage,Ownership,CG Report "Promoters Holdings" (49.17%) + CIQ Public Ownership Summary,31-Mar-2026 / 21-Jul-2026,,5,N,—
coverage,Insider trades,"Secretarial Audit Report, Annexure-A (two Designated-Person compliance lapses)",FY2026 audit period,,3,Partial,narrow — procedural lapses only, not a full trading log; no dedicated SAST/PIT filing in pool
coverage,Related-party transactions,FY26 Annual Report Note 33 + BRSR Principle 1 RPT ratios + postal-ballot RPT resolution result,FY2026,,5,N,—
coverage,Auditor report,CIQ Auditors.xls (FY2015-FY2026) + Independent Auditor's Report inside Jun-02-2026 AR,FY2015-FY2026,,5,N,—
coverage,Secretarial / compliance report,"Secretarial Audit Report, Annexure-A (Jun-02-2026 AR)",FY2026,,5,N,—
coverage,AGM voting,Postal Ballot results section (Jun-02-2026 AR): two resolutions incl. 21.72% against on RPT resolution,Postal ballot dated 28-Jul-2025; result 29-Aug-2025,,5,N,—
coverage,Capital-allocation history,CIQ Financials Cash Flow.xls + Capital Structure Summary.xls + Transaction Summary M&A Private Placements.xls,FY2016-LTM Jun-2026,,5,N,—
coverage,Legal / regulatory cases,FY26 Annual Report Note 35 (contingent liabilities — two indirect-tax disputes under appeal),As at 31-Mar-2026,,4,N,—
freshness,AGM Notice + Integrated Annual Report (proxy-equivalent),FY2025-26,FY2025-26,2026-06-02,~2.4 months,N,Primary governance source is current
freshness,CG Report shareholding pattern (promoter holdings),As at 31-Mar-2026,As at 31-Mar-2026,2026-03-31,~4.5 months,N,Current within normal quarterly-refresh cadence
freshness,CIQ Public Ownership Summary — Nalanda Capital position,21-Jul-2026,21-Jul-2026,2026-07-21,~0.7 months,N,Very current
freshness,CIQ Compensation Summary Compensation.xls,FY2022-FY2025,FY2022-FY2025,latest column FY2025,~1 year behind FY2026 CG Report figure,N,Agent 03 reconciled the CIQ time series against the FY2026 CG Report table rather than treating FY2025 as the latest year
freshness,Latest earnings-call transcript,Q1 FY27,Q1 FY27,2026-07-21,~0.7 months,N,Very current for candor/tone read
freshness,Latest interim filing,"Q1 FY27, qtr ended 30-Jun-2026",Q1 FY27,2026-07-21,~0.7 months,N,Very current
freshness,Secretarial Audit Report (compliance lapses),FY2026 audit period,FY2026 audit period,Filed with Jun-02-2026 AR,~2.4 months,N,Current
