# SOURCE: Company Comparable Analysis Niva Bupa Health Insurance Company Limited.xls
# SHEET: Business Description  (4 of 6)
# DIMS: 44 rows x 3 cols
# ---
		
		
		
Niva Bupa Health Insurance Company Limited (NSEI:NIVABUPA) >  Quick Comparable Analysis > Business Description		
		
		
Details		
Template:	Capital IQ Default Comps	
Currency:	US Dollar	
As-Of Date:	2026-06-04T00:00:00	
		
		
Company Comp Set		
Company Name	Business Description	Headquarters
Star Health and Allied Insurance Company Limited (NSEI:STARHEALTH)	Star Health and Allied Insurance Company Limited provides health insurance products in India. It offers retail health insurance products for individuals, families, children, senior citizens, and persons with pre-existing medical conditions; group health insurance products for employer/employee and non-employer/employee groups, including small-to-medium enterprises; and personal accident and travel insurance products. The company also provides star women care insurance policy that provides surrogacy and oocyte donor covers; and star special care product that covers children diagnosed with autism and for outpatient specialized treatments. In addition, it offers star health assure insurance policy, star cancer care platinum insurance policy, senior citizens health insurance policy, and star cardiac care insurance policy – platinum, as well as star group OPD care insurance product. The company offers its products through web aggregators, digital channels, agency channels, corporate agents, brokers, point of salesperson, insurance marketing firms, and various other channels. Star Health and Allied Insurance Company was incorporated in 2005 and is based in Chennai, India.	Acropolis, No: 148, Dr. Radha Krishnan Salai, Mylapore, Chennai, Tamil Nadu, 600004, India
ICICI Lombard General Insurance Company Limited (NSEI:ICICIGI)	ICICI Lombard General Insurance Company Limited provides various general insurance products and services in India. The company primarily offers fire, marine, cargo, engineering, aviation, public/product liability, employee group, workmen's compensation, cyber, personal accident, and travel insurance solutions. It also provides credit, crop, cattle, weather, mass health, and motor, as well as home insurance solutions. In addition, the company offers underwriting and claims, customer relationship, technology, operations, finance and accounts, human resources, , actuarial, marketing, business analytics, administration, and fraud control, as well as reinsurance solutions. It serves its customers comprising individuals, corporates, state and central governments, government-owned enterprises, and rural customers, as well as micro, small, and medium enterprises through agents, brokers, bancassurance, motor insurance service providers, and online platforms. The company was incorporated in 2000 and is based in Mumbai, India. ICICI Lombard General Insurance Company Limited operates as a subsidiary of ICICI Bank Limited.	ICICI Lombard House, 414, Veer Savarkar Marg, Near Siddhivinayak Temple, Prabhadevi, Mumbai, Maharashtra, 400025, India
ManipalCigna Health Insurance Company Limited	ManipalCigna Health Insurance Company Limited operates as a health insurance provider. The company offers health insurance products that include individual and family floater plans, as well as group health insurance policies for affinity groups such as bank account holders, club members, and students. Coverage options include in-patient hospitalization, day care procedures, outpatient services, and critical illnesses, with features such as cashless claim settlement, reimbursement, zero waiting periods, and lifelong renewability. The company provides specialized plans such as ProHealth Prime Advantage Plan and ManipalCigna Sarvah, along with wellness programs and a health insurance coverage calculator tool. Policy purchase and renewal are available through the website and customer care channels. The company serves employee and non-employee groups, affinity groups, individuals, families, and senior citizens. The company was founded in 2012 and is based in Mumbai, India.	401/402, Raheja Titanium, Western Express Highway, Goregaon (East), Mumbai, Maharashtra, 400063    India
SBI Life Insurance Company Limited (NSEI:SBILIFE)	SBI Life Insurance Company Limited operates as a private life insurance company in India. The company’s life insurance business comprises individual and group life insurance products, including participating, non-participating, pension, group gratuity, group leave encashment, group superannuation, group immediate annuity, unit-linked and variable insurance products, health, and micro insurance. It also provides accident and disability benefit, level term, and critical illness insurance products. In addition, the company offers online savings, protection, retirement, and child life insurance plans, as well as wealth creation with insurance products; and corporate solutions, group loan protection, and group micro insurance plans. It offers its products through a multi-channel distribution network comprising individual agents, brokers, corporate agents, bancassurance partners, and certified insurance facilitators, as well as through various partner branches. The company was incorporated in 2000 and is based in Mumbai, India. SBI Life Insurance Company Limited is a subsidiary of State Bank of India.	Natraj, M. V. Road, Western Express Highway Junction, Andheri (East), Mumbai, Maharashtra, 400069, India
PT Paninvest Tbk (IDX:PNIN)	PT Paninvest Tbk provides banking and multi financing products and services in Indonesia. It operates through Life Insurance and Business Consulting Service; Banking and Multi-Finance; Trade and Services; and Tourist segments. The company offers Sharia banking products and services; financing and mutual funds services; and death, whole life, annuity, endowment, endowment combine, universal life, unit-linked, personal accident, and health insurance products. It also provides business consulting, management, and general administration services; trading and services; and management consulting services in the field of archives. The company was formerly known as Pt Panin Insurance Tbk and changed its name to PT Paninvest Tbk in May 2014. PT Paninvest Tbk was founded in 1973 and is headquartered in Jakarta, Indonesia.	Panin Bank Plaza, 6th Floor, Jalan Palmerah Utara No. 52, Jakarta, Jakarta Raya, 11480, Indonesia
