id,section,test,flag,finding,confidence,source,owner_agent
A1-01,A1,Board size & independence ratio,Green,77.8 % independent (7 of 9),5,"FY25 Form 20-F, Item 6.A, p.187; FY24 Form 20-F, Item 6.A",05
A1-02,A1,Chair–MD/CEO separation,Red,1 person holding both roles,5,"FY25 Form 20-F, Item 6.A, p.187",05
A1-03,A1,"Non-executive, non-promoter chair",Red,0 independent non-controller chairs,5,"FY25 Form 20-F, Item 6.A, p.187; Item 6.C, p.201",05
A1-04,A1,TRUE independence of IDs (beyond the label),Red,3 directors with independence concerns,5,"FY25 Form 20-F, Item 6.A, pp.187–190; FY24 Form 20-F, Item 6.A; 07_people-integrity-dossiers §1, §2.6",05
A1-05,A1,Director & KMP reputation,Amber,3 persons graded above Clean of 25 swept,4,Section 1 roll-up,07
A1-06,A1,Overboarding,Red,11 boards held by one director (Leone),5,"FY25 Form 20-F, Item 6.A, pp.188–190",05
A1-07,A1,Attendance,Amber,0 directors with disclosed attendance,5,"FY25 Form 20-F, Item 6 (no attendance disclosure in any year)",05
A1-08,A1,Skills / competence matrix,Amber,0 disclosed skills matrices,5,"FY25 Form 20-F, Item 6.A, pp.188–190",05
A1-09,A1,ID resignation pattern,Amber,1 unexplained mid-term ID departure,5,"FY23 Form 20-F, Item 6.A, pp.271–272; FY24 Form 20-F, Item 6.A; CIQ Key Developments export",05
A1-10,A1,Reappointment / removal patterns,Amber,96.23 % of votes cast for the 9-director slate,4,"SEC Form 6-K, AGM results Ex-99.1, filed 2026-08-07 — EDGAR, read 2026-09-06; FY25 Form 20-F, Item 10.B, p.218",05
A1-11,A1,Board evaluation process,Amber,0 disclosed evaluation outcomes,3,"Capital IQ Corporate Governance export (company governance guidelines), as-of Aug-2026 — vendor export; FY25 Form 20-F, ",05
A1-12,A1,Diversity & refreshment,Green,"5.3 years median ID tenure (with 22.2% women, 2 of 9)",5,"FY25 Form 20-F, Item 6.A, p.187; tenure arithmetic from Item 6.A appointment dates",05
A1-13,A1,Succession planning (CEO & board),Amber,"1 executive succession actually executed (CFO, 2026)",4,"FY25 Form 20-F, Item 6.C, p.201; CIQ Key Developments export, Jun–Jul 2026 — vendor export",05
A1-14,A1,Meeting cadence & ID-inclusive quorum,Amber,0 disclosed board meetings,5,"FY25 Form 20-F, Item 10.B — Proceedings of the Board of Directors, p.218",05
A1-15,A1,Permanent / age-exempt board seats,Amber,"5 seats the founder may designate, remove and replace",5,"FY25 Form 20-F, Item 6.A — Shareholder's Agreement, p.193; Item 10.B, p.218",05
A1-16,A1,ID appointment/removal minority gate,Amber,0 minority gates on director elections,5,"FY25 Form 20-F, Item 10.B, pp.214, 218",05
A1-17,A1,IDs-only session & D&O cover,Amber,2 conflicting company disclosures on ID-only meetings,4,"FY25 Form 20-F, Item 16G, p.243; Capital IQ Corporate Governance export — vendor export; FY25 Form 20-F, Item 6.B, p.194",05
A2-01,A2,Audit committee quality,Amber,100 % independent (3 of 3),5,"FY25 Form 20-F, Item 6.C — Audit and Risk Committee, p.200",05
A2-02,A2,NRC / Risk / Stakeholders committees,Amber,75 % independent on the compensation committee (3 of 4),5,"FY25 Form 20-F, Item 6.C, p.201; FY24 Form 20-F, Item 6.A; FY25 Form 20-F, Item 16G, p.243",05
A2-03,A2,CSR committee & spend (India),NA,Not Applicable,5,FY25 Form 20-F — no CSR-committee obligation exists for a Cayman Islands FPI listed on the NYSE,05
A2-04,A2,Substance vs paper,Insufficient,0 disclosed meeting counts / agendas / dissent records,5,"FY25 Form 20-F, Item 6.C, pp.200–201",05
A2-05,A2,Committee chair rotation & workload,Green,1 maximum key committees chaired by any one ID,5,"FY25 Form 20-F, Item 6.C, pp.200–201",05
A3-01,A3,A3-01 - Controller/promoter holding trend (5 annual filed observations),Green,74.4 % of total voting power (88.3% of Class B),5,FY25 20-F Item 6.C/7.A; FY24 20-F (2025-04-16); FY23 20-F (2024-04-19); FY22 20-F (2023-04-20); FY21 20-F (2022-04-21),04
A3-02,A3,"A3-02 - Insider share pledging / encumbrance, tested on the graded thresholds",Green,"0.0 % of the control group's 906,212,615-share holding pledged; 0.0% of total capital",4,"FY25 Form 20-F, Item 7.A table and fn.(2)/(3)/(4), pp.203-204 (no pledge footnote; sole voting and investment power asse",04
A3-03,A3,"A3-03 - Cross-holdings, pyramiding and the control-vs-cash-flow wedge",Red,55.8 percentage-point wedge (74.4% of votes vs 18.6% of economics),5,"FY25 Form 20-F, Item 7.A table and fn.(2)/(4), p.203 (arithmetic mine)",04
A3-04,A3,A3-04 - Differential voting rights,Red,"20 votes per Class B share vs 1 per Class A; Class B = 21.0% of shares, 84.2% of votes; no time-based sunset since the Dec-2021 listing",5,"FY25 Form 20-F, Item 7.A, p.204; Item 10.B - Memorandum and Articles of Association (conversion)",04
A3-05,A3,"A3-05 - Cheap insider equity (preferential issues, warrants, promoter options)",Amber,"0 preferential allotments, warrants or repricings to the controller in five annual filings; but a standing Class B pre-emptive right exists and option",5,"FY25 Form 20-F, Item 10.B - Preemptive or Similar Rights; Item 6.B - Omnibus Incentive Plan (Class A only); CIQ Insider ",04
