finding_id,agent,section,question,standardized_verdict,raw_value,unit,trend,peer_verdict,score,max_score,penalty,confidence_1_to_5,materiality,evidence,red_flag_id,follow_up_required
01-001,01_management-and-track-record,Key Executives,CEO current-stint tenure,Amber,6.5,months,Deteriorating,Not Applicable,8,20,-6,5,High,"CIQ Key Developments.rtf, 2026-01-20",see 01-003,Internal successor being groomed?
01-002,01_management-and-track-record,Key Executives,CFO tenure in role,Amber,13,months,Deteriorating,Not Applicable,8,20,-6,5,Medium,"2026 Proxy p.35-36",analogous RF-MGT-002,Dedicated Controller/CAO re-hired?
01-003,01_management-and-track-record,Mgmt Stability,Senior leadership changes trailing 12mo,Red,3,count,Deteriorating,Not Applicable,5,20,-15,5,High,"CIQ Key Dev.; Proxy p.60-61",see business-model/11 sev55,Cross-ref only
01-004,01_management-and-track-record,Mgmt Stability,Controller/CAO resignation control-depth concern,Amber,1,dual-hat,Deteriorating,Not Applicable,5,15,-5,5,Medium,"FQ3 10-Q Item 4",RF-MGT-002,Dedicated Controller/CAO appointed?
01-005,01_management-and-track-record,Promise vs Delivery,Tanner final FQ2 FY26 guidance kept,Red,-5.6,% below guided range,Deteriorating,Not Applicable,3,30,-12,4,Critical,"Estimates Report; Q2 FY26 call",none,Was guide built on deteriorating data?
01-006,01_management-and-track-record,Promise vs Delivery,OWYN growth promise delivered,Red,71,% impaired 24mo,Deteriorating,Not Applicable,2,30,-14,5,Critical,"FY26 Q3 10-Q Note 4",RF-CAP-004,Escalate on a third deal
01-007,01_management-and-track-record,Promise vs Delivery,FY2025 guidance kept,Amber,-0.6,% vs range,Stable-deteriorating,Not Applicable,18,30,0,4,Medium,"Estimates Report; FY25 10-K",,None
01-008,01_management-and-track-record,Promise vs Delivery,FY2026 in-progress guide kept,Green,3,consecutive beats,Improving,Not Applicable,20,30,0,4,Medium,"earnings/04 sec6",,Does streak continue?
01-009,01_management-and-track-record,Turnaround Test,Years proven operating inflection,Red,0,years,Not enough history,Not Applicable,4,25,-10,4,High,"Q2/Q3 FY26 transcripts",RF-MGT-004,Track narrowing declines
01-010,01_management-and-track-record,Turnaround Test,Case sold on resume not numbers,Amber,2,execs cited,N/A,Not Applicable,5,10,-3,4,Medium,"CIQ Key Dev.; Proxy p.27",,None
01-011,01_management-and-track-record,Integrity Test,Adverse integrity buzz routed,Not Applicable,0,count,N/A,Not Applicable,,,0,5,Low,"business-model/01 sec3",,None
01-012,01_management-and-track-record,Stated Strategy,Long-run targets disclosed,Amber,,%,Too new to grade,Not Applicable,6,10,-2,3,Medium,"Q2/Q3 FY26 transcripts",,Track FY27/28 progress
01-013,01_management-and-track-record,Mgmt Stability,Insider buying present,Green,90000,shares,Improving,Not Applicable,4,5,0,4,Low,"CIQ Insider Trading",,Cross-ref agent 04
01-014,01_management-and-track-record,Mgmt Stability,CEO severance economics concern,Red,4.3,$M midpoint,Deteriorating,Not Applicable,3,10,-4,5,High,"2026 Proxy p.60",cross-ref bm/12 sev50,None
02-001,02_capital-allocation-scorecard,Uses of Capital,Share of 5yr CFO to acquisitions,Red,34.7,% of FY21-25 CFO,N/A,Not Applicable,3,10,-6,5,Critical,"FY25 10-K p.43",RF-CAP-004,See 02-006
02-002,02_capital-allocation-scorecard,Uses of Capital,Share of 5yr CFO to buybacks,Amber,16.2,% of FY21-25 CFO,N/A,Not Applicable,10,10,0,4,Medium,"FY25 10-K p.73-74",,None
02-003,02_capital-allocation-scorecard,Uses of Capital,Share of 5yr CFO to dividends,Not Applicable,0,%,Stable,Not Applicable,,,0,5,Low,"FY25 10-K p.32",,None
02-004,02_capital-allocation-scorecard,Uses of Capital,Share of 5yr CFO to debt repayment,Green,44.2,% of FY21-25 CFO,Improving then reversing,Not Applicable,8,10,0,4,Medium,"CIQ Financials_Annual",,Track FY26 debt draw
02-005,02_capital-allocation-scorecard,M&A Scorecard,OWYN growth promise delivered,Red,71,% impaired 24mo,Deteriorating,Not Applicable,1,20,-14,5,Critical,"FY26 Q3 10-Q Note 4",RF-CAP-004,Escalate on third deal
02-006,02_capital-allocation-scorecard,M&A Scorecard,Serial acquirer Filter 4,Red,2,deals in 6yr,N/A,Not Applicable,2,20,-14,5,Critical,"FY25 10-K p.43",RF-CAP-004,Monitor for third deal
02-007,02_capital-allocation-scorecard,M&A Scorecard,Opportunity cost of OWYN,Red,8.5,% shares foregone,N/A,Not Applicable,2,10,-6,3,High,"FY25 10-K p.43,73-74",,None
