finding_id,agent,section,question,verdict,raw_value,unit,current_period,prior_period,trend,peer_verdict,score,penalty,confidence_1_to_5,materiality,evidence,as_of_date,red_flag_triggered,red_flag_id,follow_up
01-001,management-and-track-record,Key Executives,CEO tenure,Green,6.2,years,FY2026,FY2025,Stable,In line,18,0,4,High,"Web (unverified) + Q4 FY26 transcript May 8 2026 p.3",2026-05-08,false,,None
01-002,management-and-track-record,Key Executives,CFO tenure,Green,6.2,years,FY2026,FY2025,Stable,,18,0,4,High,"Web (unverified) + Q4 FY26 transcript May 8 2026 p.3",2026-05-08,false,,None
01-004,management-and-track-record,Management Stability,Senior departures (last 3 yrs),Green,0,departures,FY2026,FY2025,Stable,,20,0,4,High,"All 6 earnings call transcripts Q2 FY25 to Q4 FY26",2026-05-08,false,,None
01-005,management-and-track-record,Management Stability,CFO turnover,Green,0,changes,FY2026,FY2025,Stable,,20,0,4,High,"All 6 transcripts",2026-05-08,false,,None
01-006,management-and-track-record,Management Stability,Q1 FY26 auto-adjudication suspension,Amber,1,disrupted quarters,Q1 FY26,Q3 FY25,Deteriorating (temp),,-3,3,Medium,"Q1 FY26 transcript Jul 31 2025 pp.5-6",2025-07-31,false,,"What was security vulnerability? Was IRDAI notified?"
01-007,management-and-track-record,Stated Strategy,Combined ratio vs 99% FY29 target,Amber,101.4,% IFRS COR,FY2026,"FY2025 (101.2%)",Deteriorating slightly,Worse than Star Health,12,-4,3,High,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,"Will loss ratio stabilise in FY27?"
01-008,management-and-track-record,Promise vs Delivery,EOM ratio improvement,Green,33.7,% EOM,FY2026,"FY2025 (39.2%)",Improving (-550 bps),Better than IRDAI cap,25,0,4,High,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
01-009,management-and-track-record,Promise vs Delivery,IFRS PAT trajectory,Green,366,INR cr,FY2026,"FY2025 (203 cr)",Improving (+80% YoY),,25,0,4,High,"Q4 FY26 transcript May 8 2026 p.4-5",2026-05-08,false,,None
01-010,management-and-track-record,Promise vs Delivery,Revenue/GWP vs consensus,Amber,-6.2,% miss vs consensus,FY2026,"FY2025 (-8.7%)",Improving,,0,-2,3,Medium,"Capital IQ Estimates data as of 2026-05-11",2026-05-11,false,,"Is management guiding analysts too optimistically?"
01-012,management-and-track-record,Promise vs Delivery,Retail market share,Green,10.1,% retail market share,FY2026,"FY2025 (9.4%)",Improving,Smaller but gaining vs Star Health,20,0,4,Medium,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
01-014,management-and-track-record,Turnaround & Integrity,Turnaround test >= 2-3 yrs delivered,Green,3,years PAT growth,FY2026,FY2024,Improving,,20,0,4,High,"Q4 FY25 transcript May 7 2025 p.5; Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
02-001,capital-allocation-scorecard,Uses of Capital,Acquisitions / M&A,Green,0,deals,FY22-FY26,,Stable,In line,20,0,4,High,"Capital IQ Financials.xls Cash Flow; all 6 transcripts",2026-05-08,false,,None
02-005,capital-allocation-scorecard,M&A Scorecard,Serial-acquirer test S24 Filter 4,Green,0,acquisitions,FY22-FY26,,Stable,,20,0,4,High,"All 6 transcripts; Capital IQ Financials.xls",2026-05-08,false,,None
