"id","section","test","flag","finding","confidence","source","owner_agent"
"A1-01","A1","Board size & independence ratio","Green","9 directors; 8 independent (88.9%)","3","SEC EDGAR 2026 DEF 14A pp.10–11, 27–28; SEC 8-K Item 5.07 — public filings not in frozen pool","board-and-shareholder-rights"
"A1-02","A1","Chair–MD/CEO separation","Green","Dan Hesse independent chair; F. Thomson Leighton CEO","3","SEC EDGAR 2026 DEF 14A pp.27–28 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-03","A1","Non-executive, non-promoter chair","Green","Independent non-executive chair","3","SEC EDGAR 2026 DEF 14A pp.27–28 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-04","A1","TRUE independence of IDs (beyond the label)","Amber","BT gross flow $37.8m; OpenText gross flow $1.8m","3","SEC EDGAR 2026 DEF 14A pp.28–29 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-05","A1","Director & KMP reputation (from 07's per-person dossiers)","Amber","24 Clean coverage-limited; 1 unswept","3","Person register","people-integrity-dossiers"
"A1-06","A1","Overboarding","Insufficient","No complete external-board register","2","SEC EDGAR 2026 DEF 14A pp.19–26, 30–32 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-07","A1","Attendance","Amber","Burger missed 1 of 2 Board meetings after appointment","3","SEC EDGAR 2026 DEF 14A pp.30–32 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-08","A1","Skills / competence matrix","Insufficient","Matrix disclosed; entries not transcribed","2","SEC EDGAR 2026 DEF 14A pp.12–13; Governance Data Triage","board-and-shareholder-rights"
"A1-09","A1","ID resignation pattern","Amber","Ford and Verwaayen not nominated in 2026","3","SEC EDGAR 2026 DEF 14A pp.10–11, 26–27 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-10","A1","Reappointment / removal patterns","Green","8.4% largest against vote for director","3","SEC 8-K, 2026-05-13, Item 5.07 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-11","A1","Board evaluation process","Amber","Annual survey/interviews/discussion; external consultant","3","SEC EDGAR 2026 DEF 14A pp.27–28 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-12","A1","Diversity & refreshment","Green","4 women; 3 racially/ethnically diverse; ~7-year median tenure","3","SEC EDGAR 2026 DEF 14A pp.12–13, 19–26 — public filing not in frozen pool","board-and-shareholder-rights"
"A1-13","A1","Succession planning (CEO & board)","Amber","Annual senior-leadership succession planning","4","FY2025 Form 10-K, Item 1, p.6","board-and-shareholder-rights"
"A1-14","A1","Meeting cadence & ID-inclusive quorum","N/A","U.S. issuer; 5 Board meetings disclosed","4","FY2025 Form 10-K cover page; SEC 2026 DEF 14A pp.30–32","board-and-shareholder-rights"
"A1-15","A1","Permanent / age-exempt board seats","N/A","U.S. issuer","3","FY2025 Form 10-K cover page","board-and-shareholder-rights"
"A1-16","A1","ID appointment/removal minority gate","N/A","U.S. Nasdaq board","4","FY2025 Form 10-K cover page","board-and-shareholder-rights"
"A1-17","A1","IDs-only session & D&O cover","Amber","Independent sessions disclosed; D&O coverage not evidenced","3","SEC EDGAR 2026 DEF 14A p.28 — public filing not in frozen pool","board-and-shareholder-rights"
"A2-01","A2","Audit committee quality","Amber","5 independent members; 9 meetings; financial expert","3","SEC EDGAR 2026 DEF 14A pp.30–31 — public filing not in frozen pool","board-and-shareholder-rights"
"A2-02","A2","NRC / Risk / Stakeholders committees","Amber","ESG 7; Finance 8; TL&C 7 meetings","3","SEC EDGAR 2026 DEF 14A pp.30–32 — public filing not in frozen pool","board-and-shareholder-rights"
"A2-03","A2","CSR committee & spend (India)","N/A","U.S. issuer","4","FY2025 Form 10-K cover page","board-and-shareholder-rights"
